Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,ALA&M,47,TEXSO,92,L,0.0,,0.0,
2017,ALA&M,65,PVA&M,70,L,0.0,,0.0,
2017,ALCRN,81,ALA&M,70,L,0.0,,0.0,
2017,SUTHR,53,ALA&M,52,L,0.0,,0.0,
2017,ALAST,57,ALA&M,55,L,0.0,,0.0,
2017,ALA&M,65,ARKPB,81,L,0.0,,0.0,
2017,ALA&M,79,MSVAL,76,W,0.0,,0.0,
2017,GRAMB,69,ALA&M,67,L,0.0,,0.0,
2017,JACKS,63,ALA&M,51,L,0.0,,0.0,
2016,PVA&M,69,ALA&M,83,W,0.0,,0.0,
2016,ALA&M,52,SUTHR,73,L,-7.5,L,140.0,U
2016,ALA&M,58,ALCRN,63,L,0.0,,0.0,
2016,ALA&M,80,ALAST,75,W,0.0,,0.0,
2016,MSVAL,79,ALA&M,73,L,0.0,,0.0,
2016,ARKPB,70,ALA&M,85,W,0.0,,0.0,
2016,ALA&M,66,JACKS,67,L,0.0,,0.0,
2016,ALA&M,78,GRAMB,81,L,0.0,,0.0,
2015,ALA&M,63,PVA&M,89,L,0.0,,0.0,
2015,ALCRN,66,ALA&M,78,W,0.0,,0.0,
2015,SUTHR,65,ALA&M,58,L,0.0,,0.0,
2015,ALAST,59,ALA&M,56,L,0.0,,0.0,
2017,ALA&M,45,UAB,75,L,0.0,,0.0,
2017,ALA&M,54,MURRAY,91,L,0.0,,0.0,
2017,ALA&M,55,S.MISS,63,L,0.0,,0.0,
2017,ALA&M,61,TNTEC,95,L,0.0,,0.0,
2017,ALA&M,44,MIZZU,99,L,-18.0,L,140.0,O
2017,ALA&M,62,MIZST,96,L,0.0,,0.0,
2016,ALA&M,61,MURRAY,63,L,0.0,,0.0,
2016,ALA&M,73,JAXST,69,W,0.0,,0.0,
2016,OAKWO,89,ALA&M,97,W,0.0,,0.0,
2016,SEMIZ,56,ALA&M,74,W,0.0,,0.0,
2016,ALA&M,68,TULAN,67,W,0.0,,0.0,
2015,ALA&M,51,SEMIZ,85,L,0.0,,0.0,
2015,JAXST,67,ALA&M,61,L,0.0,,0.0,
2015,OAKWO,61,ALA&M,81,W,0.0,,0.0,
2015,ALA&M,46,GATEC,66,L,0.0,,0.0,
2015,ALA&M,52,DAYTN,76,L,0.0,,0.0,
2014,JAXST,76,ALA&M,69,L,0.0,,0.0,
2014,ALA&M,68,EKENT,82,L,0.0,,0.0,
2014,ALA&M,69,WMICH,73,L,0.0,,0.0,
2014,ALAHNT,73,ALA&M,79,W,0.0,,0.0,
2014,ALA&M,52,NEWMX,88,L,0.0,,0.0,
2013,ALA&M,46,EVANS,72,L,0.0,,0.0,
2013,OAKWO,77,ALA&M,103,W,0.0,,0.0,
2017,ALA&M,50,WMICH,80,L,0.0,,0.0,
2017,ALA&M,61,BOWLG,74,L,-21.0,W,141.0,U
2017,ALA&M,79,GAST,94,L,0.0,,0.0,
