Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,TEXSO,97,ALAST,82,L,0.0,,0.0,
2018,PVA&M,86,ALAST,80,L,0.0,,0.0,
2018,ALAST,64,ALCRN,81,L,0.0,,0.0,
2018,ALAST,61,SUTHR,63,L,0.0,,0.0,
2018,ALA&M,67,ALAST,70,W,0.0,,0.0,
2018,ARKPB,94,ALAST,68,L,0.0,,0.0,
2018,MSVAL,46,ALAST,63,W,0.0,,0.0,
2018,ALAST,74,GRAMB,66,W,0.0,,0.0,
2018,ALAST,73,JACKS,82,L,0.0,,0.0,
2018,ALAST,69,JAXST,77,L,0.0,,0.0,
2018,ALAST,51,CINCY,83,L,-42.5,W,0.0,
2018,SAVAN,101,ALAST,97,L,0.0,,0.0,
2018,ALAST,50,CHATT,67,L,0.0,,0.0,
2018,ALAST,56,OREG,114,L,-35.5,L,152.0,O
2018,ALAST,63,SD.ST,94,L,0.0,,0.0,
2018,ALAST,58,IOWA,92,L,0.0,,0.0,
2018,ALAST,68,MISST,96,L,0.0,,0.0,
2018,LIBRT,87,ALAST,70,L,+18.0,W,134.0,O
2018,ALAST,62,LATEC,74,L,-20.0,W,144.5,U
2018,WINTH,88,ALAST,80,L,0.0,,0.0,
2018,TN.ST,64,ALAST,45,L,0.0,,0.0,
2018,ALAST,77,TEXSO,95,L,0.0,,0.0,
2018,ALAST,74,PVA&M,80,L,0.0,,0.0,
2018,ALCRN,62,ALAST,82,W,-1.0,W,141.5,O
2018,SUTHR,71,ALAST,67,L,0.0,,0.0,
2018,ALAST,69,ALA&M,50,W,0.0,,0.0,
2018,ALAST,65,ARKPB,59,W,0.0,,0.0,
2018,ALAST,89,MSVAL,85,W,0.0,,0.0,
2018,ALAST,76,TEXSO,90,L,-12.5,L,154.5,O
2018,GRAMB,66,ALAST,64,L,0.0,,0.0,
2018,JACKS,60,ALAST,62,W,0.0,,0.0,
