Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 30 2017,ARKLR,52,ULMON,68,L,+1.5,L,129.0,U
Jan 28 2017,ARKLR,82,ULLAF,88,L,-9.5,W,146.5,O
Jan 23 2017,TROY,78,ARKLR,69,L,-2.5,L,142.5,O
Jan 21 2017,S.ALA,56,ARKLR,73,W,-6.0,W,139.0,U
Jan 14 2017,ARKST,77,ARKLR,72,L,-1.5,L,135.0,O
Jan 9 2017,ARKLR,63,COCAR,66,L,-1.5,L,138.0,U
Jan 7 2017,ARKLR,76,APPST,68,W,0.0,W,138.0,O
Jan 2 2017,ULLAF,69,ARKLR,52,L,+2.0,L,148.0,U
Jan 30 2016,GAST,53,ARKLR,63,W,-7.5,W,121.5,U
Jan 28 2016,GASOU,67,ARKLR,80,W,-15.0,L,136.5,O
Jan 23 2016,ARKLR,68,TEXAR,62,W,-3.0,W,138.0,U
Jan 21 2016,ARKLR,77,TEXST,74,W,+6.5,L,117.0,O
Jan 18 2016,ARKLR,73,ARKST,76,L,+7.0,L,134.0,O
Jan 14 2016,APPST,55,ARKLR,81,W,-15.5,W,128.5,O
Jan 9 2016,ULMON,57,ARKLR,58,W,-11.0,L,120.0,U
Jan 7 2016,ULLAF,57,ARKLR,77,W,-5.5,W,143.0,U
Jan 2 2016,ARKLR,67,TROY,61,W,+8.5,L,133.0,U
Jan 31 2015,ARKLR,61,GASOU,76,L,-8.0,L,129.0,O
Jan 29 2015,ARKLR,75,ARKST,65,W,-3.5,W,130.5,O
Jan 24 2015,TEXAR,75,ARKLR,68,L,-1.0,L,139.5,O
Jan 22 2015,TROY,65,ARKLR,73,W,-6.5,W,133.5,O
Jan 19 2015,ARKLR,64,S.ALA,66,L,-1.5,L,145.0,U
Jan 17 2015,ARKLR,52,ULMON,64,L,-3.0,L,122.5,U
Nov 29 2016,ARKLR,89,C.ARK,87,W,0.0,,0.0,
Nov 22 2016,PEPPR,66,ARKLR,65,L,-1.0,L,135.5,U
Nov 21 2016,STBON,65,ARKLR,68,W,+4.5,W,140.0,U
Nov 18 2016,IDAHO,65,ARKLR,57,L,-8.5,L,135.0,U
Nov 14 2016,OZARK,61,ARKLR,100,W,0.0,,0.0,
Nov 12 2016,CENBAP,65,ARKLR,97,W,0.0,,0.0,
Nov 28 2015,ARKLR,64,TULSA,60,W,-10.5,W,135.5,U
Nov 26 2015,ARKLR,54,E.CAR,46,W,+3.5,W,132.0,U
Nov 21 2015,ARKLR,49,SD.ST,43,W,-16.5,W,139.5,U
Nov 18 2015,CENTY,49,ARKLR,95,W,0.0,,0.0,
Nov 14 2015,CENBAP,57,ARKLR,76,W,0.0,,0.0,
Nov 29 2014,C.ARK,71,ARKLR,85,W,0.0,,0.0,
Nov 23 2014,CSNOR,88,ARKLR,94,W,-4.0,W,0.0,
Nov 22 2014,UMKC,68,ARKLR,73,W,-5.0,P,0.0,
Nov 18 2014,ARKLR,62,BYU,91,L,-16.0,L,0.0,
Nov 16 2014,ARMONT,64,ARKLR,77,W,0.0,,0.0,
Nov 29 2013,ARKLR,81,OKLA,101,L,-16.0,L,0.0,
Nov 26 2013,S.ARK,58,ARKLR,90,W,0.0,,0.0,
Nov 22 2013,ARKLR,85,SUTHR,82,W,0.0,,0.0,
Nov 18 2013,ARKLR,59,MIDTN,76,L,-13.0,L,144.5,U
Nov 16 2013,ARKLR,56,FLA,86,L,-20.0,L,144.5,U
Nov 11 2013,N.FLA,72,ARKLR,70,L,0.0,,0.0,
Nov 29 2012,TROY,56,ARKLR,58,W,-9.0,L,0.0,
Dec 31 2016,ULMON,75,ARKLR,79,W,-8.0,L,131.5,O
Dec 21 2016,ARKLR,71,FLA,94,L,-19.0,L,134.5,O
Dec 19 2016,ARKLR,48,ORALR,63,L,+2.5,L,137.0,U
Dec 14 2016,ARKLR,72,NARIZ,67,W,+12.0,L,137.5,O
Dec 10 2016,C.ARK,59,ARKLR,70,W,0.0,,0.0,
Dec 8 2016,ARKPB,52,ARKLR,67,W,0.0,,0.0,
Dec 3 2016,TULSA,62,ARKLR,72,W,-5.5,W,136.5,U
Dec 30 2015,ARKLR,69,S.ALA,60,W,+8.0,W,126.5,O
Dec 22 2015,ARKLR,53,TEXTK,65,L,-4.5,L,129.0,U
Dec 20 2015,NARIZ,57,ARKLR,84,W,-16.5,W,129.0,O
Dec 16 2015,ARKLR,77,C.ARK,54,W,0.0,,0.0,
Dec 12 2015,ARKLR,66,DPAUL,44,W,-4.0,W,131.5,U
Dec 5 2015,ARKLR,64,IDAHO,54,W,+5.0,W,125.5,U
Dec 1 2015,C.ARK,73,ARKLR,79,W,0.0,,0.0,
Dec 30 2014,ULLAF,83,ARKLR,79,L,+1.0,L,146.5,O
Dec 22 2014,ARKLR,64,BRAD,54,W,-1.5,W,0.0,
Dec 21 2014,WISGB,66,ARKLR,46,L,+10.0,L,0.0,
Dec 14 2014,KENT,60,ARKLR,55,L,+2.0,L,0.0,
Dec 7 2014,TULSA,78,ARKLR,73,L,+6.5,W,0.0,
Dec 4 2014,ARKLR,68,MIZST,73,L,-6.5,W,0.0,
Dec 30 2013,GRAMB,68,ARKLR,88,W,0.0,,0.0,
Dec 21 2013,ARKLR,60,S.MISS,74,L,-12.0,L,159.5,U
Feb 27 2017,GASOU,54,ARKLR,56,W,-2.5,L,144.0,U
Feb 25 2017,GAST,71,ARKLR,54,L,+2.5,L,136.0,U
Feb 17 2017,ARKLR,58,ARKST,67,L,-7.0,L,136.5,U
Feb 13 2017,ARKLR,55,TEXAR,71,L,-11.5,L,146.5,U
Feb 11 2017,ARKLR,49,TEXST,56,L,-2.5,L,127.5,U
Feb 6 2017,APPST,62,ARKLR,69,W,-5.5,W,144.0,U
Feb 4 2017,COCAR,82,ARKLR,75,L,-4.5,L,137.0,O
Feb 27 2016,TEXST,68,ARKLR,73,W,-12.0,L,120.0,O
Feb 25 2016,TEXAR,60,ARKLR,72,W,-6.5,W,139.0,U
Feb 20 2016,ARKLR,75,GASOU,61,W,+5.5,W,135.5,O
Feb 18 2016,ARKLR,57,GAST,49,W,+4.0,W,120.0,U
Feb 13 2016,ARKLR,68,ULLAF,64,W,-3.5,W,139.0,U
Feb 11 2016,ARKLR,82,ULMON,86,L,+2.0,L,127.5,O
Feb 6 2016,S.ALA,43,ARKLR,74,W,-15.5,W,131.0,U
Feb 4 2016,TROY,49,ARKLR,72,W,-14.0,W,134.5,U
Feb 28 2015,ARKLR,73,TEXAR,82,L,-4.0,L,146.5,O
Feb 26 2015,GAST,83,ARKLR,92,W,+7.5,W,134.0,O
Feb 21 2015,ARKLR,63,TROY,58,W,+1.0,W,134.5,U
Feb 19 2015,ARKST,57,ARKLR,70,W,-5.5,W,133.0,U
Feb 14 2015,GASOU,72,ARKLR,70,L,+1.5,L,133.0,O
Feb 12 2015,ARKLR,79,APPST,74,W,-1.0,W,134.5,O
Feb 7 2015,TEXST,61,ARKLR,69,W,-2.5,W,123.5,O
Feb 5 2015,ULMON,77,ARKLR,61,L,-3.5,L,122.0,O
Mar 8 2017,ARKLR,71,ULLAF,78,L,-5.5,L,137.5,O
Mar 4 2017,ARKLR,54,TROY,57,L,-5.5,W,134.5,U
Mar 2 2017,ARKLR,62,S.ALA,57,W,-1.5,W,135.5,U
Mar 19 2016,ARKLR,61,IOWAS,78,L,-6.0,L,144.5,U
Mar 17 2016,ARKLR,85,PURDU,83,W,-8.0,W,127.5,O
Mar 13 2016,ULMON,50,ARKLR,70,W,-2.5,W,128.5,U
Mar 12 2016,ULLAF,65,ARKLR,72,W,-2.5,W,137.5,U
Mar 3 2016,ARKLR,63,APPST,69,L,+9.5,L,139.0,U
Mar 1 2016,ARKST,80,ARKLR,89,W,-14.5,L,138.5,O
Mar 12 2015,ARKLR,55,S.ALA,57,L,+5.5,L,152.0,U
Mar 5 2015,ARKLR,69,ULLAF,75,L,-7.5,W,148.0,U
Mar 14 2014,ARKLR,114,ARKST,116,L,-5.5,W,143.5,O
Mar 13 2014,TROY,61,ARKLR,74,W,-1.0,W,138.0,U
Mar 8 2014,ULMON,66,ARKLR,65,L,-4.5,L,128.5,O
Mar 1 2014,ARKST,67,ARKLR,74,W,+2.5,W,142.0,U
Mar 9 2013,ARKLR,54,FLAIN,69,L,-1.0,L,139.0,U
Mar 2 2013,ARKST,71,ARKLR,78,W,+3.0,W,125.5,O
Mar 4 2012,W.KEN,68,ARKLR,63,L,-3.5,L,127.5,O
Mar 15 2011,NCASH,81,ARKLR,77,L,+4.0,P,129.5,O
Mar 8 2011,ARKLR,64,N.TEX,63,W,-3.5,W,139.5,U
Mar 7 2011,ARKLR,65,MIDTN,56,W,-4.5,W,126.5,U
Mar 6 2011,ARKLR,59,ARKST,52,W,-4.5,W,128.0,U
Mar 5 2011,ARKLR,82,S.ALA,68,W,+2.0,W,140.0,O
Mar 1 2011,N.TEX,72,ARKLR,69,L,-1.5,L,145.5,U
Mar 6 2010,ARKLR,82,ARKST,89,L,-4.5,L,132.5,O
Mar 9 2009,S.ALA,54,ARKLR,44,L,-2.0,L,125.5,U
Mar 8 2009,DENVR,55,ARKLR,58,W,-5.5,L,118.5,U
