Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 28 2017,ARK,71,OKST,99,L,-7.5,L,167.5,O
Jan 24 2017,ARK,71,VANDY,70,W,-3.5,W,152.0,U
Jan 21 2017,LSU,86,ARK,99,W,-14.5,L,162.0,O
Jan 17 2017,ARK,62,TEXAM,60,W,-4.5,W,145.0,U
Jan 14 2017,MIZZU,73,ARK,92,W,-14.5,W,151.0,O
Jan 10 2017,MISST,84,ARK,78,L,-10.0,L,150.5,O
Jan 7 2017,ARK,71,KENTY,97,L,-17.5,L,168.5,U
Jan 3 2017,ARK,82,TENN,78,W,-2.5,W,154.5,O
Jan 30 2016,TEXTK,68,ARK,75,W,-6.5,W,149.5,U
Jan 27 2016,TEXAM,71,ARK,74,W,+3.5,W,150.0,U
Jan 23 2016,ARK,73,GA,76,L,-2.5,L,144.5,O
Jan 21 2016,KENTY,80,ARK,66,L,+3.0,L,152.0,U
Jan 16 2016,ARK,74,LSU,76,L,-9.5,W,165.0,U
Jan 12 2016,ARK,94,MIZZU,61,W,+2.5,W,149.5,O
Jan 9 2016,MISST,68,ARK,82,W,-7.5,W,157.0,U
Jan 5 2016,VANDY,85,ARK,90,W,+2.0,W,152.5,O
Jan 2 2016,ARK,69,TEXAM,92,L,-11.0,L,152.5,O
Jan 31 2015,ARK,56,FLA,57,L,-6.5,W,139.5,U
Jan 27 2015,TENN,64,ARK,69,W,-10.5,L,143.5,U
Jan 24 2015,ARK,61,MIZZU,60,W,+6.0,L,148.5,U
Jan 22 2015,ALA,91,ARK,93,W,-7.0,L,143.0,O
Nov 28 2016,MTSTM,76,ARK,89,W,0.0,,0.0,
Nov 22 2016,ARK,71,MINN,85,L,-4.0,L,158.5,U
Nov 18 2016,TEXAR,67,ARK,71,W,-12.0,L,165.5,U
Nov 14 2016,S.ILL,65,ARK,90,W,-17.0,W,159.5,U
Nov 11 2016,IPFW,83,ARK,92,W,-15.0,L,157.5,O
Nov 27 2015,ARK,66,STANF,69,L,+1.0,L,151.5,U
