Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2017,TOLDO,80,BALL,81,W,-6.5,L,158.5,O
Jan 28 2017,WMICH,78,BALL,84,W,-6.5,L,155.5,O
Jan 24 2017,BALL,88,EMICH,80,W,-7.0,W,153.5,O
Jan 21 2017,BALL,74,BOWLG,79,L,+3.0,L,149.5,O
Jan 17 2017,CMICH,83,BALL,98,W,-5.0,W,171.5,O
Jan 14 2017,BALL,92,BUFF,77,W,-6.0,W,154.5,O
Jan 10 2017,MIAOH,74,BALL,85,W,-8.0,W,147.0,O
Jan 7 2017,BOWLG,76,BALL,71,L,-4.0,L,148.0,U
Jan 3 2017,BALL,90,KENT,100,L,-7.0,L,146.0,O
Jan 30 2016,AKRON,73,BALL,64,L,+1.5,L,135.0,O
Jan 26 2016,BALL,64,BUFF,76,L,-4.5,L,139.5,O
Jan 23 2016,BALL,88,EMICH,87,W,-6.0,W,144.0,O
Jan 19 2016,KENT,76,BALL,68,L,0.0,L,139.0,O
Jan 16 2016,MIAOH,46,BALL,48,W,-6.5,L,135.5,U
Jan 12 2016,BALL,74,WMICH,64,W,-2.5,W,139.0,U
Jan 9 2016,BALL,73,OHIO,79,L,-8.0,W,141.5,O
Jan 6 2016,TOLDO,69,BALL,87,W,+2.0,W,140.0,O
Jan 31 2015,BALL,73,MIAOH,79,L,-2.5,L,132.0,O
Jan 27 2015,BALL,47,AKRON,59,L,-10.5,L,129.5,U
Jan 24 2015,KENT,63,BALL,52,L,+3.5,L,127.5,U
Jan 21 2015,OHIO,82,BALL,73,L,-2.0,L,136.0,O
Nov 29 2016,IUKOKO,52,BALL,92,W,0.0,,0.0,
Nov 27 2016,BALL,73,VALPO,79,L,-10.5,W,138.0,O
Nov 21 2016,BALL,79,COPIN,77,W,+19.5,L,148.5,O
Nov 18 2016,BALL,59,ALA,77,L,-8.5,L,137.5,U
Nov 15 2016,INDST,80,BALL,74,L,-7.5,L,147.5,O
Nov 11 2016,BALL,85,STL,64,W,+4.0,W,138.0,O
Nov 28 2015,VALPO,66,BALL,69,W,+9.5,W,134.0,O
Nov 25 2015,IUKOKO,54,BALL,90,W,0.0,,0.0,
Nov 22 2015,SC.ST,60,BALL,72,W,0.0,,0.0,
Nov 21 2015,BALL,78,LONGW,67,W,0.0,,0.0,
Nov 20 2015,BALL,81,EKENT,89,L,-2.0,L,142.0,O
Nov 16 2015,E.ILL,56,BALL,73,W,-7.5,W,134.0,U
Nov 13 2015,BALL,53,BRAD,54,L,+2.5,L,135.0,U
Nov 24 2014,GRAMB,46,BALL,88,W,0.0,,0.0,
Nov 22 2014,BALL,69,IUPUI,71,L,-5.0,W,0.0,
Nov 17 2014,IUKOKO,62,BALL,101,W,0.0,,0.0,
Nov 14 2014,BALL,72,UTAH,90,L,-26.5,W,141.0,O
Nov 30 2013,BALL,55,CLEST,78,L,-7.5,L,142.0,U
Nov 27 2013,BALL,69,UTAH,88,L,-12.5,L,135.0,O
Nov 23 2013,BUTLR,59,BALL,58,L,+7.0,W,142.0,U
Nov 18 2013,SEMIZ,83,BALL,87,W,+2.0,W,147.0,O
Nov 12 2013,TAYLR,53,BALL,73,W,0.0,,0.0,
Nov 9 2013,BALL,73,INDST,82,L,-14.0,W,0.0,
Dec 29 2016,BALL,73,N.FLA,68,W,0.0,,0.0,
Dec 22 2016,ALAST,48,BALL,73,W,0.0,,0.0,
Dec 19 2016,LONGW,45,BALL,61,W,0.0,,0.0,
Dec 10 2016,EKENT,86,BALL,91,W,-5.5,L,152.5,O
Dec 6 2016,BRAD,63,BALL,80,W,-8.0,W,144.0,U
Dec 3 2016,IUPUI,73,BALL,62,L,-6.0,L,146.5,U
Dec 31 2015,CHIST,48,BALL,73,W,0.0,,0.0,
Dec 29 2015,ALA&M,62,BALL,63,W,0.0,,0.0,
Dec 22 2015,BALL,61,INDST,73,L,-5.5,L,134.5,U
Dec 12 2015,PEPPR,72,BALL,63,L,-2.0,L,128.0,O
Dec 5 2015,NEWOR,52,BALL,66,W,0.0,,0.0,
Dec 1 2015,IUPUI,58,BALL,61,W,-7.5,L,135.0,U
Dec 28 2014,LONGW,64,BALL,69,W,0.0,,0.0,
Dec 20 2014,BALL,57,SD.ST,70,L,-19.0,W,0.0,
Dec 17 2014,JMU,72,BALL,52,L,-1.0,L,0.0,
Dec 13 2014,BALL,62,VALPO,65,L,-13.5,W,0.0,
Dec 6 2014,INDST,63,BALL,70,W,+2.0,W,0.0,
Dec 3 2014,BALL,54,E.ILL,61,L,-2.0,L,0.0,
Dec 30 2013,BALL,68,JMU,73,L,-7.0,W,130.5,O
Dec 21 2013,BALL,58,S.ILL,66,L,-6.0,L,134.5,U
Dec 17 2013,BALL,53,MARQ,91,L,-19.5,L,136.0,O
Dec 4 2013,VALPO,69,BALL,50,L,+3.0,L,146.0,U
Dec 23 2012,IUPUI,77,BALL,68,L,-8.5,L,0.0,
Dec 18 2012,BALL,56,PURDU,66,L,-15.5,W,0.0,
Feb 28 2017,BALL,82,TOLDO,74,W,-5.5,W,156.5,U
Feb 25 2017,BALL,55,WMICH,80,L,-3.5,L,155.0,U
Feb 21 2017,EMICH,72,BALL,79,W,-2.5,W,154.0,U
Feb 18 2017,BALL,109,CMICH,100,W,-2.0,W,177.5,O
Feb 14 2017,BALL,81,N.ILL,72,W,-2.5,W,141.5,O
Feb 10 2017,OHIO,79,BALL,77,L,-1.0,L,153.5,O
Feb 7 2017,BALL,63,AKRON,65,L,-9.0,W,156.5,U
Feb 3 2017,BUFF,96,BALL,69,L,-3.0,L,159.0,O
Feb 27 2016,EMICH,79,BALL,115,W,-4.0,W,140.0,O
Feb 23 2016,BALL,67,TOLDO,77,L,-8.0,L,141.5,O
Feb 19 2016,N.ILL,59,BALL,63,W,-3.0,W,134.5,U
Feb 16 2016,BALL,73,MIAOH,56,W,+1.0,W,124.5,O
Feb 13 2016,BALL,75,CMICH,63,W,-8.5,W,141.0,U
Feb 9 2016,OHIO,72,BALL,69,L,-1.5,L,142.5,U
Feb 6 2016,WMICH,71,BALL,75,W,-5.0,L,140.5,O
Feb 2 2016,BALL,72,BOWLG,64,W,-2.5,W,136.5,U
Feb 28 2015,BALL,59,TOLDO,70,L,-12.5,W,140.0,U
Feb 24 2015,WMICH,53,BALL,48,L,+2.0,L,136.0,U
Feb 21 2015,BALL,60,CMICH,83,L,-11.5,L,137.5,O
Feb 18 2015,BALL,53,KENT,58,L,-8.0,W,126.5,U
Feb 14 2015,BOWLG,79,BALL,65,L,+4.5,L,125.0,O
Feb 10 2015,BALL,63,N.ILL,75,L,-5.0,L,126.5,O
Mar 15 2017,BALL,80,IPFW,88,L,-4.5,L,169.0,U
Mar 10 2017,BALL,70,AKRON,74,L,-5.5,W,145.5,U
Mar 9 2017,WMICH,63,BALL,66,W,+2.0,W,148.5,U
Mar 3 2017,N.ILL,82,BALL,87,W,-5.0,P,143.0,O
Mar 23 2016,BALL,67,COLUM,69,L,-7.0,W,138.5,U
Mar 20 2016,TNMAR,80,BALL,83,W,-7.0,L,135.5,O
Mar 15 2016,BALL,78,TN.ST,73,W,-4.0,W,140.0,O
Mar 7 2016,MIAOH,49,BALL,47,L,-6.5,L,125.5,U
Mar 4 2016,BALL,69,N.ILL,80,L,+1.0,L,136.0,O
Mar 1 2016,CMICH,65,BALL,57,L,-3.0,L,139.5,U
Mar 9 2015,BALL,75,BOWLG,88,L,-10.5,L,122.5,O
Mar 6 2015,N.ILL,71,BALL,67,L,+1.0,L,123.5,O
Mar 3 2015,EMICH,67,BALL,60,L,+3.0,L,128.5,U
Mar 10 2014,BALL,64,OHIO,76,L,-13.5,W,136.0,O
Mar 8 2014,BALL,56,N.ILL,70,L,-7.0,L,123.5,O
Mar 4 2014,BALL,58,EMICH,72,L,-13.5,L,126.5,O
Mar 1 2014,CMICH,71,BALL,74,W,-2.5,W,143.5,O
Mar 13 2013,BUFF,76,BALL,61,L,+3.0,L,135.5,O
Mar 9 2013,N.ILL,51,BALL,53,W,-10.5,L,118.5,U
Mar 5 2013,BALL,89,WMICH,85,W,-9.5,W,129.0,O
Mar 2 2013,BALL,86,TOLDO,72,W,-6.0,W,137.0,O
Mar 5 2012,BALL,63,WMICH,69,L,-3.0,L,128.0,O
Mar 3 2012,N.ILL,51,BALL,62,W,-13.5,L,120.5,U
Mar 11 2011,BALL,68,KENT,79,L,-5.0,L,132.5,O
Mar 10 2011,OHIO,73,BALL,76,W,+3.0,W,137.5,O
Mar 5 2011,N.ILL,57,BALL,67,W,-11.0,L,136.0,U
Mar 2 2011,BALL,70,WMICH,87,L,-4.5,L,136.0,O
Mar 7 2010,OHIO,85,BALL,77,L,+5.5,L,129.5,O
