Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2017,MIAOH,72,BOWLG,83,W,-4.0,W,144.0,O
Jan 28 2017,OHIO,96,BOWLG,72,L,+7.0,L,139.0,O
Jan 24 2017,BOWLG,76,CMICH,82,L,-5.5,L,171.5,U
Jan 21 2017,BALL,74,BOWLG,79,W,+3.0,W,149.5,O
Jan 17 2017,BOWLG,73,TOLDO,85,L,-8.5,L,150.5,O
Jan 14 2017,N.ILL,69,BOWLG,52,L,0.0,L,137.5,U
Jan 10 2017,EMICH,81,BOWLG,53,L,+3.5,L,153.5,U
Jan 7 2017,BOWLG,76,BALL,71,W,-4.0,W,148.0,U
Jan 3 2017,BOWLG,84,AKRON,89,L,-10.0,W,145.5,O
Jan 30 2016,BOWLG,65,CMICH,77,L,-7.5,L,145.0,U
Jan 26 2016,BOWLG,79,WMICH,78,W,-4.5,W,143.5,O
Jan 23 2016,KENT,62,BOWLG,59,L,+2.0,L,148.0,U
Jan 19 2016,TOLDO,81,BOWLG,74,L,+1.5,L,150.0,O
Jan 16 2016,BOWLG,84,EMICH,79,W,-8.5,W,144.0,O
Jan 12 2016,BOWLG,91,OHIO,75,W,-10.0,W,143.0,O
Jan 9 2016,CMICH,79,BOWLG,67,L,0.0,L,149.5,U
Jan 6 2016,MIAOH,62,BOWLG,73,W,-3.5,W,132.0,O
Jan 2 2016,OAKCI,56,BOWLG,87,W,0.0,,0.0,
Jan 31 2015,AKRON,69,BOWLG,68,L,-4.0,L,121.0,O
Jan 27 2015,N.ILL,46,BOWLG,56,W,-10.0,P,116.5,U
Jan 24 2015,BOWLG,67,TOLDO,71,L,-5.0,W,130.0,O
Nov 29 2016,ND-OH,60,BOWLG,86,W,0.0,,0.0,
Nov 26 2016,MORGN,58,BOWLG,90,W,0.0,,0.0,
Nov 21 2016,MURRAY,77,BOWLG,78,W,+2.5,W,150.5,O
Nov 20 2016,WISGB,77,BOWLG,61,L,-3.5,L,157.5,U
Nov 19 2016,UMKC,71,BOWLG,69,L,-4.5,L,153.0,U
Nov 13 2016,BOWLG,72,SDKOTA,78,L,-3.0,L,150.0,P
Nov 11 2016,BOWLG,70,OAKLN,78,L,-8.5,W,155.0,U
Nov 29 2015,URBANA,55,BOWLG,96,W,0.0,,0.0,
Nov 23 2015,BOWLG,82,FLAGC,77,W,-5.0,W,141.0,O
Nov 22 2015,BOWLG,79,YOUNG,72,W,+4.0,W,151.5,U
Nov 21 2015,NDAKOT,77,BOWLG,59,L,-3.0,L,145.5,U
Nov 18 2015,CINCY,83,BOWLG,50,L,+12.5,L,146.5,U
Nov 14 2015,NEWOR,61,BOWLG,79,W,0.0,,0.0,
Nov 30 2014,BOWLG,64,DETRT,63,W,-3.0,W,131.5,U
Nov 25 2014,SEMIZ,54,BOWLG,62,W,-8.0,P,0.0,
Nov 19 2014,WRIGH,55,BOWLG,70,W,-6.5,W,0.0,
Nov 15 2014,BOWLG,77,DRAKE,58,W,-2.5,W,0.0,
Nov 27 2013,ORALR,63,BOWLG,56,L,+4.5,L,130.5,U
Nov 26 2013,PRESB,45,BOWLG,67,W,-10.5,W,128.5,U
Nov 23 2013,BOWLG,47,STL,74,L,-19.5,L,134.0,U
Nov 21 2013,BOWLG,64,WISCN,88,L,-22.0,L,139.5,O
Nov 15 2013,S.FLA,75,BOWLG,61,L,+3.5,L,138.5,U
Dec 30 2016,NORFK,77,BOWLG,86,W,-9.5,L,137.0,O
Dec 22 2016,ALA&M,61,BOWLG,74,W,-21.0,L,141.0,U
Dec 18 2016,BOWLG,76,SJ.ST,77,L,-3.5,W,138.5,O
Dec 10 2016,DETRT,61,BOWLG,74,W,-9.5,W,150.0,U
Dec 6 2016,BOWLG,66,EVANS,69,L,-6.5,W,134.5,O
Dec 4 2016,BOWLG,56,CINCY,85,L,-20.0,L,130.0,O
Dec 23 2015,BOWLG,62,CLEST,47,W,-4.5,W,130.5,U
Dec 20 2015,BOWLG,47,WRIGH,83,L,-3.0,L,135.5,U
Dec 12 2015,BOWLG,80,DETRT,95,L,-6.0,L,149.5,O
Dec 8 2015,BOWLG,79,SEMIZ,52,W,+5.5,W,143.0,U
Dec 5 2015,DRAKE,63,BOWLG,75,W,-3.5,W,138.5,U
Dec 2 2015,UMBC,64,BOWLG,72,W,0.0,,0.0,
Dec 28 2014,BOWLG,79,S.FLA,70,W,+1.5,W,0.0,
Dec 21 2014,FERRIS,82,BOWLG,68,L,0.0,,0.0,
Dec 13 2014,CLEST,57,BOWLG,67,W,-4.0,W,0.0,
Dec 9 2014,BOWLG,52,DAYTN,56,L,-9.0,W,0.0,
Dec 6 2014,ALA&M,47,BOWLG,64,W,0.0,,0.0,
Dec 3 2014,BOWLG,52,W.KEN,62,L,-3.0,L,0.0,
Dec 29 2013,BOWLG,43,WRIGH,46,L,-6.0,W,127.5,U
Dec 22 2013,DETRT,62,BOWLG,64,W,-3.5,L,140.0,U
Dec 15 2013,BOWLG,67,MORHD,61,W,-5.5,W,139.5,U
Dec 11 2013,NDAKOT,69,BOWLG,79,W,-2.5,W,145.0,O
Dec 7 2013,BOWLG,73,XAVIR,85,L,-15.0,W,132.0,O
Dec 2 2013,W.KEN,62,BOWLG,74,W,+2.0,W,122.5,O
Dec 31 2012,BOWLG,57,TEMPL,75,L,-13.5,L,126.0,O
Feb 28 2017,KENT,74,BOWLG,67,L,+2.5,L,150.0,U
Feb 25 2017,BOWLG,70,MIAOH,54,W,0.0,W,147.5,U
Feb 21 2017,AKRON,65,BOWLG,66,W,+6.0,W,153.5,U
Feb 18 2017,BOWLG,75,OHIO,95,L,-9.0,L,155.0,O
Feb 14 2017,BOWLG,79,WMICH,89,L,-7.0,L,153.0,O
Feb 11 2017,BUFF,88,BOWLG,74,L,+2.5,L,153.5,O
Feb 7 2017,BOWLG,84,KENT,83,W,-7.5,W,151.0,O
Feb 4 2017,TOLDO,100,BOWLG,104,W,+2.0,W,150.5,O
Feb 26 2016,BOWLG,54,AKRON,89,L,-8.5,L,145.5,U
Feb 23 2016,OHIO,82,BOWLG,87,W,+2.0,W,146.5,O
Feb 20 2016,BOWLG,74,BUFF,88,L,-7.0,L,146.5,O
Feb 16 2016,BOWLG,60,N.ILL,71,L,-5.5,L,139.5,U
Feb 13 2016,WMICH,74,BOWLG,68,L,-3.5,L,141.0,O
Feb 9 2016,AKRON,83,BOWLG,68,L,+4.0,L,143.0,O
