Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2017,BROWN,75,YALE,85,L,-9.5,L,153.0,O
Jan 20 2017,YALE,75,BROWN,74,L,+6.0,W,151.0,U
Jan 14 2017,BROWN,82,PENN,70,W,-9.5,W,144.5,O
Jan 13 2017,BROWN,66,PRNCE,97,L,-15.5,L,150.5,O
Jan 4 2017,BROWN,73,NJIT,75,L,-6.5,W,155.5,U
Jan 30 2016,PENN,83,BROWN,89,W,-1.5,W,148.0,O
Jan 29 2016,PRNCE,83,BROWN,59,L,+9.5,L,153.0,U
Jan 22 2016,YALE,90,BROWN,66,L,+8.5,L,141.5,O
Jan 16 2016,BROWN,68,YALE,77,L,-15.0,W,139.5,O
Jan 9 2016,DWEB,43,BROWN,69,W,0.0,,0.0,
Jan 2 2016,BROWN,92,MAINE,98,L,0.0,,0.0,
Jan 31 2015,BROWN,65,COLUM,86,L,-7.0,L,126.0,O
Jan 30 2015,BROWN,49,CORNL,57,L,-4.5,L,133.5,U
Jan 24 2015,BROWN,65,YALE,69,L,-10.0,W,132.0,O
Jan 17 2015,YALE,80,BROWN,62,L,+4.5,L,133.5,O
Jan 12 2015,LYNNST,42,BROWN,88,W,0.0,,0.0,
Jan 8 2015,BROWN,61,NH,68,L,0.0,,0.0,
Jan 5 2015,LOWELL,49,BROWN,58,W,0.0,,0.0,
Jan 31 2014,CORNL,66,BROWN,78,W,-12.5,L,145.5,U
Jan 25 2014,YALE,56,BROWN,73,W,-1.0,W,140.5,U
Jan 18 2014,BROWN,67,YALE,74,L,-6.0,L,140.5,O
Jan 11 2014,DWEB,50,BROWN,91,W,0.0,,0.0,
Jan 7 2014,NH,68,BROWN,72,W,0.0,,0.0,
Jan 2 2014,RHODEI,75,BROWN,66,L,-3.0,L,139.0,O
Jan 26 2013,BROWN,64,YALE,76,L,-6.5,L,118.0,O
Nov 30 2016,STFNY,71,BROWN,81,W,0.0,,0.0,
Nov 28 2016,BRYANT,90,BROWN,91,W,0.0,,0.0,
Nov 23 2016,MORGN,75,BROWN,81,W,0.0,,0.0,
Nov 20 2016,ALBNY,80,BROWN,76,L,+5.5,W,155.0,O
Nov 19 2016,MARST,87,BROWN,79,L,-2.0,L,158.0,O
Nov 16 2016,BROWN,72,RHODEI,79,L,-24.5,W,157.5,U
Nov 13 2016,NIAGR,79,BROWN,88,W,-5.5,W,146.5,O
Nov 11 2016,BROWN,55,CINCY,84,L,-23.5,L,144.0,U
Nov 29 2015,BROWN,69,SMU,77,L,-22.0,W,148.0,U
Nov 24 2015,NH,88,BROWN,77,L,0.0,,0.0,
Nov 21 2015,BROWN,73,PROV,94,L,-15.0,L,146.0,O
Nov 18 2015,BROWN,66,NIAGR,75,L,+3.5,L,147.0,U
Nov 16 2015,HOLYC,55,BROWN,71,W,0.0,,0.0,
Nov 13 2015,BROWN,65,STPET,77,L,-2.0,L,130.5,O
Nov 30 2014,JO&WA,65,BROWN,75,W,0.0,,0.0,
Nov 28 2014,PVA&M,71,BROWN,81,W,-8.0,W,0.0,
Nov 27 2014,APEAY,79,BROWN,58,L,-5.5,L,0.0,
Nov 24 2014,BROWN,68,ILL,89,L,-17.5,L,0.0,
Nov 22 2014,BROWN,66,INDST,78,L,-6.5,L,0.0,
Nov 19 2014,BROWN,65,HOLYC,80,L,0.0,,0.0,
Nov 17 2014,NWEST,69,BROWN,56,L,-2.0,L,0.0,
Nov 14 2014,STPET,58,BROWN,70,W,-4.0,W,0.0,
Nov 30 2013,CCONN,61,BROWN,72,W,0.0,,0.0,
Dec 31 2016,STONY,92,BROWN,89,L,-4.5,L,149.5,O
Dec 29 2016,QUINN,61,BROWN,66,W,-4.0,W,164.5,U
Dec 22 2016,MAINE,77,BROWN,82,W,0.0,,157.5,O
Dec 10 2016,J&W-RI,59,BROWN,89,W,0.0,,0.0,
Dec 9 2016,EMRSON,58,BROWN,90,W,0.0,,0.0,
Dec 6 2016,BROWN,57,PROV,95,L,-13.0,L,140.5,O
Dec 3 2016,BROWN,75,CCONN,58,W,0.0,,0.0,
Dec 30 2015,RHODEI,88,BROWN,85,L,+7.0,W,135.0,O
Dec 28 2015,BCOOK,73,BROWN,81,W,0.0,,0.0,
Dec 22 2015,MARST,84,BROWN,83,L,-2.5,L,146.5,O
Dec 7 2015,BROWN,57,GTOWN,74,L,-18.5,W,147.5,U
Dec 5 2015,BROWN,76,BRYANT,68,W,0.0,,0.0,
Dec 2 2015,CCONN,64,BROWN,82,W,0.0,,0.0,
Dec 31 2014,BROWN,60,RHODEI,80,L,-12.0,L,0.0,
Dec 28 2014,SACRD,76,BROWN,79,W,0.0,,0.0,
Dec 22 2014,BROWN,67,CCONN,55,W,0.0,,0.0,
Dec 8 2014,BROWN,77,PROV,67,W,-15.5,W,133.5,O
Dec 6 2014,BRYANT,62,BROWN,69,W,0.0,,0.0,
Dec 3 2014,AMERN,66,BROWN,49,L,0.0,,0.0,
Dec 29 2013,BROWN,65,NIAGR,68,L,-1.5,L,155.0,U
Dec 22 2013,BROWN,52,NWEST,58,L,-8.5,W,134.5,U
Dec 10 2013,ALBNY,74,BROWN,68,L,0.0,,0.0,
Dec 7 2013,BROWN,72,AMERN,67,W,0.0,,0.0,
Dec 31 2012,BROWN,50,ALBNY,57,L,0.0,,0.0,
Dec 28 2012,PROV,68,BROWN,69,W,+12.0,W,129.5,O
Feb 25 2017,BROWN,58,HARVD,77,L,-11.5,L,152.5,U
Feb 24 2017,BROWN,80,DART,75,W,-1.0,W,150.0,O
Feb 18 2017,PRNCE,66,BROWN,51,L,+11.0,L,145.0,U
Feb 17 2017,PENN,96,BROWN,72,L,+3.0,L,148.5,O
Feb 11 2017,DART,77,BROWN,74,L,-6.5,L,151.5,U
Feb 10 2017,HARVD,87,BROWN,74,L,+3.5,L,148.5,O
Feb 4 2017,BROWN,78,COLUM,83,L,-4.5,L,157.5,O
Feb 3 2017,BROWN,81,CORNL,70,W,-2.5,W,157.5,U
Feb 27 2016,HARVD,61,BROWN,52,L,+1.5,L,144.5,U
Feb 26 2016,DART,83,BROWN,84,W,0.0,W,149.0,O
Feb 20 2016,BROWN,66,PRNCE,77,L,-18.0,W,158.5,U
Feb 19 2016,BROWN,74,PENN,79,L,-7.0,W,148.5,O
Feb 13 2016,BROWN,70,DART,87,L,-4.0,L,150.0,O
Feb 12 2016,BROWN,73,HARVD,79,L,-7.0,W,142.5,O
Feb 6 2016,COLUM,77,BROWN,73,L,+7.0,W,151.0,U
Feb 5 2016,CORNL,80,BROWN,86,W,+2.0,W,157.5,O
Feb 28 2015,PRNCE,80,BROWN,62,L,+3.5,L,138.5,O
Feb 27 2015,PENN,69,BROWN,75,W,-4.5,W,133.5,O
Feb 21 2015,CORNL,56,BROWN,57,W,-1.0,P,131.0,U
Feb 20 2015,COLUM,76,BROWN,59,L,+2.0,L,132.5,O
Feb 14 2015,BROWN,71,PENN,55,W,-2.0,W,134.0,U
Feb 13 2015,BROWN,64,PRNCE,75,L,-8.5,L,137.5,O
Mar 4 2017,CORNL,92,BROWN,78,L,-5.0,L,157.5,O
