Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,FDU,72,BRYANT,73,W,+1.0,W,156.5,U
2017,BRYANT,65,CCONN,54,W,0.0,,0.0,
2017,BRYANT,59,ROBMO,56,W,0.0,,0.0,
2017,BRYANT,61,STFPA,75,L,0.0,,0.0,
2017,HARVD,70,BRYANT,65,L,0.0,,0.0,
2017,SACRD,112,BRYANT,110,L,0.0,,0.0,
2017,WAGNR,66,BRYANT,77,W,0.0,,141.5,O
2017,BRYANT,84,FDU,87,L,0.0,,0.0,
2017,MTSTM,71,BRYANT,72,W,0.0,,0.0,
2016,BRYANT,71,SACRD,72,L,0.0,,0.0,
2016,BRYANT,67,CCONN,78,L,0.0,,0.0,
2016,ROBMO,65,BRYANT,54,L,0.0,,0.0,
2016,STFPA,71,BRYANT,65,L,0.0,,0.0,
2016,LIU,79,BRYANT,61,L,0.0,,0.0,
2016,STFNY,59,BRYANT,61,W,0.0,,0.0,
2016,BRYANT,82,MTSTM,79,W,0.0,,0.0,
2016,BRYANT,56,WAGNR,65,L,0.0,,0.0,
2016,BRYANT,85,FDU,80,W,0.0,,0.0,
2016,CCONN,72,BRYANT,88,W,0.0,,0.0,
2015,BRYANT,71,ROBMO,68,W,0.0,,0.0,
2015,BRYANT,68,STFPA,75,L,0.0,,0.0,
2015,SACRD,83,BRYANT,66,L,0.0,,0.0,
2017,YALE,70,BRYANT,79,W,0.0,,0.0,
2017,BRYANT,90,BROWN,91,L,0.0,,0.0,
2017,BRYANT,66,NWEST,86,L,0.0,,0.0,
2017,ULMON,57,BRYANT,64,W,0.0,,0.0,
2017,BRYANT,77,EWASH,81,L,0.0,,0.0,
2017,BRYANT,70,GONZG,109,L,-28.5,L,0.0,
2017,SALVE,61,BRYANT,88,W,-30.5,L,144.5,O
2017,BRYANT,64,ND,89,L,0.0,,0.0,
2016,BRYANT,67,NH,75,L,0.0,,0.0,
2016,BRYANT,47,GTOWN,77,L,-23.5,L,142.0,U
2016,BRYANT,45,HARVD,80,L,0.0,,0.0,
2016,SIENA,78,BRYANT,59,L,0.0,,0.0,
2016,PVA&M,58,BRYANT,71,W,0.0,,0.0,
2016,EMRSON,69,BRYANT,82,W,0.0,,0.0,
2016,BRYANT,75,DUKE,113,L,0.0,,0.0,
2015,BRYANT,66,AKRON,72,L,0.0,,0.0,
2015,BRYANT,47,VERMT,73,L,0.0,,0.0,
2015,NH,63,BRYANT,72,W,0.0,,0.0,
2015,BRYANT,53,UCONN,66,L,0.0,,0.0,
2014,SALVE,55,BRYANT,82,W,0.0,,0.0,
2014,BROWN,67,BRYANT,70,W,0.0,,0.0,
2014,BRYANT,60,NH,55,W,0.0,,0.0,
2014,BRYANT,68,HARVD,86,L,0.0,,0.0,
2017,BRYANT,63,LIU,74,L,-3.5,L,148.5,U
2017,BRYANT,77,STFNY,80,L,0.0,,0.0,
2017,DART,75,BRYANT,69,L,0.0,,153.5,U
2017,NH,86,BRYANT,73,L,0.0,,0.0,
2017,BRYANT,74,NAVY,76,L,0.0,,0.0,
2017,BRYANT,53,OHIO,79,L,0.0,,0.0,
2016,BRYANT,62,DART,60,W,0.0,,0.0,
2016,BRYANT,60,MICH,96,L,-30.0,L,137.5,O
2016,BRYANT,67,PROV,74,L,-19.0,W,0.0,
2016,ARMY,77,BRYANT,55,L,0.0,,0.0,
2016,BROWN,76,BRYANT,68,L,0.0,,0.0,
2016,BRYANT,40,YALE,79,L,0.0,,0.0,
2015,DART,76,BRYANT,59,L,0.0,,0.0,
2015,BRYANT,48,DENVR,46,W,0.0,,0.0,
2015,BRYANT,80,ARMY,73,W,0.0,,0.0,
2015,BRYANT,62,BROWN,69,L,0.0,,0.0,
2015,YALE,67,BRYANT,60,L,0.0,,0.0,
2014,LEHIH,68,BRYANT,70,W,0.0,,0.0,
2014,BRYANT,62,BINGH,67,L,0.0,,0.0,
2014,BRYANT,107,DELA,108,L,0.0,,0.0,
2014,NAVY,80,BRYANT,90,W,0.0,,0.0,
2014,BRYANT,48,OHIOS,86,L,-20.5,L,140.0,U
2017,CCONN,77,BRYANT,91,W,0.0,,0.0,
2017,BRYANT,66,WAGNR,69,L,0.0,,0.0,
2017,STFPA,75,BRYANT,79,W,0.0,,0.0,
2017,ROBMO,73,BRYANT,81,W,0.0,,0.0,
2017,STFNY,69,BRYANT,80,W,0.0,,0.0,
2017,LIU,88,BRYANT,85,L,0.0,,0.0,
2017,BRYANT,70,SACRD,73,L,0.0,,0.0,
2017,BRYANT,70,MTSTM,77,L,-6.5,L,139.5,O
2016,BRYANT,88,LIU,83,W,0.0,,0.0,
2016,BRYANT,72,STFNY,79,L,0.0,,0.0,
2016,MTSTM,71,BRYANT,53,L,0.0,,0.0,
2016,SACRD,74,BRYANT,57,L,0.0,,0.0,
2016,WAGNR,79,BRYANT,55,L,0.0,,0.0,
2016,FDU,91,BRYANT,77,L,0.0,,0.0,
2016,BRYANT,71,ROBMO,89,L,0.0,,0.0,
2016,BRYANT,57,STFPA,63,L,0.0,,0.0,
2015,STFNY,51,BRYANT,61,W,0.0,,0.0,
2015,CCONN,69,BRYANT,77,W,0.0,,0.0,
2015,ROBMO,76,BRYANT,70,L,0.0,,0.0,
2015,BRYANT,66,WAGNR,65,W,0.0,,0.0,
2015,BRYANT,68,MTSTM,75,L,0.0,,0.0,
2015,BRYANT,74,FDU,71,W,0.0,,0.0,
2017,BRYANT,78,STFPA,100,L,-3.5,L,152.0,O
