Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 28 2017,CALPO,71,FULLR,81,L,-2.5,L,141.5,O
Jan 26 2017,CALPO,79,UCI,66,W,-13.0,W,131.0,O
Jan 21 2017,LONGB,98,CALPO,92,L,+3.0,L,143.0,O
Jan 18 2017,UCI,70,CALPO,48,L,+6.5,L,134.5,U
Jan 14 2017,CALPO,53,SABAR,58,L,+1.0,L,133.5,U
Jan 12 2017,FULLR,87,CALPO,74,L,-2.5,L,136.0,O
Jan 7 2017,CALPO,64,UCDAV,68,L,-7.0,W,134.5,U
Jan 30 2016,CALPO,52,UCDAV,66,L,+4.0,L,138.0,U
Jan 28 2016,UCRIV,72,CALPO,68,L,-8.0,L,147.0,U
Jan 23 2016,CALPO,83,FULLR,75,W,+5.0,W,150.0,O
Jan 21 2016,CALPO,74,CSNOR,76,L,+4.5,L,156.0,U
Jan 16 2016,LONGB,92,CALPO,96,W,-2.5,W,152.5,O
Jan 14 2016,SABAR,76,CALPO,73,L,-3.5,L,143.5,O
Jan 7 2016,CALPO,73,HAWAI,86,L,-10.0,L,151.5,O
Jan 31 2015,CALPO,78,UCDAV,81,L,-2.5,L,122.5,O
Jan 29 2015,CALPO,57,UCI,67,L,-7.0,L,119.5,O
Jan 24 2015,UCRIV,49,CALPO,68,W,-8.5,W,118.0,U
Jan 22 2015,FULLR,55,CALPO,66,W,-7.5,W,120.0,O
Jan 17 2015,CALPO,48,CSNOR,55,L,+2.5,L,122.5,U
Jan 15 2015,CALPO,48,LONGB,50,L,-6.0,W,127.5,U
Jan 10 2015,SABAR,50,CALPO,45,L,+3.0,L,119.0,U
Jan 7 2015,CALPO,61,HAWAI,57,W,-4.0,W,130.5,U
Nov 26 2016,ELON,72,CALPO,66,L,+6.5,W,146.5,U
Nov 25 2016,CALPO,71,ILCHI,84,L,+4.5,L,156.5,U
Nov 23 2016,CALPO,68,N.ILL,64,W,-9.5,W,139.0,U
Nov 19 2016,BTHSD,52,CALPO,69,W,0.0,,0.0,
Nov 17 2016,CSDMHI,64,CALPO,75,W,0.0,,0.0,
Nov 13 2016,CALPO,74,ARZST,96,L,-14.5,L,150.0,O
Nov 11 2016,CALPO,68,PEPPR,77,L,-8.0,L,139.5,O
Nov 28 2015,ALPVLY,55,CALPO,85,W,0.0,,0.0,
Nov 22 2015,CALPO,78,UMBC,65,W,+13.5,L,138.5,O
Nov 21 2015,APEAY,64,CALPO,73,W,-13.5,L,151.0,U
Nov 18 2015,CSMON,62,CALPO,71,W,0.0,,0.0,
Nov 15 2015,CALPO,83,UCLA,88,L,-7.0,W,146.5,O
Nov 13 2015,CALPO,72,UNLV,74,L,-6.5,W,138.0,O
Nov 29 2014,CALPO,56,STMAR,82,L,-12.5,L,0.0,
Nov 26 2014,CALPO,52,CAL,72,L,-12.5,L,125.5,U
Nov 21 2014,DELA,60,CALPO,78,W,-8.0,W,0.0,
Nov 18 2014,SNFRST,44,CALPO,65,W,0.0,,0.0,
Nov 15 2014,CALPO,49,NEV,65,L,-3.0,L,0.0,
