Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,RIDER,72,CANIS,66,L,-6.0,L,157.5,U
2017,MANHT,64,CANIS,78,W,-8.5,W,159.0,U
2017,CANIS,84,NIAGR,91,L,+4.5,L,160.5,O
2017,CANIS,90,QUINN,95,L,+3.5,L,163.0,O
2017,MONMO,76,CANIS,72,L,+2.5,L,164.0,U
2017,MARST,58,CANIS,91,W,-12.0,W,157.0,U
2017,CANIS,86,FAIRF,72,W,-3.0,W,165.0,U
2017,CANIS,75,IONA,98,L,-5.0,L,161.5,O
2017,QUINN,77,CANIS,83,W,-9.0,L,163.5,U
2017,SIENA,79,CANIS,82,W,-2.0,W,157.5,O
2016,CANIS,68,RIDER,79,L,-3.5,L,144.0,O
2016,CANIS,77,FAIRF,84,L,-1.0,L,163.0,U
2016,SIENA,99,CANIS,78,L,-2.5,L,150.0,O
2016,CANIS,70,NIAGR,61,W,+4.5,W,142.0,U
2016,CANIS,63,QUINN,53,W,+4.5,W,147.0,U
2016,CANIS,65,MANHT,62,W,+1.0,W,154.0,U
2016,CANIS,69,DART,80,L,+2.0,L,151.0,U
2016,STPET,70,CANIS,53,L,-8.0,L,150.0,U
2016,MANHT,94,CANIS,86,L,-9.5,L,154.0,O
2016,CANIS,66,MONMO,81,L,-8.5,L,163.5,U
2016,CANIS,92,MARST,83,W,+6.5,W,154.0,O
2015,QUINN,57,CANIS,63,W,-5.0,W,127.5,U
2015,CANIS,46,RIDER,59,L,-1.5,L,123.0,U
2017,CANIS,90,YOUNG,84,W,-5.5,W,155.0,O
2017,TNMAR,72,CANIS,69,L,-2.5,L,153.0,U
2017,CANIS,78,DUQU,77,W,-6.5,W,154.5,O
2017,CANIS,64,CLEST,67,L,-2.5,L,137.5,U
2017,CANIS,69,KENTY,93,L,-30.0,W,153.0,O
2016,CANIS,96,BUFF,98,L,-2.0,P,154.0,O
2016,STBON,77,CANIS,73,L,-2.0,L,153.5,U
2016,CORNL,62,CANIS,87,W,-11.0,W,157.5,U
2016,LEHIH,89,CANIS,98,W,0.0,,0.0,
2016,CANIS,85,HOFST,96,L,-10.5,L,150.5,O
2015,CANIS,57,BUFF,72,L,-3.5,L,0.0,
2015,CANIS,60,CORNL,67,L,+1.0,L,0.0,
2015,CANIS,53,STBON,59,L,-8.0,W,0.0,
