Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 28 2017,CLEST,64,YOUNG,67,L,+1.0,L,149.5,U
Jan 23 2017,CLEST,73,WISGB,83,L,-6.5,L,147.0,O
Jan 20 2017,CLEST,62,WISML,63,L,-1.0,P,128.5,U
Jan 16 2017,CLEST,76,OAKLN,65,W,-14.0,W,142.0,U
Jan 14 2017,VALPO,78,CLEST,67,L,+5.5,L,134.0,O
Jan 12 2017,ILCHI,59,CLEST,54,L,-5.0,L,138.5,U
Jan 7 2017,CLEST,75,N.KENT,83,L,-7.5,L,134.5,O
Jan 5 2017,CLEST,51,WRIGH,55,L,-6.5,W,136.5,U
Jan 30 2016,CLEST,70,ILCHI,72,L,+3.5,L,134.0,O
Jan 28 2016,CLEST,52,VALPO,77,L,-20.5,L,126.5,O
Jan 24 2016,YOUNG,70,CLEST,55,L,-6.5,L,143.0,U
Jan 18 2016,ILCHI,53,CLEST,70,W,-10.5,W,132.5,U
Jan 16 2016,CLEST,70,N.KENT,65,W,-3.5,W,130.0,O
Jan 14 2016,CLEST,53,WRIGH,70,L,-7.0,L,122.0,O
Jan 9 2016,WISML,65,CLEST,62,L,+5.0,W,134.0,U
Jan 7 2016,WISGB,87,CLEST,67,L,+3.0,L,149.0,O
Jan 4 2016,CLEST,80,DETRT,88,L,-8.5,W,148.5,O
Jan 2 2016,CLEST,68,OAKLN,86,L,-13.5,L,148.0,O
Jan 31 2015,WISGB,62,CLEST,76,W,+1.0,W,121.0,O
Jan 26 2015,CLEST,56,OAKLN,59,L,+2.5,L,135.0,U
Nov 30 2016,CLEST,51,ARKST,78,L,-7.5,L,136.0,U
Nov 27 2016,CLEST,71,DUQU,78,L,-5.5,L,144.0,O
Nov 23 2016,CLEST,70,KENTY,101,L,-29.0,L,136.0,O
Nov 18 2016,CLEST,74,TNMAR,85,L,-3.0,L,135.5,O
Nov 15 2016,CANIS,64,CLEST,67,W,-2.5,W,137.5,U
Nov 12 2016,KENT,79,CLEST,74,L,+1.0,L,139.5,O
Nov 28 2015,CLEST,63,MARYL,80,L,-21.5,W,134.5,O
Nov 25 2015,CLEST,66,SD.ST,77,L,-10.5,L,139.5,O
Nov 24 2015,RIDER,52,CLEST,57,W,+5.0,W,124.0,U
Nov 21 2015,CLEST,45,RHODEI,73,L,-13.0,L,131.0,U
Nov 17 2015,MALONE,46,CLEST,62,W,0.0,,0.0,
Nov 14 2015,CLEST,53,AKRON,65,L,-9.5,L,136.5,U
Nov 28 2014,CLEST,68,MARSH,59,W,+1.0,W,0.0,
Nov 26 2014,CLEST,33,LOUIS,45,L,-24.5,W,0.0,
Nov 22 2014,CLEST,83,SAVAN,87,L,0.0,,0.0,
Nov 19 2014,JAXST,46,CLEST,60,W,-14.0,P,0.0,
Nov 17 2014,TIFFN,56,CLEST,85,W,0.0,,0.0,
Nov 14 2014,CLEST,73,IONA,78,L,-6.5,W,0.0,
Nov 30 2013,BALL,55,CLEST,78,W,-7.5,W,142.0,U
Nov 25 2013,CLEST,61,KENTY,68,L,-24.0,W,158.0,U
Nov 23 2013,ROBMO,74,CLEST,87,W,0.0,,0.0,
Nov 18 2013,CLEST,69,EMICH,81,L,-2.5,L,135.5,O
