Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,OREG,65,COLO,74,W,+6.5,W,144.0,U
2017,OREST,78,COLO,85,W,-18.0,L,131.5,O
2017,COLO,89,WASST,91,L,+6.5,L,142.5,O
2017,COLO,83,WASH,85,L,-2.5,W,154.0,O
2017,USC,71,COLO,68,L,-3.5,L,150.5,U
2017,UCLA,104,COLO,89,L,+5.0,L,160.0,O
2017,COLO,73,ARIZ,82,L,-11.0,W,134.0,O
2017,COLO,77,ARZST,78,L,+1.5,L,153.5,O
2017,COLO,60,UTAH,76,L,-6.5,L,142.5,U
2016,CAL,62,COLO,70,W,-4.5,W,144.5,U
2016,STANF,75,COLO,91,W,-7.5,W,136.5,O
2016,COLO,75,WASST,70,W,+3.0,W,152.0,U
2016,COLO,83,WASH,95,L,-1.5,L,164.5,O
2016,OREG,87,COLO,91,W,-1.0,W,142.5,O
2016,OREST,54,COLO,71,W,-5.0,W,139.5,U
2016,UTAH,56,COLO,54,L,0.0,L,142.5,U
2016,COLO,56,STANF,55,W,-1.5,W,141.5,U
2016,COLO,65,CAL,79,L,-7.5,L,141.5,O
2015,COLO,59,UCLA,72,L,-6.5,L,133.5,U
2015,COLO,98,USC,94,W,+3.0,W,132.0,O
2015,WASST,58,COLO,90,W,-8.5,W,134.0,O
2015,WASH,52,COLO,50,L,-1.5,L,130.0,U
2017,COLST,72,COLO,58,L,-14.5,L,136.0,U
2017,WOFFD,60,COLO,75,W,-20.0,L,137.0,U
2017,COLO,68,TEXAS,54,W,+3.5,W,143.5,U
2017,ND,89,COLO,83,L,+2.5,L,146.0,O
2017,ULMON,70,COLO,89,W,-20.0,L,141.5,O
2017,SEATT,55,COLO,67,W,-22.0,L,144.0,U
2017,SACRA,53,COLO,90,W,-20.5,W,146.0,U
2016,NCOLO,52,COLO,82,W,-25.5,W,158.0,U
2016,AIRFO,70,COLO,81,W,-15.0,L,138.0,O
2016,NEBOM,82,COLO,87,W,-18.0,L,160.5,O
2016,PORTL,63,COLO,85,W,-13.0,W,152.0,U
2016,COLO,91,AUBRN,84,W,-1.0,W,148.5,O
2016,COLO,62,IOWAS,68,L,-10.0,W,151.5,U
2015,LIPSC,75,COLO,84,W,-15.5,L,0.0,
2015,AIRFO,53,COLO,68,W,-15.0,P,128.0,U
2015,COLO,33,WYOM,56,L,+1.5,L,0.0,
2015,AUBRN,59,COLO,90,W,-11.5,W,142.5,O
2015,DREXL,48,COLO,65,W,-14.5,W,134.0,U
2014,COLO,81,AIRFO,57,W,+13.5,W,142.0,U
2014,HARVD,62,COLO,70,W,-6.0,W,142.5,U
2014,SABAR,68,COLO,76,W,-14.5,L,143.5,O
2014,ARKST,70,COLO,93,W,-16.5,W,144.0,O
2014,JACKS,70,COLO,94,W,0.0,,0.0,
2014,WYOM,58,COLO,63,W,-9.5,L,138.0,U
2017,EWASH,68,COLO,76,W,-17.0,L,145.5,U
2017,COLO,75,AIRFO,68,W,+8.5,L,144.5,U
2017,FTHAY,71,COLO,81,W,0.0,,0.0,
2017,COLO,71,BYU,79,L,-4.5,L,161.5,U
2017,XAVIR,66,COLO,68,W,+2.0,W,143.0,U
2017,COLO,76,PORTL,63,W,+4.5,W,153.0,U
2016,SMU,70,COLO,66,L,+6.5,W,147.5,U
2016,PENST,70,COLO,71,W,-6.5,L,138.5,O
2016,HAMPT,53,COLO,95,W,0.0,,0.0,
2016,NICHL,68,COLO,85,W,0.0,,0.0,
2016,BYU,83,COLO,92,W,-5.0,W,152.0,O
2016,COLO,88,COLST,77,W,+2.5,W,154.5,O
2016,FTLWS,71,COLO,95,W,0.0,,0.0,
2015,COLO,66,HAWAI,69,L,+4.5,L,134.5,O
2015,GWASH,53,COLO,50,L,+1.5,L,126.0,U
2015,COLO,82,DPAUL,68,W,+9.0,W,142.5,O
2015,NCOLO,68,COLO,93,W,-12.0,W,133.5,O
2015,COLST,62,COLO,60,L,-5.5,L,131.5,U
2015,COLO,57,GA,64,L,-4.5,L,132.0,U
2015,SF,55,COLO,72,W,-10.5,W,137.5,U
2014,GA,70,COLO,84,W,-15.0,L,136.5,O
2014,OKST,78,COLO,73,L,+7.0,W,147.5,O
2017,UTAH,86,COLO,81,L,-2.0,L,146.0,O
2017,COLO,73,OREG,101,L,-12.0,L,140.5,O
2017,COLO,60,OREST,52,W,+11.5,L,135.0,U
2017,WASST,49,COLO,81,W,-12.5,W,149.0,U
2017,WASH,66,COLO,81,W,-9.0,W,155.0,U
2017,COLO,66,CAL,77,L,-7.0,L,137.5,O
2017,COLO,81,STANF,74,W,-2.0,W,139.0,O
2016,ARZST,69,COLO,79,W,-8.0,W,145.0,O
2016,ARIZ,72,COLO,75,W,+5.5,W,146.5,O
2016,COLO,53,UCLA,77,L,-5.0,L,149.0,U
2016,COLO,72,USC,79,L,-7.5,W,152.5,U
2016,WASH,80,COLO,81,W,-3.0,L,159.5,O
2016,WASST,81,COLO,88,W,-11.5,L,144.0,O
2016,COLO,56,OREST,60,L,-3.0,L,141.5,U
2016,COLO,56,OREG,76,L,-10.0,L,151.0,U
2015,ARIZ,82,COLO,54,L,+9.0,L,131.5,O
2015,COLO,58,OREST,72,L,-3.0,L,112.0,O
2015,COLO,60,OREG,73,L,-4.5,L,137.0,U
2015,STANF,58,COLO,64,W,+1.5,W,136.5,U
2015,CAL,68,COLO,61,L,-7.0,L,130.5,U
2015,UTAH,79,COLO,51,L,+5.5,L,123.5,O
2014,ARIZ,88,COLO,61,L,+4.0,L,132.0,O
2014,ARZST,52,COLO,61,W,-4.5,W,143.0,U
2017,COLO,74,UCF,79,L,-3.5,L,139.5,O
2017,COLO,78,ARIZ,92,L,-8.0,L,138.5,O
2017,WASST,63,COLO,73,W,-11.0,L,144.5,U
2017,CAL,46,COLO,54,W,-2.5,W,136.0,U
2017,STANF,72,COLO,91,W,-4.5,W,142.5,O
2016,UCONN,74,COLO,67,L,+3.5,L,131.5,O
2016,COLO,78,ARIZ,82,L,-7.5,W,144.0,O
2016,WASST,56,COLO,80,W,-9.5,W,139.0,U
2016,COLO,55,UTAH,57,L,-12.5,W,137.5,U
2015,COLO,65,SEATT,72,L,+5.0,L,142.0,U
2015,G.WEB,78,COLO,87,W,-12.0,L,159.0,O
2015,COLO,85,OREG,93,L,-2.5,L,143.0,O
2015,COLO,78,OREST,71,W,+4.5,W,118.0,O
2015,COLO,91,WASST,96,L,+2.5,L,144.0,O
2015,COLO,64,WASH,47,W,+2.5,W,141.5,U
2015,ARZST,81,COLO,87,W,-4.0,W,130.0,O
2014,PITT,77,COLO,48,L,+6.5,L,126.0,U
2014,COLO,43,ARIZ,63,L,-11.5,L,129.5,U
2014,COLO,59,CAL,56,W,-1.0,W,136.5,U
2014,USC,56,COLO,59,W,-9.0,L,140.5,U
2014,COLO,65,CAL,66,L,-5.5,W,138.5,U
2014,COLO,59,STANF,56,W,-9.0,W,142.0,U
2014,COLO,64,UTAH,75,L,-7.0,L,138.0,O
2013,COLO,49,ILL,57,L,-1.0,L,127.5,U
2013,COLO,69,ARIZ,79,L,-5.0,L,130.0,O
2013,OREST,68,COLO,74,W,-5.5,W,134.5,O
2013,OREST,64,COLO,58,L,-10.0,L,139.0,U
