Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,TULAN,68,UCONN,78,W,-11.5,L,134.0,O
2017,UCONN,81,S.FLA,60,W,+7.5,W,128.0,O
2017,E.CAR,65,UCONN,72,W,-8.5,L,119.5,O
2017,UCONN,49,SMU,69,L,-11.0,L,123.5,U
2017,UCONN,69,GTOWN,72,L,-7.5,W,133.0,O
2017,TEMPL,59,UCONN,73,W,-2.0,W,128.5,O
2017,UCF,49,UCONN,64,W,-2.0,W,118.5,U
2017,UCONN,61,MEMPH,70,L,-7.5,L,127.0,O
2016,UCONN,67,UCF,41,W,+7.5,W,135.0,U
2016,CINCY,58,UCONN,57,L,-2.0,L,130.5,U
2016,GTOWN,62,UCONN,68,W,-4.5,W,135.5,U
2016,TULAN,42,UCONN,60,W,-15.0,W,134.0,U
2016,UCONN,69,HOUST,57,W,-1.0,W,137.5,U
2016,UCONN,51,TULSA,60,L,0.0,L,139.5,U
2016,MEMPH,78,UCONN,81,W,-7.0,L,147.5,O
2016,TEMPL,55,UCONN,53,L,-10.0,L,140.0,U
2016,UCONN,75,TULAN,67,W,+12.0,L,136.0,O
2015,UCONN,58,CINCY,70,L,-4.5,L,114.5,O
2015,S.FLA,53,UCONN,66,W,-14.0,L,119.5,U
2015,UCF,60,UCONN,67,W,-16.5,L,132.5,U
2015,UCONN,59,STANF,72,L,-5.5,L,123.5,O
2017,BOSTU,49,UCONN,51,W,0.0,,0.0,
2017,UCONN,93,CHAMI,82,W,+15.0,L,0.0,
2017,OKST,98,UCONN,90,L,+3.5,L,151.5,O
2017,UCONN,65,LOYMA,62,W,+5.5,L,137.5,U
2017,NEAST,64,UCONN,61,L,-13.0,L,135.5,U
2017,WAGNR,67,UCONN,58,L,0.0,,0.0,
2016,UCONN,70,GONZG,73,L,-3.0,P,140.0,O
2016,UCONN,76,SYRA,79,L,+6.0,L,133.5,O
2016,MICH,60,UCONN,74,W,-4.5,W,138.0,U
2016,FURMN,58,UCONN,83,W,-18.0,W,140.0,O
2016,NH,66,UCONN,85,W,0.0,,0.0,
2016,MAINE,56,UCONN,100,W,0.0,,0.0,
2015,TEXAS,55,UCONN,54,L,-2.0,L,128.0,U
2015,W.VA,78,UCONN,68,L,-4.0,L,134.0,O
2015,DAYTN,64,UCONN,75,W,-4.5,W,126.5,O
2015,COLCH,57,UCONN,65,W,-13.0,L,124.0,U
2015,BRYANT,53,UCONN,66,W,0.0,,0.0,
2014,LOYOL,66,UCONN,76,W,0.0,,0.0,
2014,UCONN,59,INDY,58,W,+3.0,L,159.5,U
2014,UCONN,72,BC,70,W,+9.5,L,151.5,U
2014,BOSTU,60,UCONN,77,W,-15.0,W,147.5,U
2014,DETRT,55,UCONN,101,W,-18.0,W,157.0,U
2014,YALE,62,UCONN,80,W,-15.5,W,145.5,U
2017,UCONN,59,TULSA,61,L,-1.5,L,129.5,U
2017,HOUST,62,UCONN,46,L,+3.0,L,127.5,U
2017,AUBRN,70,UCONN,67,L,-4.0,L,140.0,U
2017,N.FLA,59,UCONN,80,W,0.0,,0.0,
2017,UCONN,60,OHIOS,64,L,-9.5,W,129.5,U
2017,UCONN,52,SYRA,50,W,-8.0,W,127.5,U
2016,UCONN,71,TEXAS,66,W,-2.5,W,142.0,U
2016,CCONN,52,UCONN,99,W,-32.5,W,142.5,O
2016,LOWELL,79,UCONN,88,W,0.0,,0.0,
2016,OHIOS,55,UCONN,75,W,-7.5,W,135.0,U
2016,MARYL,76,UCONN,66,L,+2.0,L,142.0,P
2016,SACRD,49,UCONN,82,W,0.0,,0.0,
2015,TEMPL,57,UCONN,53,L,-7.5,L,128.0,U
2015,CCONN,48,UCONN,81,W,0.0,,0.0,
2015,COLUM,65,UCONN,80,W,-7.5,W,0.0,
2015,DUKE,66,UCONN,56,L,+11.0,W,139.5,U
2015,COPIN,85,UCONN,106,W,0.0,,0.0,
2015,YALE,45,UCONN,44,L,-8.5,L,0.0,
2014,UCONN,71,HOUST,75,L,+8.5,L,139.0,O
2014,EWASH,65,UCONN,82,W,-17.5,L,143.0,O
2014,UCONN,82,WASH,70,W,+5.5,W,146.0,O
2014,STANF,53,UCONN,51,L,-7.0,L,144.5,U
2014,MAINE,68,UCONN,95,W,0.0,,0.0,
2014,FLA,64,UCONN,65,W,-4.0,L,131.5,U
2017,SMU,69,UCONN,61,L,+7.5,L,126.5,O
2017,UCONN,70,HOUST,75,L,-7.5,W,131.5,O
2017,UCONN,64,TEMPL,63,W,-3.0,W,134.5,U
2017,MEMPH,62,UCONN,65,W,-3.5,L,132.0,U
2017,UCONN,66,UCF,63,W,-4.5,W,124.0,O
2017,S.FLA,51,UCONN,97,W,-12.5,W,131.0,O
2017,UCONN,68,CINCY,82,L,-13.5,L,123.5,O
2016,HOUST,75,UCONN,68,L,-10.0,L,136.0,O
2016,UCONN,81,S.FLA,51,W,+14.0,W,129.0,O
2016,UCONN,60,CINCY,65,L,-3.5,L,126.5,U
2016,SMU,62,UCONN,68,W,-3.0,W,134.5,U
2016,TULSA,73,UCONN,75,W,-8.0,L,133.0,O
2016,UCONN,58,TEMPL,63,L,+5.0,L,127.5,U
2016,E.CAR,67,UCONN,85,W,-19.0,L,134.0,O
2016,UCONN,77,MEMPH,57,W,+2.5,W,141.5,U
2015,UCONN,60,E.CAR,49,W,+5.5,W,123.5,U
2015,TULAN,60,UCONN,67,W,-11.5,L,119.5,O
2015,UCONN,72,MEMPH,75,L,-2.0,L,124.5,O
2015,UCONN,55,SMU,73,L,-6.5,L,124.0,O
2015,TULSA,45,UCONN,70,W,-3.5,W,120.5,U
2015,UCONN,62,TULAN,53,W,+5.5,W,120.0,U
2015,E.CAR,52,UCONN,65,W,-14.0,L,123.5,U
2017,UCONN,71,CINCY,81,L,-9.0,L,124.0,O
2017,UCONN,74,HOUST,65,W,-4.5,W,130.5,O
2017,S.FLA,66,UCONN,77,W,-12.0,L,130.0,O
2017,CINCY,67,UCONN,47,L,+6.5,L,126.0,U
2017,UCONN,62,E.CAR,66,L,+3.5,L,128.5,U
2016,UCONN,61,KANSA,73,L,-7.5,L,140.0,U
2016,UCONN,74,COLO,67,W,+3.5,W,131.5,O
2016,MEMPH,58,UCONN,72,W,-5.5,W,138.0,U
2016,UCONN,77,TEMPL,62,W,+4.0,W,127.5,O
2016,UCONN,104,CINCY,97,W,-2.0,W,124.0,O
2016,UCF,46,UCONN,67,W,-17.0,W,132.5,U
2016,UCONN,54,SMU,80,L,-4.5,L,133.0,O
2015,ARZST,68,UCONN,61,L,-1.5,L,134.5,U
2015,UCONN,54,SMU,62,L,-3.5,L,121.5,U
2015,UCONN,47,TULSA,42,W,+3.0,W,120.5,U
2015,UCONN,57,CINCY,54,W,-1.5,W,117.0,U
2015,S.FLA,43,UCONN,69,W,-13.5,W,125.5,U
2015,UCONN,63,TEMPL,75,L,-3.5,L,122.0,O
2015,MEMPH,54,UCONN,53,L,-6.5,L,128.0,U
2015,SMU,73,UCONN,81,W,+1.5,W,121.5,O
2014,UCONN,60,MICHS,54,W,-5.0,W,139.5,U
2014,UCONN,81,IOWAS,76,W,-1.0,W,148.5,O
2014,UCONN,77,VILLA,65,W,-4.5,W,133.0,O
2014,STJOE,81,UCONN,89,W,-5.5,W,132.0,O
2014,UCONN,61,LOUIS,71,L,-8.0,L,135.5,U
2014,UCONN,58,CINCY,56,W,-1.0,W,123.0,U
2014,MEMPH,53,UCONN,72,W,+2.0,W,140.5,U
2014,UCONN,48,LOUIS,81,L,-9.0,L,135.5,U
2014,KENTY,54,UCONN,60,W,+2.5,W,135.0,U
2014,UCONN,63,FLA,53,W,-7.0,W,127.0,U
2011,BUTLR,41,UCONN,53,W,-3.0,W,132.0,U
2011,KENTY,55,UCONN,56,W,+2.5,W,138.5,U
2009,MICHS,82,UCONN,73,L,-4.5,L,133.5,O
2004,UCONN,82,GATEC,73,W,+5.0,W,146.5,O
2004,UCONN,79,DUKE,78,W,+2.0,L,145.5,O
