Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,WISGB,92,DETRT,93,W,+5.0,W,167.0,O
2017,WISML,73,DETRT,69,L,-2.5,L,150.5,U
2017,DETRT,87,N.KENT,101,L,-10.0,L,159.5,O
2017,DETRT,88,WRIGH,106,L,-7.5,L,154.5,O
2017,YOUNG,71,DETRT,87,W,-4.0,W,168.5,U
2017,DETRT,93,OAKLN,88,W,-18.0,W,155.0,O
2017,DETRT,74,VALPO,81,L,-17.0,W,152.0,O
2017,DETRT,64,ILCHI,78,L,-7.0,L,156.0,U
2016,WRIGH,68,DETRT,75,W,-2.5,W,153.0,U
2016,N.KENT,91,DETRT,83,L,-7.5,L,159.5,O
2016,DETRT,108,WISGB,115,L,-5.5,L,181.0,O
2016,DETRT,80,WISML,83,L,-6.5,W,159.5,O
2016,DETRT,76,WRIGH,77,L,-5.5,W,146.5,O
2016,OAKLN,86,DETRT,82,L,+1.5,L,179.0,U
2016,VALPO,92,DETRT,74,L,+7.5,L,150.5,O
2016,ILCHI,69,DETRT,87,W,-16.5,W,160.0,U
2016,CLEST,80,DETRT,88,W,-8.5,L,148.5,O
2016,YOUNG,87,DETRT,96,W,-12.0,L,169.0,O
2015,DETRT,74,WISML,78,L,-1.0,L,135.0,O
2015,YOUNG,87,DETRT,93,W,-9.0,L,145.5,O
2015,WRIGH,64,DETRT,53,L,-6.5,L,132.0,U
2015,DETRT,66,CLEST,70,L,-7.0,W,129.0,O
2017,EMICH,87,DETRT,61,L,+8.5,L,158.0,U
2017,MANHT,84,DETRT,81,L,0.0,L,158.0,O
2017,DETRT,70,NH,86,L,-6.5,L,148.5,O
2017,DETRT,71,FLAST,100,L,-24.5,L,167.5,O
2017,DETRT,69,ILL,89,L,-19.5,L,158.5,U
2017,DETRT,78,E.TEN,107,L,-15.5,L,157.5,O
2017,ADRIAN,69,DETRT,99,W,0.0,,0.0,
2016,DETRT,95,ORALR,100,L,-7.0,W,151.0,O
2016,MCHDRB,70,DETRT,122,W,0.0,,0.0,
2016,DETRT,79,PITT,95,L,-17.5,W,150.0,O
2016,CENTST,65,DETRT,88,W,0.0,,0.0,
2015,BOWLG,64,DETRT,63,L,-3.0,L,131.5,U
