Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,DUQU,90,RICHM,101,L,-10.0,L,150.0,O
2017,DUQU,60,DAVID,74,L,-13.5,L,150.0,U
2017,RHODEI,90,DUQU,69,L,+8.5,L,145.5,O
2017,DUQU,63,GWASH,65,L,-8.5,W,143.0,U
2017,DAYTN,76,DUQU,57,L,+10.5,L,143.5,U
2017,STL,66,DUQU,73,W,-10.5,L,135.5,O
2017,DUQU,81,LASAL,88,L,-11.0,W,151.5,O
2017,VACOM,94,DUQU,87,L,+10.5,W,141.5,O
2016,DUQU,78,STL,67,W,+5.0,W,153.0,U
2016,LASAL,60,DUQU,87,W,-11.5,W,141.0,O
2016,DUQU,86,GMASN,75,W,+1.5,W,145.5,O
2016,DUQU,71,VACOM,93,L,-15.0,L,156.0,O
2016,STBON,88,DUQU,95,W,+1.0,W,150.5,O
2016,STL,71,DUQU,81,W,-9.0,W,140.0,O
2016,DUQU,64,GWASH,91,L,-10.5,L,145.0,O
2016,DUQU,66,DAVID,77,L,-7.5,L,167.0,U
2016,DAYTN,66,DUQU,58,L,+7.0,L,147.0,U
2015,GMASN,53,DUQU,62,W,-3.0,W,144.0,U
2015,DUQU,55,RICHM,86,L,-11.5,L,136.5,O
2015,DUQU,59,GWASH,74,L,-14.0,L,137.0,U
2015,STBON,100,DUQU,97,L,+3.0,P,141.0,O
2017,UMBC,81,DUQU,72,L,0.0,,0.0,
2017,CLEST,71,DUQU,78,W,-5.5,W,144.0,O
2017,TNMAR,66,DUQU,63,L,-5.0,L,161.0,U
2017,DUQU,59,KENTY,93,L,-28.5,L,157.5,U
2017,CANIS,78,DUQU,77,L,-6.5,L,154.5,O
2017,STFPA,75,DUQU,89,W,-13.5,W,155.5,O
2017,DUQU,74,PENST,82,L,-10.0,W,159.0,U
2017,LOYMD,60,DUQU,65,W,-10.5,L,146.5,U
2016,DUQU,81,W.KEN,73,W,+2.5,W,155.5,U
2016,WISML,92,DUQU,96,W,0.0,W,154.5,O
2016,PEPPR,84,DUQU,70,L,+3.5,L,154.5,U
2016,PENST,52,DUQU,78,W,-2.5,W,143.5,U
2016,NEWOR,75,DUQU,95,W,0.0,,0.0,
2016,STNHIL,71,DUQU,96,W,0.0,,0.0,
2015,NJIT,84,DUQU,81,L,0.0,,0.0,
2015,DUQU,102,ABILE,81,W,0.0,,0.0,
2015,BLUEF,51,DUQU,91,W,0.0,,0.0,
2014,DUQU,67,PITT,84,L,-20.0,W,150.5,O
2014,ALBNY,59,DUQU,70,W,0.0,,0.0,
2014,DUQU,83,W.VA,96,L,-13.5,W,162.5,O
2014,NH,84,DUQU,81,L,0.0,,0.0,
2014,ABILE,75,DUQU,94,W,0.0,,0.0,
2013,DUQU,73,APPST,72,W,+4.0,L,0.0,
2013,YOUNG,74,DUQU,84,W,+2.0,W,0.0,
2013,ND.ST,57,DUQU,43,L,-1.5,L,0.0,
2013,JMU,88,DUQU,90,W,-7.0,L,0.0,
2017,DUQU,75,FORDM,72,W,-5.0,W,133.0,O
2017,COLGT,57,DUQU,70,W,0.0,,0.0,
2017,JACKS,62,DUQU,74,W,-8.5,W,142.5,U
2017,CCONN,67,DUQU,70,W,0.0,,0.0,
2017,DUQU,60,ROBMO,64,L,0.0,,0.0,
2017,DUQU,64,PITT,55,W,-14.5,W,147.5,U
2016,DUQU,67,GATEC,73,L,-9.0,W,151.0,U
2016,ROBMO,65,DUQU,72,W,0.0,,0.0,
2016,SC.ST,68,DUQU,83,W,0.0,,0.0,
2016,DUQU,67,STFPA,65,W,0.0,,0.0,
2016,UMBC,70,DUQU,89,W,0.0,,0.0,
2016,DUQU,75,PITT,96,L,-8.5,L,153.0,O
2016,MSVAL,77,DUQU,91,W,0.0,,0.0,
2015,TEXPA,72,DUQU,78,W,0.0,,0.0,
2015,MD-ES,78,DUQU,69,L,0.0,,0.0,
2015,LOWELL,63,DUQU,79,W,0.0,,0.0,
2015,STFPA,67,DUQU,52,L,0.0,,0.0,
2015,DUQU,59,ROBMO,75,L,0.0,,0.0,
2015,DUQU,62,PENST,64,L,-7.5,W,152.5,U
2015,DUQU,62,PITT,76,L,-8.5,L,0.0,
2017,DUQU,77,STBON,80,L,-13.5,W,154.5,O
2017,FORDM,70,DUQU,52,L,-1.5,L,134.0,U
2017,GWASH,77,DUQU,70,L,+2.0,L,145.0,O
2017,UMASS,66,DUQU,96,W,+4.0,W,154.5,O
2017,DUQU,81,STL,87,L,+1.5,L,134.5,O
2017,DUQU,53,DAYTN,90,L,-17.0,L,142.5,O
2017,STBON,71,DUQU,64,L,+7.0,P,153.0,U
2016,RICHM,83,DUQU,67,L,+1.0,L,156.5,U
2016,DUQU,76,STBON,80,L,-6.5,W,160.0,U
2016,DUQU,74,RHODEI,77,L,-8.5,W,148.5,O
2016,GWASH,81,DUQU,74,L,+2.5,L,154.0,O
2016,UMASS,108,DUQU,99,L,-7.5,L,157.0,O
2016,DUQU,74,DAYTN,76,L,-14.0,W,146.5,O
2016,DAVID,93,DUQU,82,L,-2.5,L,167.5,O
2015,DUQU,75,STBON,92,L,-7.5,L,145.5,O
2015,STL,66,DUQU,79,W,-4.5,W,137.0,O
2015,DAYTN,73,DUQU,83,W,+8.0,W,140.5,O
2015,DUQU,72,LASAL,87,L,-10.0,L,134.0,O
2015,DUQU,74,UMASS,82,L,-9.5,W,142.5,O
2015,GWASH,62,DUQU,78,W,+7.0,W,134.5,O
2015,DUQU,69,DAVID,95,L,-12.5,L,152.5,O
2014,DUQU,71,STL,64,W,-13.5,W,138.0,U
2014,DAYTN,57,DUQU,54,L,+5.0,W,148.0,U
2017,DUQU,71,STL,72,L,+4.0,L,131.5,O
2017,STJOE,63,DUQU,60,L,-3.0,L,145.0,U
2017,DUQU,62,GMASN,63,L,-8.5,W,154.5,U
2016,DUQU,72,MORHD,82,L,-5.5,L,156.0,U
2016,NEBOM,112,DUQU,120,W,-5.0,W,180.5,O
2016,LASAL,88,DUQU,73,L,-7.0,L,144.0,O
2016,DUQU,78,STJOE,70,W,-11.0,W,160.0,U
2016,FORDM,78,DUQU,69,L,-4.5,L,149.5,U
2015,DUQU,55,GWASH,73,L,-9.5,L,139.5,U
2015,STL,55,DUQU,61,W,-3.5,W,140.0,U
2015,DAVID,107,DUQU,78,L,+8.5,L,155.0,O
2015,DUQU,81,FORDM,66,W,-2.0,W,148.5,U
2014,DUQU,64,RICHM,76,L,-2.0,L,135.0,O
2014,DUQU,81,GMASN,69,W,-4.5,W,143.5,O
2014,UMASS,78,DUQU,74,L,+4.5,W,156.5,U
2013,DUQU,55,RICHM,79,L,-14.5,L,143.5,U
2013,CHARL,89,DUQU,87,L,+3.0,W,143.5,O
2013,DUQU,64,LASAL,97,L,-16.0,L,143.5,O
2012,DUQU,83,UMASS,92,L,-5.0,L,151.0,O
2012,STL,75,DUQU,60,L,+4.5,L,131.5,O
2011,DUQU,75,OREG,77,L,+1.0,L,151.0,O
2011,DUQU,87,MONTA,76,W,+2.0,W,136.0,O
2011,STJOE,93,DUQU,90,L,-10.0,L,136.5,O
2011,DUQU,56,RICHM,68,L,-2.5,L,139.5,U
2011,STBON,64,DUQU,70,W,-12.5,L,141.0,U
2010,DUQU,51,PRNCE,65,L,-4.5,L,121.0,U
2010,DUQU,71,STBON,83,L,+1.0,L,150.0,O
2010,FORDM,100,DUQU,111,W,-21.0,L,151.5,O
