Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,SAVAN,107,FLA&M,100,L,0.0,,0.0,
2018,FLA&M,71,NORFK,80,L,0.0,,0.0,
2018,FLA&M,75,HAMPT,71,W,0.0,,0.0,
2018,DELST,89,FLA&M,94,W,0.0,,0.0,
2018,FLA&M,81,BCOOK,99,L,0.0,,0.0,
2018,FLA&M,78,COPIN,79,L,0.0,,0.0,
2018,FLA&M,68,MORGN,87,L,0.0,,0.0,
2018,HOWRD,76,FLA&M,84,W,0.0,,0.0,
2018,FLA&M,58,TEXAS,82,L,0.0,,0.0,
2018,FLA&M,63,SFA,79,L,0.0,,0.0,
2018,FLA&M,50,WISGB,57,L,0.0,,0.0,
2018,FLA&M,66,ND.ST,80,L,0.0,,0.0,
2018,ALBST,59,FLA&M,77,W,0.0,,0.0,
2018,FLA&M,48,MISST,79,L,0.0,,0.0,
2018,FLA&M,59,MIAMI,90,L,0.0,,0.0,
2018,FLA&M,66,UNLV,108,L,-23.0,L,144.0,O
2018,FLA&M,51,GRCNYN,67,L,0.0,,0.0,
2018,FLA&M,54,BALL,75,L,0.0,,0.0,
2018,FLA&M,69,FORDM,79,L,0.0,,0.0,
2018,FLA&M,54,GATEC,79,L,-22.0,L,127.0,O
2018,FLA&M,50,SUTHR,68,L,0.0,,0.0,
2018,N.FLA,101,FLA&M,89,L,0.0,,0.0,
2018,FLA&M,64,MERCR,82,L,0.0,,0.0,
2018,FLA&M,59,MURRAY,80,L,0.0,,0.0,
2018,SC.ST,74,FLA&M,76,W,0.0,,0.0,
2018,NCA&T,77,FLA&M,83,W,0.0,,0.0,
2018,FLA&M,66,DELST,63,W,0.0,,0.0,
2018,MORGN,74,FLA&M,48,L,0.0,,0.0,
2018,NCCEN,56,FLA&M,65,W,0.0,,0.0,
2018,FLA&M,61,MD-ES,62,L,0.0,,0.0,
2018,FLA&M,80,HOWRD,83,L,0.0,,0.0,
2018,FLA&M,71,HAMPT,75,L,-10.0,W,148.0,U
2018,FLA&M,88,HOWRD,78,W,-3.0,W,142.5,O
2018,BCOOK,89,FLA&M,77,L,0.0,,0.0,
