Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2017,DAYTN,75,FORDM,66,L,+8.0,L,130.0,O
Jan 28 2017,DAVID,84,FORDM,66,L,+6.0,L,136.0,O
Jan 21 2017,FORDM,71,UMASS,68,W,-8.5,W,137.5,O
Jan 18 2017,VACOM,67,FORDM,69,W,+10.5,W,135.0,O
Jan 14 2017,FORDM,53,STBON,73,L,-8.0,L,139.5,U
Jan 11 2017,FORDM,60,DAVID,54,W,-15.0,W,140.0,U
Jan 7 2017,STJOE,70,FORDM,55,L,0.0,L,132.0,U
Jan 4 2017,FORDM,72,RICHM,80,L,-8.0,P,138.5,O
Jan 30 2016,FORDM,78,UMASS,72,W,-4.0,W,146.5,O
Jan 27 2016,FORDM,63,RHODEI,79,L,-10.0,L,130.0,O
Jan 24 2016,DAYTN,64,FORDM,50,L,+8.5,L,138.5,U
Jan 20 2016,GMASN,62,FORDM,73,W,-3.5,W,137.5,U
Jan 16 2016,FORDM,55,STJOE,80,L,-10.0,L,147.0,U
Jan 13 2016,FORDM,54,VACOM,88,L,-13.0,L,142.0,P
Jan 10 2016,RICHM,93,FORDM,82,L,+3.5,L,145.0,O
Jan 6 2016,LASAL,61,FORDM,66,W,-9.0,L,137.0,U
Jan 3 2016,FORDM,63,GWASH,69,L,-11.5,W,138.0,U
Jan 28 2015,RHODEI,64,FORDM,63,L,+9.5,W,125.5,O
Jan 22 2015,GWASH,79,FORDM,59,L,+10.5,L,126.5,O
Jan 17 2015,FORDM,49,LASAL,60,L,-13.0,W,131.0,U
Jan 14 2015,FORDM,55,STJOE,66,L,-9.5,L,127.5,U
Jan 10 2015,DAYTN,76,FORDM,58,L,+9.0,L,128.5,O
Nov 30 2016,SACRD,71,FORDM,70,L,0.0,,0.0,
Nov 26 2016,TEXAR,67,FORDM,63,L,-1.0,L,144.5,U
Nov 20 2016,LIPSC,69,FORDM,85,W,0.0,,0.0,
Nov 19 2016,STPET,41,FORDM,63,W,-3.5,W,135.5,U
Nov 18 2016,FDU,55,FORDM,68,W,0.0,,0.0,
Nov 14 2016,NYIT,75,FORDM,101,W,0.0,,0.0,
Nov 11 2016,FORDM,59,E.TEN,96,L,-6.5,L,152.5,O
Nov 28 2015,MANHT,64,FORDM,87,W,-9.5,W,143.0,O
Nov 24 2015,COLGT,58,FORDM,84,W,0.0,,0.0,
Nov 21 2015,FDU,62,FORDM,85,W,0.0,,0.0,
Nov 17 2015,QUEENY,57,FORDM,76,W,0.0,,0.0,
Nov 14 2015,FORDM,72,TEXAR,77,L,-3.0,L,145.0,O
Nov 29 2014,MD-ES,72,FORDM,66,L,0.0,,0.0,
Nov 23 2014,LOWELL,64,FORDM,57,L,0.0,,0.0,
Nov 20 2014,FORDM,50,MARYL,66,L,-19.0,W,0.0,
Nov 16 2014,FORDM,54,PENST,73,L,-12.5,L,147.5,U
Nov 14 2014,NYIT,77,FORDM,94,W,0.0,,0.0,
Nov 26 2013,FORDM,79,MANHT,75,W,-12.5,W,0.0,
Nov 23 2013,SACRD,85,FORDM,73,L,0.0,,0.0,
