Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,W.CAR,66,FURMN,100,W,-14.5,W,141.5,O
2018,FURMN,61,NCGRE,71,L,-1.5,L,134.5,U
2018,SAMFD,67,FURMN,78,W,-14.0,L,151.0,U
2018,E.TEN,62,FURMN,61,L,-2.0,L,146.0,U
2018,FURMN,70,WOFFD,79,L,+1.0,L,146.0,O
2018,FURMN,73,CHATT,55,W,+7.5,W,138.5,U
2018,MERCR,71,FURMN,74,W,-3.5,L,147.5,U
2018,CITDL,67,FURMN,107,W,-19.0,W,173.5,O
2018,WINTH,93,FURMN,74,L,0.0,,0.0,
2018,FURMN,78,NEAST,67,W,+3.0,W,138.0,O
2018,NH,64,FURMN,78,W,0.0,,0.0,
2018,FURMN,63,DUKE,92,L,-22.5,L,153.5,O
2018,FURMN,65,BUTLR,82,L,-12.5,L,146.0,O
2018,ELON,67,FURMN,76,W,-4.0,W,149.0,U
2018,BOBJON,48,FURMN,101,W,0.0,,0.0,
2018,FURMN,87,VMI,57,W,+12.0,W,146.0,U
2018,FURMN,61,TENN,66,L,-16.0,W,146.5,U
2018,FURMN,90,NCWIL,84,W,+2.0,W,163.5,O
2018,MONTR,47,FURMN,103,W,0.0,,0.0,
2018,SC.ST,72,FURMN,101,W,0.0,,0.0,
2018,NCASH,72,FURMN,83,W,0.0,,0.0,
2018,TNTEC,50,FURMN,64,W,-6.5,W,156.0,U
2018,FURMN,79,E.TEN,76,W,-3.5,W,146.0,O
2018,FURMN,78,W.CAR,55,W,+9.5,W,145.5,U
2018,VMI,54,FURMN,76,W,-18.0,W,142.0,U
2018,FURMN,94,SAMFD,79,W,+8.5,W,160.5,O
2018,CHATT,56,FURMN,75,W,-14.0,W,142.5,U
2018,WOFFD,52,FURMN,76,W,-6.5,W,147.0,U
2018,NCGRE,80,FURMN,67,L,-4.0,L,138.0,O
2018,FURMN,92,CITDL,100,L,+12.0,L,171.0,O
2018,FURMN,85,MERCR,73,W,+2.0,W,140.5,O
2018,FURMN,52,E.TEN,63,L,+1.0,L,142.5,U
2018,W.CAR,73,FURMN,97,W,-14.5,W,142.5,O
