Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,GMASN,76,UMASS,74,W,-5.5,W,149.0,O
2017,GWASH,87,GMASN,68,L,-3.0,L,141.5,O
2017,GMASN,82,RICHM,77,W,-6.0,W,145.0,O
2017,STL,63,GMASN,56,L,-14.0,L,136.0,U
2017,GMASN,75,STJOE,67,W,-4.0,W,141.0,O
2017,GMASN,72,STBON,82,L,-8.0,L,156.0,U
2017,UMASS,81,GMASN,86,W,-2.5,W,146.0,O
2016,GWASH,76,GMASN,70,L,+8.0,W,135.5,O
2016,DUQU,86,GMASN,75,L,+1.5,L,145.5,O
2016,GMASN,62,FORDM,73,L,-3.5,L,137.5,U
2016,GMASN,92,STL,79,W,-2.0,W,132.0,O
2016,STJOE,87,GMASN,73,L,+5.0,L,134.0,O
2016,GMASN,75,DAVID,81,L,-13.0,W,148.5,O
2016,STBON,77,GMASN,58,L,+3.5,L,134.0,O
2016,GMASN,47,VACOM,71,L,-14.5,L,135.0,U
2015,GMASN,53,DUQU,62,L,-3.0,L,144.0,U
2015,STL,60,GMASN,68,W,-4.0,W,125.0,O
2015,DAVID,80,GMASN,73,L,+6.0,L,149.0,O
2015,GMASN,53,GWASH,63,L,-11.5,W,126.5,U
2015,GMASN,55,STBON,75,L,-4.5,L,136.0,U
2015,UMASS,66,GMASN,62,L,+2.0,L,139.5,U
2015,GMASN,65,RICHM,75,L,-7.5,L,120.5,O
2017,GMASN,54,NIOWA,50,W,-14.0,W,125.0,U
2017,JMU,77,GMASN,80,W,-5.5,L,135.5,O
2017,KENT,75,GMASN,79,W,+4.0,W,142.5,O
2017,HOUST,93,GMASN,56,L,+11.5,L,143.5,O
2017,MTSTM,78,GMASN,76,L,0.0,,0.0,
2017,LEBVAL,65,GMASN,90,W,0.0,,0.0,
2017,TOWSN,67,GMASN,61,L,-1.0,L,143.5,U
2016,WRIGH,39,GMASN,66,W,-3.5,W,132.5,U
2016,GMASN,67,MANHT,69,L,+3.5,L,140.0,U
2016,GMASN,66,VIRGA,83,L,-20.5,W,123.5,O
2016,GMASN,71,OKST,68,W,-9.5,W,133.5,O
2016,MISS,62,GMASN,68,W,+12.0,W,142.0,U
2016,GMASN,60,MERCR,69,L,-7.5,L,137.0,U
2016,COLGT,66,GMASN,53,L,0.0,,0.0,
2015,MANHT,63,GMASN,64,W,-1.0,P,0.0,
2015,COLCH,61,GMASN,60,L,+3.0,W,0.0,
2015,GMASN,58,NEWMX,69,L,-6.5,L,0.0,
2015,GMASN,65,W.VA,91,L,-10.0,L,138.5,O
2015,PRNCE,60,GMASN,63,W,-1.5,W,0.0,
2015,CORNL,68,GMASN,60,L,-12.5,L,0.0,
2014,RHODEI,54,GMASN,61,W,-7.5,L,139.5,U
2014,GMASN,66,PRNCE,71,L,-6.5,W,126.5,O
2014,GMASN,73,IONA,89,L,-5.5,L,159.5,O
2017,VACOM,73,GMASN,64,L,+4.0,L,144.0,U
2017,PVA&M,59,GMASN,75,W,0.0,,0.0,
2017,LONGW,60,GMASN,97,W,0.0,,0.0,
2017,GMASN,79,PENN,60,W,-3.5,W,139.5,U
2017,GMASN,85,PENST,66,W,-9.0,W,140.5,O
2017,MERCR,68,GMASN,79,W,-2.5,W,128.5,O
2016,WAGNR,60,GMASN,71,W,0.0,,0.0,
2016,LONGW,70,GMASN,75,W,0.0,,0.0,
2016,GMASN,46,JMU,69,L,-6.0,L,136.0,U
2016,NIOWA,73,GMASN,65,L,+4.5,L,130.0,O
2016,PENN,44,GMASN,63,W,-7.0,W,136.5,U
2016,GMASN,54,TOWSN,75,L,+2.0,L,129.5,U
2015,GMASN,43,OKLA,61,L,-18.5,W,139.5,U
2015,GMASN,68,WRIGH,60,W,-5.5,W,0.0,
2015,IONA,81,GMASN,86,W,+5.5,W,159.0,O
2015,CATAWB,69,GMASN,99,W,0.0,,0.0,
2015,GMASN,65,NIOWA,71,L,-13.5,W,0.0,
2015,OLDDO,75,GMASN,69,L,+4.0,L,0.0,
2014,GMASN,65,STMAR,63,W,-9.0,W,135.5,U
2014,GMASN,54,OREST,58,L,-3.0,L,146.5,U
2014,IOWAS,79,GMASN,67,L,+11.5,L,153.0,U
2014,OKLA,81,GMASN,66,L,+6.0,L,152.0,U
2014,S.FLA,68,GMASN,66,L,-3.5,L,135.0,U
2017,GMASN,74,GWASH,83,L,-3.5,L,141.5,O
2017,GMASN,70,DAYTN,83,L,-12.5,L,145.0,O
