Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2017,GWASH,70,RHODEI,82,L,-10.5,L,133.0,O
Jan 28 2017,STL,55,GWASH,63,W,-14.5,L,126.0,U
Jan 25 2017,GWASH,87,GMASN,68,W,-3.0,W,141.5,O
Jan 18 2017,DUQU,63,GWASH,65,W,-8.5,L,143.0,U
Jan 15 2017,GWASH,69,LASAL,79,L,-6.5,L,147.0,O
Jan 11 2017,GWASH,55,VACOM,85,L,-11.5,L,141.0,U
Jan 8 2017,RICHM,77,GWASH,70,L,-6.0,L,141.5,O
Jan 5 2017,DAVID,69,GWASH,73,W,+1.0,W,145.5,U
Jan 31 2016,GWASH,76,GMASN,70,W,+8.0,L,135.5,O
Jan 28 2016,RICHM,98,GWASH,90,L,-5.0,L,148.0,O
Jan 22 2016,RHODEI,58,GWASH,62,W,-4.5,L,135.0,U
Jan 15 2016,GWASH,70,DAYTN,77,L,-4.5,L,136.5,O
Jan 12 2016,GWASH,81,UMASS,70,W,+6.5,W,150.5,O
Jan 9 2016,DUQU,64,GWASH,91,W,-10.5,W,145.0,O
Jan 6 2016,GWASH,62,STL,65,L,+9.5,L,135.0,U
Jan 3 2016,FORDM,63,GWASH,69,W,-11.5,L,138.0,U
Jan 31 2015,GWASH,55,RHODEI,59,L,-2.5,L,119.5,U
Jan 27 2015,GWASH,48,VACOM,72,L,-7.5,L,133.5,U
Jan 24 2015,DUQU,59,GWASH,74,W,-14.0,W,137.0,U
Jan 22 2015,GWASH,79,FORDM,59,W,+10.5,W,126.5,O
Jan 17 2015,GMASN,53,GWASH,63,W,-11.5,L,126.5,U
Jan 15 2015,RICHM,70,GWASH,73,W,-7.0,L,117.5,O
Nov 29 2016,GWASH,77,HARVD,74,W,-3.0,W,138.0,O
Nov 26 2016,PENST,74,GWASH,68,L,-3.5,L,146.0,U
Nov 22 2016,GWASH,74,UAB,81,L,-2.0,L,144.0,O
Nov 21 2016,GWASH,73,GA,81,L,-4.0,L,134.5,O
Nov 17 2016,ARKPB,41,GWASH,61,W,0.0,,0.0,
Nov 15 2016,SIENA,75,GWASH,77,W,-2.5,L,156.0,U
Nov 11 2016,MD-ES,71,GWASH,75,W,0.0,,0.0,
Nov 28 2015,CINCY,61,GWASH,56,L,+5.0,P,139.0,U
Nov 27 2015,TENN,70,GWASH,73,W,-5.5,L,150.0,U
Nov 24 2015,G.WEB,65,GWASH,94,W,0.0,,0.0,
Nov 22 2015,ARMY,81,GWASH,92,W,0.0,,0.0,
Nov 19 2015,GWASH,73,S.FLA,67,W,+10.0,L,142.5,U
Nov 16 2015,VIRGA,68,GWASH,73,W,+6.5,W,125.5,O
Nov 13 2015,LAFAY,76,GWASH,85,W,0.0,,0.0,
Nov 29 2014,GWASH,54,SETON,58,L,-2.5,L,135.0,U
Nov 26 2014,LONGW,66,GWASH,91,W,0.0,,0.0,
Nov 21 2014,GWASH,42,VIRGA,59,L,-12.5,L,0.0,
Nov 16 2014,GWASH,70,RUTGR,53,W,+4.5,W,144.5,U
Nov 14 2014,GRAMB,40,GWASH,92,W,0.0,,0.0,
Nov 29 2013,GWASH,60,MARQ,76,L,-4.0,L,139.5,U
Nov 28 2013,MIAMI,63,GWASH,71,W,-5.0,W,141.0,U
Nov 19 2013,DELST,50,GWASH,94,W,0.0,,0.0,
Nov 16 2013,GWASH,80,MANHT,74,W,-4.0,W,150.0,O
Dec 30 2016,GWASH,63,STJOE,68,L,-4.0,L,140.5,U
Dec 22 2016,GWASH,64,MIAMI,72,L,-14.5,W,132.0,O
Dec 15 2016,UCF,59,GWASH,74,W,-2.0,W,125.0,O
Dec 10 2016,HOWRD,62,GWASH,79,W,0.0,,0.0,
Dec 7 2016,GWASH,66,TEMPL,63,W,-9.0,W,137.0,U
Dec 4 2016,FLAST,67,GWASH,48,L,+10.5,L,152.0,U
Dec 3 2016,S.FLA,67,GWASH,68,W,-9.5,L,142.0,U
Dec 29 2015,GWASH,67,UCF,50,W,+5.0,W,140.0,U
Dec 22 2015,GWASH,61,DPAUL,82,L,+6.0,L,142.5,O
Dec 19 2015,STPET,74,GWASH,87,W,-16.0,L,134.5,O
Dec 12 2015,RUTGR,49,GWASH,83,W,-17.5,W,142.0,U
Dec 8 2015,PENST,66,GWASH,76,W,-9.5,W,131.5,O
Dec 2 2015,SETON,64,GWASH,72,W,-7.5,W,139.0,U
Dec 30 2014,VMI,60,GWASH,80,W,-20.0,P,156.5,U
Dec 25 2014,GWASH,60,WICHI,54,W,-6.0,W,126.5,U
Dec 23 2014,GWASH,53,COLO,50,W,+1.5,W,126.0,U
Dec 22 2014,GWASH,77,OHIO,49,W,+7.5,W,133.5,U
Dec 14 2014,GWASH,51,PENST,64,L,+3.0,L,0.0,
Dec 11 2014,DPAUL,68,GWASH,81,W,-10.0,W,0.0,
Dec 7 2014,CHARL,70,GWASH,78,W,-9.0,L,0.0,
Dec 4 2014,UMBC,60,GWASH,83,W,0.0,,0.0,
Dec 31 2013,GWASH,55,KANST,72,L,-4.0,L,128.0,U
Dec 28 2013,GWASH,69,HOFST,58,W,+9.5,W,140.0,U
Feb 26 2017,GMASN,74,GWASH,83,W,-3.5,W,141.5,O
Feb 23 2017,UMASS,67,GWASH,83,W,-5.5,W,144.5,O
Feb 19 2017,GWASH,77,DUQU,70,W,+2.0,W,145.0,O
Feb 15 2017,GWASH,63,DAVID,74,L,-6.5,L,141.0,U
Feb 11 2017,STBON,70,GWASH,76,W,+2.5,W,141.5,O
Feb 8 2017,VACOM,54,GWASH,53,L,+6.0,W,140.5,U
Feb 4 2017,GWASH,75,RICHM,84,L,-5.0,L,144.5,O
Feb 27 2016,VACOM,69,GWASH,65,L,+1.5,L,144.0,U
Feb 24 2016,GWASH,73,RICHM,61,W,0.0,W,146.5,U
Feb 21 2016,LASAL,50,GWASH,90,W,-16.5,W,137.5,O
Feb 17 2016,GWASH,81,DUQU,74,W,+2.5,W,154.0,O
Feb 13 2016,GWASH,57,STBON,64,L,-2.0,L,148.5,U
Feb 10 2016,STJOE,84,GWASH,66,L,-4.5,L,143.0,O
Feb 6 2016,GWASH,72,VACOM,69,W,-9.5,W,145.5,U
Feb 3 2016,DAVID,69,GWASH,79,W,-6.5,W,155.0,U
Feb 28 2015,GWASH,66,DAVID,77,L,-6.5,L,137.0,O
Feb 25 2015,STBON,46,GWASH,69,W,-5.5,W,126.0,U
Feb 21 2015,GWASH,48,RICHM,56,L,-5.0,L,125.5,U
Feb 18 2015,DAVID,65,GWASH,63,L,-3.0,L,141.0,U
Feb 14 2015,VACOM,79,GWASH,66,L,-2.0,L,127.5,O
Feb 11 2015,GWASH,62,DUQU,78,L,+7.0,L,134.5,O
Feb 6 2015,DAYTN,64,GWASH,65,W,-3.5,L,126.5,O
Mar 20 2017,GWASH,71,ILCHI,80,L,+6.0,L,149.0,O
Mar 15 2017,TOLDO,69,GWASH,73,W,-6.0,L,147.0,U
Mar 10 2017,GWASH,67,RICHM,70,L,-2.5,L,141.5,U
Mar 9 2017,STL,46,GWASH,53,W,-9.5,L,128.5,U
Mar 4 2017,DAYTN,81,GWASH,87,W,+4.0,W,140.5,O
Mar 1 2017,GWASH,67,FORDM,66,W,+2.0,L,127.5,O
Mar 31 2016,GWASH,76,VALPO,60,W,-2.5,W,134.5,O
Mar 29 2016,GWASH,65,SD.ST,46,W,-3.0,W,133.0,U
Mar 23 2016,FLA,77,GWASH,82,W,-1.5,W,147.0,O
Mar 21 2016,GWASH,87,MONMO,71,W,-2.0,W,153.0,O
Mar 16 2016,HOFST,80,GWASH,82,W,-6.0,L,152.5,O
Mar 11 2016,GWASH,80,STJOE,86,L,-2.0,L,143.5,O
Mar 10 2016,STL,65,GWASH,73,W,-14.0,L,136.0,O
Mar 5 2016,GWASH,80,DAVID,87,L,-1.0,L,151.0,O
Mar 1 2016,GMASN,52,GWASH,74,W,-12.0,W,139.0,U
Mar 22 2015,GWASH,77,TEMPL,90,L,-4.5,L,128.5,O
Mar 17 2015,GWASH,60,PITT,54,W,-4.5,W,134.5,U
Mar 13 2015,GWASH,58,RHODEI,71,L,-2.0,L,121.5,O
Mar 12 2015,DUQU,55,GWASH,73,W,-9.5,W,139.5,U
Mar 7 2015,UMASS,65,GWASH,87,W,-6.5,W,129.0,O
Mar 4 2015,GWASH,67,GMASN,51,W,+3.0,W,124.5,U
Mar 21 2014,GWASH,66,MEMPH,71,L,-4.0,L,142.0,U
Mar 15 2014,GWASH,55,VACOM,74,L,-6.0,L,139.5,U
Mar 14 2014,UMASS,77,GWASH,85,W,+1.0,W,144.5,O
Mar 8 2014,GWASH,70,FORDM,67,W,+8.5,L,148.0,U
Mar 5 2014,STJOE,71,GWASH,76,W,-4.0,W,138.0,O
Mar 2 2014,GMASN,58,GWASH,66,W,-9.5,L,142.0,U
