Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 30 2017,GAST,83,S.ALA,80,W,+4.5,L,143.0,O
Jan 28 2017,GAST,78,TROY,72,W,0.0,W,148.5,O
Jan 23 2017,APPST,72,GAST,83,W,-9.5,W,147.5,O
Jan 21 2017,COCAR,56,GAST,76,W,-8.0,W,145.0,U
Jan 16 2017,GAST,101,ULLAF,86,W,-8.5,W,149.0,O
Jan 14 2017,GAST,73,ULMON,65,W,+2.5,W,137.5,O
Jan 9 2017,TROY,80,GAST,77,L,-6.5,L,144.5,O
Jan 7 2017,S.ALA,77,GAST,78,W,-6.5,L,136.5,O
Jan 30 2016,GAST,53,ARKLR,63,L,-7.5,L,121.5,U
Jan 28 2016,GAST,69,ARKST,75,L,+2.5,L,136.0,O
Jan 21 2016,GAST,67,APPST,76,L,+4.5,L,132.5,O
Jan 19 2016,GASOU,66,GAST,69,W,-11.0,L,134.5,O
Jan 16 2016,ULLAF,87,GAST,54,L,-3.0,L,140.0,O
Jan 14 2016,ULMON,51,GAST,65,W,-7.5,W,120.0,U
Jan 9 2016,S.ALA,55,GAST,70,W,-13.5,W,130.0,U
Jan 7 2016,TROY,68,GAST,72,W,-12.0,L,139.5,O
Jan 2 2016,GAST,58,TEXST,46,W,0.0,W,117.5,U
Jan 31 2015,ARKST,43,GAST,74,W,-15.5,W,134.5,U
Jan 29 2015,GAST,88,TEXAR,74,W,+5.0,W,143.5,O
Jan 24 2015,ULLAF,64,GAST,75,W,-10.0,W,145.5,U
Jan 19 2015,GAST,60,ARKST,54,W,+5.0,W,135.5,U
Jan 17 2015,GAST,69,APPST,74,L,+11.5,L,135.5,O
Jan 15 2015,TEXAR,62,GAST,83,W,-12.0,W,144.5,O
Nov 30 2016,WRIGH,74,GAST,81,W,-8.0,L,138.5,O
Nov 23 2016,GAST,82,EKENT,65,W,+7.5,W,147.5,U
Nov 22 2016,NJIT,53,GAST,74,W,-2.5,W,145.5,U
Nov 18 2016,GAST,56,PURDU,64,L,-18.0,W,140.5,U
Nov 14 2016,GAST,65,AUBRN,83,L,-7.5,L,154.5,U
Nov 11 2016,THOMAS,69,GAST,111,W,0.0,,0.0,
Nov 27 2015,IUPUI,72,GAST,78,W,-9.5,L,135.0,O
Nov 25 2015,GAST,59,MISS,68,L,-6.5,L,141.0,U
Nov 19 2015,EMMNUL,58,GAST,77,W,0.0,,0.0,
Nov 13 2015,MIDGA,54,GAST,73,W,0.0,,0.0,
Nov 29 2014,GAST,66,IUPUI,63,W,+12.5,L,0.0,
Nov 26 2014,GAST,83,OAKLN,78,W,+8.5,L,0.0,
Nov 25 2014,GAST,85,W.CAR,70,W,+10.5,W,0.0,
Nov 24 2014,CHIST,46,GAST,69,W,-18.5,W,0.0,
Nov 21 2014,GAST,70,COLST,80,L,-6.5,L,0.0,
