Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,GONZG,96,PEPPR,49,W,+22.0,W,149.0,U
2017,SD,43,GONZG,79,W,-27.0,W,141.5,U
2017,GONZG,83,PORTL,64,W,+23.5,L,140.5,O
2017,PORTL,52,GONZG,73,W,-32.5,L,143.0,U
2017,GONZG,88,SACLA,57,W,+13.0,W,137.5,O
2017,STMAR,56,GONZG,79,W,-5.0,W,136.5,U
2017,LOYMA,55,GONZG,93,W,-19.0,W,145.5,O
2017,GONZG,95,SF,80,W,+13.5,W,147.0,O
2016,SF,48,GONZG,86,W,-15.5,W,157.0,U
2016,SACLA,67,GONZG,84,W,-18.5,L,136.5,O
2016,GONZG,71,PACIF,61,W,+11.5,L,143.5,U
2016,GONZG,67,STMAR,70,L,-5.0,W,138.5,U
2016,SD,52,GONZG,88,W,-20.0,W,135.0,O
2016,BYU,69,GONZG,68,L,-7.5,L,162.5,U
2016,PORTL,74,GONZG,85,W,-19.0,L,157.0,O
2016,GONZG,102,SF,94,W,+13.5,L,143.5,O
2015,MEMPH,64,GONZG,82,W,-17.5,W,133.5,O
2015,PORTL,46,GONZG,64,W,-20.5,L,146.0,U
2015,PACIF,60,GONZG,91,W,-24.5,W,136.5,O
2015,STMAR,47,GONZG,68,W,-15.0,W,136.5,U
2015,GONZG,72,LOYMA,55,W,+19.5,L,136.0,U
2015,GONZG,78,PEPPR,76,W,+12.0,L,136.5,O
2017,IOWAS,71,GONZG,73,W,-4.5,L,152.0,U
2017,GONZG,77,FLA,72,W,+3.5,W,144.0,O
2017,GONZG,82,QUINN,62,W,+27.5,L,155.5,U
2017,BRYANT,70,GONZG,109,W,-28.5,W,0.0,
2017,SD.ST,48,GONZG,69,W,-11.0,W,139.0,U
2017,UTVAL,69,GONZG,92,W,0.0,,0.0,
2016,UCONN,70,GONZG,73,W,-3.0,P,140.0,O
2016,TEXAM,62,GONZG,61,L,-4.5,L,151.0,U
2016,GONZG,80,WASH,64,W,+9.5,W,169.0,U
2016,MTSTM,56,GONZG,101,W,0.0,,0.0,
2016,NARIZ,52,GONZG,91,W,-25.5,W,158.5,U
2015,GONZG,73,STJON,66,W,+7.0,P,139.0,P
2015,GONZG,88,GA,76,W,+12.5,L,146.0,O
2015,STTOM,55,GONZG,109,W,0.0,,0.0,
2015,STJOE,42,GONZG,94,W,-22.5,W,136.0,P
2015,SMU,56,GONZG,72,W,-9.0,W,141.0,U
