Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 28 2017,HARVD,62,COLUM,65,L,+2.5,L,141.5,U
Jan 27 2017,HARVD,77,CORNL,71,W,+6.0,P,140.5,O
Jan 21 2017,DART,68,HARVD,82,W,-13.5,W,135.5,O
Jan 16 2017,HARVD,70,BRYANT,65,W,0.0,,0.0,
Jan 10 2017,MCGILL,45,HARVD,70,W,0.0,,0.0,
Jan 7 2017,HARVD,74,DART,58,W,+6.0,W,136.5,U
Jan 2 2017,HARVD,71,VERMT,82,L,0.0,,0.0,
Jan 30 2016,COLUM,55,HARVD,54,L,-1.5,L,133.5,U
Jan 29 2016,CORNL,77,HARVD,65,L,-10.0,L,138.0,O
Jan 23 2016,HARVD,50,DART,63,L,+3.0,L,133.5,U
Jan 16 2016,HARVD,69,HOWRD,61,W,0.0,,0.0,
Jan 12 2016,RYERSN,57,HARVD,73,W,0.0,,0.0,
Jan 9 2016,DART,70,HARVD,77,W,-9.0,L,129.0,O
Jan 3 2016,VERMT,65,HARVD,62,L,0.0,,0.0,
Jan 31 2015,HARVD,63,PENN,38,W,+8.0,W,122.0,U
Jan 30 2015,HARVD,75,PRNCE,72,W,+4.0,L,125.0,O
Jan 24 2015,DART,70,HARVD,61,L,-12.0,L,117.0,O
Jan 20 2015,HARVD,66,BRYANT,57,W,0.0,,0.0,
Jan 14 2015,HARVD,57,BC,64,L,+3.0,L,121.5,U
Jan 10 2015,HARVD,57,DART,46,W,+5.0,W,114.5,U
Jan 5 2015,STROSE,38,HARVD,84,W,0.0,,0.0,
Jan 31 2014,PRNCE,76,HARVD,82,W,-8.0,L,135.5,O
Jan 26 2014,HARVD,80,DART,50,W,+12.0,W,127.5,O
Jan 21 2014,HARVD,53,FLAAT,68,L,+10.0,L,132.5,U
Nov 29 2016,GWASH,77,HARVD,74,L,-3.0,L,138.0,O
Nov 26 2016,HARVD,66,UMASS,70,L,-4.0,P,146.5,U
Nov 22 2016,HOLYC,63,HARVD,52,L,0.0,,0.0,
Nov 17 2016,FISHER,51,HARVD,78,W,-38.5,L,138.5,U
Nov 11 2016,HARVD,70,STANF,80,L,-3.5,L,139.0,O
Nov 29 2015,HARVD,49,HOLYC,50,L,0.0,,0.0,
Nov 25 2015,BRYANT,45,HARVD,80,W,0.0,,0.0,
Nov 22 2015,HARVD,56,BC,69,L,-4.5,L,134.5,U
Nov 17 2015,UMASS,69,HARVD,63,L,-3.5,L,142.5,U
Nov 14 2015,HARVD,64,PROV,76,L,-10.0,L,134.0,O
Nov 13 2015,MIT,39,HARVD,59,W,0.0,,0.0,
Nov 29 2014,UMASS,73,HARVD,75,W,-7.0,L,0.0,
Nov 25 2014,HOUST,63,HARVD,84,W,-10.5,W,0.0,
Nov 20 2014,FLAAT,49,HARVD,71,W,-16.0,W,0.0,
Nov 16 2014,HOLYC,58,HARVD,57,L,-10.0,L,0.0,
Nov 14 2014,MIT,52,HARVD,73,W,0.0,,0.0,
Nov 30 2013,TCU,50,HARVD,71,W,-9.5,W,135.5,U
Nov 29 2013,WISGB,64,HARVD,76,W,-4.0,W,144.0,U
Nov 28 2013,DENVR,60,HARVD,68,W,-7.5,W,128.0,P
Nov 24 2013,HARVD,62,COLO,70,L,-6.0,L,142.5,U
Nov 20 2013,BRYANT,68,HARVD,86,W,0.0,,0.0,
Nov 15 2013,HOWRD,44,HARVD,76,W,0.0,,0.0,
Dec 30 2016,HOWRD,46,HARVD,67,W,-17.5,W,136.5,U
Dec 23 2016,HARVD,57,HOUST,56,W,-12.0,W,143.0,U
Dec 7 2016,HARVD,74,BC,66,W,+1.5,W,136.5,O
Dec 6 2016,NEAST,80,HARVD,86,W,-2.5,W,136.5,O
Dec 3 2016,FORDM,52,HARVD,64,W,-5.0,W,130.5,U
Dec 31 2015,WOFFD,57,HARVD,77,W,-7.0,W,129.5,O
Dec 25 2015,HARVD,71,OKLA,83,L,-13.0,W,139.5,O
Dec 23 2015,AUBRN,51,HARVD,69,W,+3.5,W,144.5,U
Dec 22 2015,BYU,82,HARVD,85,W,+7.5,W,145.0,O
Dec 8 2015,HARVD,75,BOSTU,69,W,0.0,,0.0,
Dec 5 2015,HARVD,69,KANSA,75,L,-23.0,W,146.0,U
Dec 2 2015,HARVD,71,NEAST,80,L,-7.5,L,127.5,O
Dec 30 2014,HARVD,72,GRCNYN,59,W,0.0,,0.0,
Dec 28 2014,HARVD,46,ARZST,56,L,-2.5,L,127.0,U
Dec 21 2014,HARVD,27,VIRGA,76,L,-11.5,L,112.5,U
Dec 8 2014,BOSTU,56,HARVD,70,W,0.0,,0.0,
Dec 6 2014,HARVD,64,VERMT,52,W,0.0,,0.0,
Dec 3 2014,NEAST,46,HARVD,60,W,-9.0,W,0.0,
Dec 28 2013,HARVD,94,FORDM,86,W,+7.5,W,149.5,O
Dec 21 2013,VERMT,68,HARVD,74,W,0.0,,0.0,
Dec 7 2013,HARVD,79,BOSTU,68,W,0.0,,0.0,
Dec 4 2013,HARVD,72,NEAST,64,W,+4.0,W,132.5,O
Dec 31 2012,HARVD,69,STMAR,70,L,-12.0,W,142.0,U
Dec 29 2012,HARVD,67,CAL,62,W,-11.0,W,137.0,U
Dec 22 2012,HOLYC,65,HARVD,72,W,-9.0,L,0.0,
Feb 25 2017,BROWN,58,HARVD,77,W,-11.5,W,152.5,U
Feb 24 2017,YALE,64,HARVD,77,W,-5.0,W,140.5,O
Feb 18 2017,CORNL,75,HARVD,87,W,-10.5,W,138.5,O
Feb 17 2017,COLUM,72,HARVD,78,W,-8.0,L,142.0,O
Feb 11 2017,HARVD,75,YALE,67,W,-4.5,W,136.5,O
Feb 10 2017,HARVD,87,BROWN,74,W,+3.5,W,148.5,O
Feb 4 2017,PRNCE,57,HARVD,56,L,+2.5,W,136.5,U
Feb 3 2017,PENN,59,HARVD,69,W,-6.0,W,131.5,U
Feb 27 2016,HARVD,61,BROWN,52,W,+1.5,W,144.5,U
Feb 26 2016,HARVD,50,YALE,59,L,-11.5,W,132.0,U
Feb 20 2016,HARVD,76,CORNL,74,W,+2.0,P,140.0,O
Feb 19 2016,HARVD,76,COLUM,90,L,-8.0,L,132.5,O
Feb 13 2016,YALE,67,HARVD,55,L,+7.0,L,130.0,U
Feb 12 2016,BROWN,73,HARVD,79,W,-7.0,L,142.5,O
Feb 6 2016,HARVD,57,PENN,67,L,-1.0,L,129.5,U
Feb 5 2016,HARVD,62,PRNCE,83,L,-10.5,L,134.5,O
Feb 28 2015,HARVD,80,COLUM,70,W,+5.0,W,118.0,O
Feb 27 2015,HARVD,49,CORNL,57,L,+7.5,L,116.0,U
Feb 21 2015,PRNCE,55,HARVD,63,W,-9.0,L,126.5,U
Feb 20 2015,PENN,46,HARVD,69,W,-16.5,W,120.5,U
Feb 14 2015,CORNL,40,HARVD,61,W,-11.0,W,117.0,U
Feb 13 2015,COLUM,68,HARVD,72,W,-9.5,L,118.0,O
Mar 11 2017,YALE,73,HARVD,71,L,-3.0,L,140.0,O
Mar 4 2017,HARVD,72,PENN,75,L,-1.5,L,134.5,O
Mar 3 2017,HARVD,69,PRNCE,73,L,-7.0,W,130.0,O
Mar 5 2016,PENN,56,HARVD,74,W,-7.0,W,132.0,U
Mar 4 2016,PRNCE,71,HARVD,73,W,+7.5,W,135.5,O
Mar 19 2015,HARVD,65,UNC,67,L,-10.0,W,139.0,U
Mar 14 2015,YALE,51,HARVD,53,W,-2.5,L,117.0,U
Mar 7 2015,BROWN,62,HARVD,72,W,-14.0,L,129.5,O
Mar 6 2015,YALE,62,HARVD,52,L,-5.0,L,121.5,U
Mar 22 2014,HARVD,73,MICHS,80,L,-8.5,W,136.0,O
Mar 20 2014,HARVD,61,CINCY,57,W,-3.0,W,121.5,U
Mar 8 2014,HARVD,98,BROWN,93,W,+9.5,L,131.0,O
Mar 7 2014,HARVD,70,YALE,58,W,+6.5,W,126.0,O
Mar 1 2014,COLUM,47,HARVD,80,W,-11.0,W,128.0,U
Mar 23 2013,HARVD,51,ARIZ,74,L,-10.5,L,133.0,U
Mar 21 2013,HARVD,68,NEWMX,62,W,-10.5,W,125.0,O
Mar 9 2013,CORNL,56,HARVD,65,W,-14.0,L,140.5,U
Mar 8 2013,COLUM,51,HARVD,56,W,-7.5,L,126.0,U
Mar 2 2013,HARVD,72,PENN,75,L,+7.0,L,131.0,O
