Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 29 2017,ILLST,69,EVANS,59,W,+8.0,W,127.0,O
Jan 25 2017,INDST,66,ILLST,71,W,-13.0,L,132.5,O
Jan 21 2017,DRAKE,58,ILLST,72,W,-17.0,L,142.0,U
Jan 18 2017,ILLST,69,BRAD,49,W,+11.0,W,132.0,U
Jan 14 2017,WICHI,62,ILLST,76,W,+3.0,W,137.5,O
Jan 11 2017,ILLST,60,S.ILL,53,W,+4.0,W,134.0,U
Jan 7 2017,ILLST,77,INDST,58,W,+4.0,W,135.5,U
Jan 4 2017,MIZST,71,ILLST,74,W,-8.0,L,135.0,O
Jan 1 2017,ILLST,81,LOYCH,59,W,-1.0,W,131.5,O
Jan 30 2016,ILLST,81,MIZST,84,L,-1.0,L,133.5,O
Jan 26 2016,DRAKE,64,ILLST,76,W,-8.5,W,135.5,O
Jan 23 2016,NIOWA,67,ILLST,76,W,+1.0,W,125.5,O
Jan 20 2016,ILLST,55,BRAD,52,W,+11.0,L,120.5,U
Jan 15 2016,EVANS,66,ILLST,55,L,+5.5,L,138.5,U
Jan 12 2016,ILLST,78,S.ILL,81,L,-4.5,W,139.0,O
Jan 9 2016,ILLST,65,INDST,77,L,-5.0,L,132.5,O
Jan 6 2016,LOYCH,52,ILLST,54,W,-7.0,L,126.0,U
Jan 3 2016,ILLST,67,DRAKE,62,W,+1.5,W,134.0,U
Jan 31 2015,ILLST,48,LOYCH,45,W,+3.5,L,121.0,U
Jan 28 2015,MIZST,57,ILLST,67,W,-11.5,L,125.0,U
Jan 25 2015,NIOWA,54,ILLST,53,L,+1.0,P,121.5,U
Nov 30 2016,IUPUI,63,ILLST,77,W,-11.5,W,138.0,O
Nov 27 2016,FERRIS,67,ILLST,81,W,0.0,,0.0,
Nov 21 2016,ILLST,71,TCU,80,L,-7.0,L,135.0,O
Nov 16 2016,IPFW,57,ILLST,75,W,-6.0,W,156.0,U
Nov 11 2016,ILLST,70,MURRAY,73,L,+2.0,L,142.0,O
Nov 30 2015,ILLST,63,KENTY,75,L,-20.5,W,142.0,U
Nov 27 2015,QUINC,63,ILLST,73,W,0.0,,0.0,
Nov 25 2015,TCU,71,ILLST,60,L,-2.5,L,140.0,U
Nov 24 2015,MARYL,77,ILLST,66,L,+12.5,W,139.0,O
Nov 21 2015,HOUBPT,56,ILLST,72,W,0.0,,0.0,
Nov 19 2015,SD.ST,83,ILLST,67,L,-4.5,L,149.5,O
