Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,IONA,100,FAIRF,103,L,+3.0,L,155.5,O
2018,IONA,78,MANHT,65,W,+6.5,W,143.0,P
2018,CANIS,84,IONA,82,L,-6.0,L,150.5,O
2018,IONA,76,MONMO,73,W,+2.0,W,151.5,U
2018,RIDER,64,IONA,91,W,-2.5,W,164.0,U
2018,SIENA,69,IONA,71,W,-12.5,L,150.0,U
2018,FAIRF,65,IONA,84,W,-5.5,W,156.0,U
2018,STPET,69,IONA,73,W,-5.5,L,139.5,O
2018,IONA,93,OHIO,88,W,-3.5,W,153.5,O
2018,COCAR,89,IONA,84,L,-4.0,L,152.0,O
2018,N.KENT,85,IONA,72,L,+2.5,L,167.5,U
2018,IONA,80,WEBER,72,W,+4.0,W,153.5,U
2018,IONA,62,SYRA,71,L,-10.5,W,151.5,U
2018,IONA,67,ALBNY,69,L,0.0,,0.0,
2018,IONA,78,CANIS,85,L,0.0,L,150.5,O
2018,IONA,98,NIAGR,93,W,+2.5,W,165.0,O
2018,IONA,74,RHODEI,80,L,-12.0,W,149.5,O
2018,IONA,82,HOLYC,68,W,0.0,,0.0,
2018,IONA,59,STJON,69,L,-9.5,L,152.5,U
2018,YALE,67,IONA,83,W,-4.0,W,159.5,U
2018,IONA,74,NJIT,70,W,0.0,,0.0,
2018,FDU,75,IONA,82,W,0.0,,0.0,
2018,IONA,101,RIDER,110,L,-5.0,L,163.5,O
2018,MANHT,75,IONA,88,W,-6.5,W,145.0,O
2018,NIAGR,85,IONA,84,L,-5.0,L,168.0,O
2018,IONA,78,SIENA,82,L,+7.5,L,143.0,O
2018,IONA,86,STPET,77,W,+2.5,W,136.0,O
2018,MONMO,72,IONA,50,L,-8.0,L,159.5,U
2018,IONA,98,MARST,64,W,+8.5,W,153.5,O
2018,QUINN,82,IONA,87,W,-11.5,L,157.0,O
2018,FAIRF,71,IONA,83,W,-2.5,W,150.5,O
2018,STPET,62,IONA,65,W,-5.0,L,134.0,U
2018,MANHT,60,IONA,72,W,-5.0,W,144.0,U
