Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,SEMIZ,60,JAXST,78,W,-9.5,W,146.0,U
2018,TNMAR,67,JAXST,63,L,-12.0,L,135.5,U
2018,JAXST,68,EKENT,60,W,+6.0,W,139.5,U
2018,JAXST,58,MORHD,57,W,+6.5,L,138.0,U
2018,APEAY,87,JAXST,67,L,-10.0,L,136.0,O
2018,MURRAY,71,JAXST,76,W,+2.5,W,141.0,O
2018,JAXST,64,BELMT,60,W,-6.5,W,141.0,U
2018,JAXST,60,TN.ST,67,L,+5.5,L,127.5,U
2018,ALAST,69,JAXST,77,W,0.0,,0.0,
2018,JAXST,56,MISST,59,L,-7.5,W,146.0,U
2018,JAXST,77,CHATT,75,W,0.0,,0.0,
2018,JAXST,86,SAVAN,71,W,0.0,,0.0,
2018,JAXST,76,BUFF,81,L,-2.5,L,155.5,O
2018,JAXST,94,RICHM,61,W,-3.0,W,137.5,O
2018,TNWES,42,JAXST,100,W,0.0,,0.0,
2018,MORHD,69,JAXST,76,W,-12.5,L,139.0,O
2018,EKENT,58,JAXST,76,W,-11.5,W,134.5,U
2018,CHATT,70,JAXST,67,L,-10.0,L,130.5,O
2018,HOWRD,60,JAXST,62,W,0.0,,0.0,
2018,USCUP,61,JAXST,77,W,0.0,,0.0,
2018,JAXST,69,OREST,70,L,-6.0,W,137.0,O
2018,ULMON,56,JAXST,75,W,-9.5,W,136.0,U
2018,SAMFD,58,JAXST,89,W,-8.5,W,145.5,O
2018,JAXST,66,TNTEC,57,W,+3.0,W,138.0,U
2018,BELMT,67,JAXST,78,W,+3.0,W,139.5,O
2018,JAXST,57,APEAY,60,L,-2.0,L,137.0,U
2018,JAXST,60,MURRAY,68,L,-9.5,W,138.5,U
2018,TN.ST,65,JAXST,47,L,-7.0,L,127.0,U
2018,TNTEC,65,JAXST,82,W,-8.5,W,139.5,O
2018,JAXST,67,SIUED,75,L,+9.5,L,140.0,O
2018,JAXST,75,E.ILL,56,W,+5.5,W,130.0,O
2018,JAXST,63,MURRAY,70,L,-5.0,L,135.5,U
2018,TNTEC,70,JAXST,73,W,-6.5,L,134.5,O
