Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2017,KENT,70,EMICH,64,W,-5.0,W,151.0,U
Jan 28 2017,CMICH,105,KENT,98,L,-7.0,L,173.5,O
Jan 24 2017,KENT,73,N.ILL,66,W,-4.0,W,138.5,O
Jan 21 2017,TOLDO,61,KENT,85,W,0.0,W,157.5,U
Jan 17 2017,BUFF,82,KENT,69,L,-3.0,L,154.0,U
Jan 14 2017,KENT,88,WMICH,92,L,-1.5,L,150.5,O
Jan 10 2017,N.ILL,74,KENT,70,L,-5.5,L,140.0,O
Jan 6 2017,KENT,67,OHIO,85,L,-6.5,L,148.0,O
Jan 3 2017,BALL,90,KENT,100,W,-7.0,W,146.0,O
Jan 29 2016,KENT,61,OHIO,72,L,-2.5,L,151.0,U
Jan 26 2016,EMICH,58,KENT,73,W,-5.5,W,152.0,U
Jan 23 2016,KENT,62,BOWLG,59,W,+2.0,W,148.0,U
Jan 19 2016,KENT,76,BALL,68,W,0.0,W,139.0,O
Jan 16 2016,OHIO,82,KENT,89,W,-4.5,W,151.5,O
Jan 12 2016,MIAOH,68,KENT,76,W,-9.0,L,140.0,O
Jan 8 2016,BUFF,76,KENT,67,L,-6.5,L,151.5,U
Jan 5 2016,KENT,87,WMICH,84,W,+1.5,W,147.0,O
Jan 2 2016,OBERL,58,KENT,104,W,0.0,,0.0,
Jan 30 2015,KENT,55,BUFF,80,L,-6.0,L,133.0,O
Jan 27 2015,CMICH,53,KENT,63,W,-3.0,W,138.5,U
Jan 24 2015,KENT,63,BALL,52,W,+3.5,W,127.5,U
Nov 27 2016,KENT,70,NEAST,73,L,-3.5,W,140.0,O
Nov 23 2016,WOFFD,59,KENT,66,W,-2.5,W,144.0,U
Nov 22 2016,KENT,75,GMASN,79,L,+4.0,L,142.5,O
Nov 21 2016,KENT,77,SDKOTA,80,L,+3.5,L,152.0,O
Nov 18 2016,HIRAM,55,KENT,111,W,0.0,,0.0,
Nov 16 2016,MSVAL,63,KENT,93,W,0.0,,0.0,
Nov 12 2016,KENT,79,CLEST,74,W,+1.0,W,139.5,O
Nov 28 2015,KENT,76,PITT,85,L,-13.0,W,137.5,O
Nov 24 2015,STFPA,60,KENT,79,W,0.0,,0.0,
Nov 21 2015,MARST,72,KENT,79,W,-12.0,L,141.0,O
Nov 18 2015,KENT,69,S.ILL,72,L,-1.5,L,142.0,U
Nov 14 2015,YOUNG,70,KENT,79,W,-13.5,L,144.0,O
Nov 29 2014,LOYCH,69,KENT,61,L,-7.0,L,0.0,
Nov 23 2014,YALE,66,KENT,59,L,-2.0,L,0.0,
Nov 22 2014,ILCHI,60,KENT,78,W,-12.0,W,0.0,
Nov 21 2014,S.ILL,51,KENT,74,W,-3.5,W,0.0,
Nov 18 2014,MALONE,52,KENT,62,W,0.0,,0.0,
Nov 15 2014,KENT,69,YOUNG,61,W,+4.0,W,0.0,
Nov 27 2013,YOUNG,79,KENT,83,W,-6.5,L,148.0,O
Nov 23 2013,NIAGR,97,KENT,102,W,-11.0,L,163.0,O
Nov 22 2013,USCUP,78,KENT,79,W,-6.0,L,144.0,O
Nov 21 2013,W.CAR,59,KENT,72,W,-9.5,W,148.5,U
Nov 17 2013,STPET,58,KENT,75,W,-13.5,W,146.5,U
Dec 27 2016,KENT,63,TEXAS,58,W,-12.5,W,142.5,U
Dec 21 2016,KENT,50,OREST,69,L,+3.5,L,132.0,U
Dec 18 2016,WRIGH,68,KENT,63,L,-8.0,L,152.0,U
Dec 10 2016,NJIT,71,KENT,87,W,0.0,,0.0,
Dec 7 2016,NIAGR,72,KENT,100,W,-9.5,W,145.0,O
Dec 2 2016,GRAMB,57,KENT,86,W,0.0,,0.0,
Dec 30 2015,KENT,61,NCA&T,60,W,0.0,,0.0,
Dec 23 2015,KENT,69,PENST,75,L,0.0,L,137.0,O
Dec 22 2015,KENT,74,SMU,90,L,-10.5,L,140.0,O
Dec 12 2015,CANIS,77,KENT,84,W,-7.5,L,156.5,O
Dec 10 2015,ULMON,62,KENT,73,W,-8.5,W,131.0,O
Dec 7 2015,KENT,80,NJIT,75,W,0.0,,0.0,
Dec 5 2015,KENT,66,CLEST,62,W,+2.5,W,132.5,U
Dec 30 2014,KENT,62,KANSA,78,L,-14.0,L,132.0,O
Dec 22 2014,KENT,75,UTEP,78,L,-10.0,W,0.0,
Dec 21 2014,KENT,53,ND.ST,52,W,+3.0,L,0.0,
Dec 19 2014,NCA&T,57,KENT,71,W,0.0,,0.0,
Dec 14 2014,KENT,60,ARKLR,55,W,+2.0,W,0.0,
Dec 6 2014,KENT,58,KENNE,46,W,0.0,,0.0,
Dec 31 2013,KENT,68,PRNCE,73,L,-8.5,W,137.5,O
Dec 28 2013,CLEST,78,KENT,70,L,-3.5,L,141.5,O
Dec 21 2013,KENT,58,COLCH,54,W,-1.5,W,135.0,U
Dec 4 2013,BUCKN,66,KENT,59,L,0.0,,0.0,
Dec 1 2013,KENNE,51,KENT,68,W,0.0,,0.0,
Feb 28 2017,KENT,74,BOWLG,67,W,+2.5,W,150.0,U
Feb 25 2017,OHIO,67,KENT,70,W,-1.5,W,151.5,U
Feb 21 2017,KENT,77,BUFF,69,W,-7.0,W,153.5,U
Feb 17 2017,KENT,70,AKRON,67,W,-8.5,W,148.0,U
Feb 14 2017,MIAOH,72,KENT,76,W,-9.5,L,145.0,O
Feb 11 2017,KENT,58,TOLDO,78,L,-3.5,L,154.0,U
Feb 7 2017,BOWLG,84,KENT,83,L,-7.5,L,151.0,O
Feb 4 2017,KENT,66,MIAOH,62,W,+4.0,P,148.5,U
Feb 27 2016,KENT,65,MIAOH,74,L,+2.0,L,132.5,O
Feb 23 2016,KENT,70,BUFF,87,L,-5.5,L,148.0,O
Feb 19 2016,AKRON,76,KENT,85,W,+2.5,W,146.0,O
Feb 16 2016,WMICH,78,KENT,85,W,-4.0,W,142.5,O
Feb 13 2016,KENT,70,EMICH,75,L,-4.5,L,148.5,U
Feb 9 2016,N.ILL,74,KENT,75,W,-3.5,L,136.0,O
Feb 6 2016,TOLDO,82,KENT,67,L,-1.5,L,147.5,O
Feb 2 2016,KENT,61,CMICH,88,L,-5.0,L,140.5,O
Feb 28 2015,BUFF,71,KENT,65,L,+2.0,L,137.5,U
Feb 24 2015,KENT,81,MIAOH,86,L,+3.0,L,125.0,O
Feb 21 2015,KENT,64,OHIO,51,W,+1.5,W,129.5,U
Feb 18 2015,BALL,53,KENT,58,W,-8.0,L,126.5,U
Feb 13 2015,KENT,76,TOLDO,75,W,-8.5,W,131.5,O
Feb 10 2015,KENT,52,AKRON,61,L,-7.0,L,127.0,U
Mar 17 2017,KENT,80,UCLA,97,L,-19.0,W,162.5,O
Mar 11 2017,KENT,70,AKRON,65,W,-3.5,W,138.5,U
Mar 10 2017,KENT,68,OHIO,66,W,-3.5,W,143.0,U
Mar 9 2017,KENT,68,BUFF,65,W,-3.5,W,152.0,U
Mar 6 2017,CMICH,106,KENT,116,W,-10.0,P,169.0,O
Mar 3 2017,AKRON,66,KENT,56,L,+1.0,L,148.5,U
Mar 7 2016,BOWLG,70,KENT,69,L,-7.0,L,142.5,U
Mar 4 2016,KENT,60,AKRON,74,L,-8.0,L,149.0,U
Mar 1 2016,BOWLG,54,KENT,70,W,-6.0,W,143.0,U
Mar 27 2015,KENT,73,NARIZ,74,L,-2.0,W,136.5,O
Mar 23 2015,KENT,69,TEXCC,65,W,+3.5,W,135.5,U
Mar 18 2015,KENT,68,MIDTN,56,W,-4.0,W,129.0,U
Mar 12 2015,AKRON,53,KENT,51,L,+2.0,P,124.5,U
Mar 6 2015,AKRON,77,KENT,79,W,-3.5,L,128.0,O
Mar 3 2015,KENT,81,BOWLG,80,W,-5.5,W,120.5,O
Mar 10 2014,KENT,64,MIAOH,71,L,-1.5,L,135.0,P
Mar 7 2014,KENT,54,AKRON,58,L,-7.5,W,135.0,U
Mar 4 2014,MIAOH,73,KENT,61,L,-5.5,L,137.0,U
Mar 1 2014,KENT,75,OHIO,61,W,-7.5,W,136.5,U
Mar 24 2013,KENT,59,LOYOL,73,L,-4.5,L,142.0,U
Mar 20 2013,FAIRF,71,KENT,73,W,0.0,,0.0,
Mar 15 2013,KENT,59,AKRON,62,L,-6.0,W,137.0,U
Mar 14 2013,BUFF,68,KENT,70,W,-4.0,L,138.5,U
Mar 8 2013,KENT,68,AKRON,64,W,-9.0,W,138.0,U
Mar 5 2013,BOWLG,61,KENT,69,W,-8.0,P,132.0,U
Mar 2 2013,KENT,78,MIAOH,58,W,+2.0,W,141.0,U
