Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,LIU,52,CCONN,61,L,0.0,,0.0,
2017,LIU,60,SACRD,57,W,0.0,,0.0,
2017,LIU,66,FDU,83,L,0.0,,0.0,
2017,WAGNR,69,LIU,76,W,0.0,,0.0,
2017,STFNY,58,LIU,63,W,0.0,,0.0,
2017,CCONN,49,LIU,60,W,0.0,,0.0,
2017,LIU,83,STFPA,70,W,0.0,,0.0,
2017,LIU,65,ROBMO,54,W,0.0,,0.0,
2016,FDU,88,LIU,85,L,0.0,,0.0,
2016,SACRD,84,LIU,92,W,0.0,,0.0,
2016,STFNY,64,LIU,49,L,0.0,,0.0,
2016,LIU,95,FDU,101,L,0.0,,0.0,
2016,LIU,79,BRYANT,61,W,0.0,,0.0,
2016,LIU,71,WAGNR,70,W,0.0,,0.0,
2016,STFPA,72,LIU,65,L,0.0,,0.0,
2016,ROBMO,70,LIU,60,L,0.0,,0.0,
2016,LIU,76,CCONN,67,W,0.0,,0.0,
2016,LIU,63,MTSTM,79,L,0.0,,0.0,
2015,LIU,64,STFNY,81,L,0.0,,0.0,
2015,CCONN,55,LIU,67,W,0.0,,0.0,
2015,LIU,80,FDU,76,W,0.0,,0.0,
2015,LIU,69,BRYANT,74,L,0.0,,0.0,
2017,LIU,75,HARTF,68,W,0.0,,0.0,
2017,LIU,82,LOWELL,78,W,0.0,,0.0,
2017,LIU,71,MAINE,66,W,+5.5,L,154.5,U
2017,LIU,69,BOSTU,86,L,0.0,,0.0,
2017,NEAST,74,LIU,78,W,0.0,,0.0,
2017,LOYMD,61,LIU,65,W,0.0,,0.0,
2017,JNJAY,40,LIU,78,W,0.0,,0.0,
2016,LIU,56,DART,79,L,0.0,,0.0,
2016,LIU,72,FLAIN,80,L,0.0,,0.0,
2016,NCCEN,77,LIU,78,W,0.0,,0.0,
2016,MAINE,79,LIU,84,W,0.0,,0.0,
2016,LIU,71,LOYOL,68,W,0.0,,0.0,
2015,LIU,56,TEMPL,70,L,0.0,,0.0,
2015,LIU,54,STONY,73,L,-8.5,L,132.5,U
2015,LIU,70,STJOE,74,L,0.0,,0.0,
2015,LIU,53,STJON,66,L,0.0,,0.0,
2014,LIU,57,BOSTU,72,L,-9.5,L,151.5,U
2014,EWASH,102,LIU,70,L,+4.0,L,156.0,O
2014,LIU,64,UCI,84,L,-10.5,L,165.0,U
2014,LIU,72,INDY,73,L,-23.5,W,172.0,U
2014,STPET,80,LIU,87,W,0.0,,0.0,
2017,BRYANT,63,LIU,74,W,-3.5,W,148.5,U
2017,MTSTM,67,LIU,65,L,-1.0,L,139.5,U
2017,NIAGR,75,LIU,66,L,0.0,,144.5,U
2017,DART,82,LIU,68,L,0.0,,0.0,
2017,LIU,66,MINN,76,L,0.0,,0.0,
2017,STJON,73,LIU,74,W,+14.0,W,147.5,U
2017,LIU,56,NCCEN,79,L,0.0,,0.0,
2017,LIU,79,INCAR,90,L,0.0,,0.0,
2016,LIU,79,UMASS,83,L,0.0,,0.0,
2016,INCAR,59,LIU,66,W,0.0,,0.0,
2016,SAMHO,75,LIU,69,L,0.0,,0.0,
