Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,LSU,61,TENN,84,L,-9.0,L,142.5,O
2018,LSU,70,AUBRN,95,L,-10.5,L,158.5,O
2018,TEXAM,65,LSU,77,W,+1.5,W,140.5,O
2018,LSU,71,VANDY,77,L,-1.5,L,144.0,O
2018,GA,61,LSU,60,L,-5.0,L,140.0,U
2018,ALA,74,LSU,66,L,-4.0,L,151.0,U
2018,LSU,75,ARK,54,W,-8.5,W,165.5,U
2018,LSU,69,TEXAM,68,W,-7.0,W,148.0,U
2018,KENTY,74,LSU,71,L,+2.5,L,156.5,U
2018,TNMAR,60,LSU,84,W,-14.5,W,146.5,U
2018,MARQ,94,LSU,84,L,+4.5,L,160.5,O
2018,ND,92,LSU,53,L,+8.0,L,156.0,U
2018,MICH,75,LSU,77,W,+5.5,W,147.0,O
2018,SAMFD,86,LSU,105,W,-8.0,W,156.0,O
2018,ALCRN,59,LSU,99,W,0.0,,0.0,
2018,LSU,71,MEMPH,61,W,+2.0,W,148.0,U
2018,N.FLA,52,LSU,104,W,0.0,,0.0,
2018,SAMHO,58,LSU,80,W,0.0,,0.0,
2018,SFA,83,LSU,82,L,-8.5,L,153.0,O
2018,HOUST,77,LSU,80,W,+2.5,W,158.5,U
2018,NCWIL,84,LSU,97,W,-12.5,W,165.5,O
2018,LSU,74,S.CAR,83,L,-4.5,L,143.0,O
2018,LSU,82,GA,93,L,-4.5,L,137.0,O
2018,VANDY,78,LSU,88,W,-4.0,W,145.5,O
2018,MIZZU,63,LSU,64,W,0.0,W,144.5,U
2018,LSU,65,ALA,80,L,-7.0,L,143.5,O
2018,MISS,66,LSU,82,W,-4.5,W,153.5,U
2018,LSU,64,FLA,73,L,-8.5,L,148.5,U
2018,ARK,86,LSU,94,W,-1.5,W,154.0,O
2018,LSU,77,MISST,80,L,-2.5,L,142.0,O
2018,MISST,57,LSU,78,W,-1.5,W,146.5,U
