Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,LSU,64,TEXTK,77,L,-16.0,W,151.0,U
2017,FLA,106,LSU,71,L,+11.5,L,156.0,O
2017,LSU,86,ARK,99,L,-14.5,W,162.0,O
2017,LSU,74,AUBRN,78,L,-10.0,W,164.0,U
2017,ALA,81,LSU,66,L,+3.0,L,146.0,O
2017,LSU,62,TEXAM,92,L,-12.0,L,149.0,O
2017,MISST,95,LSU,78,L,-2.0,L,151.5,O
2017,LSU,88,MIZZU,77,W,-1.0,W,148.0,O
2016,OKLA,77,LSU,75,L,+3.5,W,164.5,U
2016,GA,85,LSU,89,W,-8.0,L,144.0,O
2016,LSU,72,ALA,70,W,+2.5,L,146.0,U
2016,LSU,57,TEXAM,71,L,-7.5,L,152.5,U
2016,ARK,74,LSU,76,W,-9.5,L,165.0,U
2016,MISS,81,LSU,90,W,-10.0,L,159.0,O
2016,LSU,62,FLA,68,L,-3.5,L,152.0,U
2016,KENTY,67,LSU,85,W,+3.0,W,155.5,U
2016,LSU,90,VANDY,82,W,-10.0,W,147.5,O
2015,LSU,67,MISST,73,L,+4.5,L,136.5,O
2015,S.CAR,58,LSU,64,W,-4.5,W,140.0,U
2015,LSU,79,VANDY,75,W,-3.0,W,140.0,O
2015,LSU,79,FLA,61,W,-11.0,W,135.5,O
2017,HOUST,65,LSU,84,W,+4.5,W,152.5,U
2017,VACOM,85,LSU,74,L,+7.5,L,143.0,O
2017,LSU,66,OLDDO,60,W,-1.5,W,132.0,U
2017,LSU,47,WICHI,82,L,-10.5,L,142.0,U
2017,N.FLA,70,LSU,78,W,0.0,,0.0,
2017,S.MISS,61,LSU,78,W,-19.0,L,152.0,U
2017,WOFFD,69,LSU,91,W,-7.5,W,149.5,O
2016,LSU,58,COLCH,70,L,+5.0,L,139.0,U
2016,LSU,72,NCST,83,L,-1.0,L,151.5,O
2016,LSU,80,MARQ,81,L,+5.0,L,147.0,O
2016,S.ALA,66,LSU,78,W,-18.0,L,161.0,U
2016,KENNE,69,LSU,91,W,-23.5,L,154.5,O
2016,MCNEE,70,LSU,81,W,0.0,,0.0,
2015,MCNEE,72,LSU,83,W,0.0,,0.0,
2015,CLEMS,64,LSU,61,L,-2.0,L,0.0,
2015,WEBER,58,LSU,72,W,-7.0,W,0.0,
2015,LSU,61,OLDDO,70,L,+2.0,L,136.5,U
2015,TEXTK,64,LSU,69,W,-8.0,L,142.5,U
2015,G.WEB,82,LSU,93,W,-15.0,L,144.0,O
2014,LSU,69,MEMPH,76,L,-3.0,L,161.5,U
2014,LSU,82,STJOE,65,W,+3.0,W,153.0,U
2014,SELA,66,LSU,89,W,0.0,,0.0,
2014,NEWOR,54,LSU,81,W,0.0,,0.0,
2014,NWST,74,LSU,88,W,0.0,,0.0,
2017,VANDY,96,LSU,89,L,0.0,L,147.0,O
2017,LSU,76,WAKE,110,L,-10.5,L,157.5,O
