Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 28 2017,LASAL,72,STJOE,73,L,-1.0,P,144.0,O
Jan 25 2017,PENN,77,LASAL,74,L,-8.0,L,144.0,O
Jan 22 2017,LASAL,52,VACOM,90,L,-7.0,L,152.5,U
Jan 19 2017,DAVID,83,LASAL,91,W,-2.5,W,154.5,O
Jan 15 2017,GWASH,69,LASAL,79,W,-6.5,W,147.0,O
Jan 12 2017,LASAL,87,RHODEI,75,W,-12.5,W,145.5,O
Jan 7 2017,DUQU,81,LASAL,88,W,-11.0,L,151.5,O
Jan 4 2017,STL,54,LASAL,75,W,-14.5,W,140.5,U
Jan 30 2016,LASAL,44,DAYTN,59,L,-19.5,W,129.5,U
Jan 26 2016,LASAL,60,DUQU,87,L,-11.5,L,141.0,O
Jan 24 2016,STJOE,69,LASAL,48,L,+10.5,L,137.0,U
Jan 20 2016,TEMPL,62,LASAL,49,L,+10.0,L,127.5,U
Jan 16 2016,LASAL,62,RHODEI,73,L,-15.0,W,131.0,O
Jan 13 2016,LASAL,61,RICHM,83,L,-13.0,L,142.5,O
Jan 9 2016,DAYTN,57,LASAL,61,W,+12.0,W,138.5,U
Jan 6 2016,LASAL,61,FORDM,66,L,-9.0,W,137.0,U
Jan 3 2016,UMASS,74,LASAL,67,L,+1.5,L,151.0,U
Jan 31 2015,LASAL,66,STBON,56,W,-3.0,W,128.5,U
Jan 27 2015,STJOE,48,LASAL,53,W,-5.0,P,125.0,U
Jan 22 2015,LASAL,47,RHODEI,59,L,-5.0,L,123.5,U
Jan 17 2015,FORDM,49,LASAL,60,W,-13.0,L,131.0,U
Jan 14 2015,LASAL,50,DAYTN,61,L,-7.0,L,126.5,U
Nov 30 2016,LEHIH,81,LASAL,89,W,0.0,,0.0,
Nov 27 2016,LASAL,89,DREXL,78,W,+6.5,W,152.0,O
Nov 19 2016,TEXSO,77,LASAL,76,L,0.0,,0.0,
Nov 15 2016,DELA,68,LASAL,74,W,-15.5,L,142.5,U
Nov 11 2016,LASAL,92,TEMPL,97,L,+2.5,L,140.0,O
Nov 28 2015,LASAL,81,ROWAN,51,W,0.0,,0.0,
Nov 25 2015,LASAL,64,PENN,80,L,+4.5,L,143.5,O
Nov 23 2015,LAFAY,75,LASAL,83,W,0.0,,0.0,
Nov 17 2015,RIDER,60,LASAL,73,W,-4.0,W,139.5,U
Nov 14 2015,TOWSN,76,LASAL,78,W,-5.0,L,136.0,O
Nov 29 2014,LASAL,55,VANDY,68,L,+2.0,L,123.0,P
Nov 28 2014,LASAL,56,VIRGA,64,L,-16.0,W,117.0,O
Nov 25 2014,STFNY,60,LASAL,73,W,0.0,,0.0,
Nov 22 2014,STPET,50,LASAL,59,W,-10.0,L,0.0,
Nov 18 2014,LASAL,60,QUINN,58,W,-3.5,W,0.0,
Nov 15 2014,COLGT,52,LASAL,57,W,0.0,,0.0,
Nov 25 2013,NIOWA,65,LASAL,50,L,-3.0,L,142.0,U
Nov 24 2013,LASAL,63,PROV,71,L,-6.0,L,141.5,U
Nov 22 2013,MORGN,59,LASAL,78,W,-10.0,W,151.0,U
Nov 19 2013,LASAL,72,PENST,79,L,-3.0,L,150.5,O
Nov 16 2013,SIENA,74,LASAL,78,W,-16.5,L,151.5,O
Nov 12 2013,QUINN,67,LASAL,73,W,-12.0,L,155.5,U
Nov 9 2013,MANHT,99,LASAL,90,L,-7.5,L,0.0,
Dec 30 2016,LASAL,55,DAYTN,66,L,-9.5,L,150.5,U
Dec 22 2016,LASAL,98,MERCR,96,W,+2.5,L,144.5,O
Dec 17 2016,FLAGC,80,LASAL,84,W,-5.0,L,151.5,O
Dec 10 2016,LASAL,78,GTOWN,93,L,-4.5,L,155.0,O
Dec 6 2016,VILLA,89,LASAL,79,L,+17.5,W,144.0,O
Dec 3 2016,BUCKN,73,LASAL,83,W,0.0,,0.0,
Dec 31 2015,LASAL,77,FLAGC,86,L,0.0,,0.0,
Dec 22 2015,MIAMI,95,LASAL,49,L,+16.5,L,142.0,O
Dec 13 2015,LASAL,47,VILLA,76,L,-25.0,L,138.5,U
Dec 5 2015,DREXL,66,LASAL,53,L,-7.5,L,142.0,U
Dec 2 2015,HOFST,84,LASAL,80,L,+3.0,L,158.0,O
Dec 30 2014,PENN,67,LASAL,84,W,-10.5,W,131.0,O
Dec 23 2014,LASAL,83,HOFST,74,W,-4.5,W,0.0,
Dec 20 2014,LASAL,67,TOWSN,53,W,+3.0,W,0.0,
Dec 16 2014,AMERN,68,LASAL,66,L,0.0,,0.0,
Dec 13 2014,LASAL,65,DREXL,55,W,+1.5,W,0.0,
Dec 6 2014,LASAL,57,TEMPL,58,L,-2.5,W,126.5,U
Dec 3 2014,VILLA,84,LASAL,70,L,+11.0,L,127.5,O
Dec 22 2013,LASAL,58,MIAMI,71,L,-3.0,L,121.5,O
Dec 19 2013,WAGNR,54,LASAL,80,W,0.0,,0.0,
Dec 15 2013,LASAL,52,VILLA,73,L,-13.5,L,144.0,U
Dec 7 2013,STONY,57,LASAL,65,W,0.0,,0.0,
Dec 4 2013,HARTF,62,LASAL,75,W,0.0,,0.0,
Feb 26 2017,LASAL,71,UMASS,84,L,+1.0,L,153.5,O
Feb 21 2017,RHODEI,67,LASAL,56,L,+3.5,L,147.0,U
Feb 18 2017,STJOE,68,LASAL,83,W,-6.0,W,145.0,O
Feb 15 2017,LASAL,65,STBON,83,L,-6.0,L,151.5,U
Feb 11 2017,RICHM,64,LASAL,52,L,-3.0,L,158.0,U
Feb 8 2017,LASAL,67,FORDM,52,W,+2.0,W,145.0,U
Feb 4 2017,LASAL,75,GMASN,95,L,-3.5,L,155.0,O
Feb 1 2017,UMASS,78,LASAL,88,W,-5.0,W,155.5,O
Feb 27 2016,GMASN,68,LASAL,76,W,+2.5,W,134.0,O
Feb 24 2016,FORDM,56,LASAL,53,L,+3.0,P,134.0,U
Feb 21 2016,LASAL,50,GWASH,90,L,-16.5,L,137.5,O
