Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,LONGW,62,PRESB,71,L,0.0,,0.0,
2017,LIBRT,93,LONGW,62,L,0.0,,0.0,
2017,LONGW,61,CHASO,76,L,0.0,,0.0,
2017,RADFD,72,LONGW,60,L,0.0,,0.0,
2017,G.WEB,85,LONGW,79,L,0.0,,0.0,
2017,LONGW,68,NCASH,89,L,0.0,,0.0,
2017,LONGW,65,WINTH,83,L,0.0,,0.0,
2017,PRESB,76,LONGW,79,W,0.0,,0.0,
2016,NCASH,88,LONGW,74,L,0.0,,0.0,
2016,LONGW,74,NCASH,88,L,0.0,,0.0,
2016,RADFD,90,LONGW,81,L,0.0,,0.0,
2016,WINTH,82,LONGW,68,L,0.0,,0.0,
2016,LONGW,53,LIBRT,55,L,0.0,,0.0,
2016,LONGW,74,CAMBP,57,W,0.0,,0.0,
2016,COCAR,61,LONGW,76,W,0.0,,0.0,
2016,LONGW,65,PRESB,78,L,0.0,,0.0,
2016,G.WEB,67,LONGW,66,L,0.0,,0.0,
2015,LONGW,71,PRESB,67,W,0.0,,0.0,
2015,NCASH,74,LONGW,64,L,0.0,,0.0,
2015,LONGW,67,G.WEB,79,L,0.0,,0.0,
2015,LONGW,67,HIGHP,72,L,0.0,,0.0,
2017,DART,80,LONGW,86,W,0.0,,0.0,
2017,LONGW,72,STFPA,87,L,0.0,,0.0,
2017,SALEM,74,LONGW,87,W,0.0,,0.0,
2017,LONGW,60,SFA,66,L,-18.5,W,146.5,U
2017,MAINE,80,LONGW,58,L,0.0,,0.0,
2016,LONGW,70,COLUM,69,W,0.0,,0.0,
2016,LONGW,82,MAINE,92,L,0.0,,0.0,
2016,LONGW,97,EKENT,110,L,0.0,,0.0,
2016,BALL,78,LONGW,67,L,0.0,,0.0,
2016,LONGW,77,SC.ST,83,L,0.0,,0.0,
2016,LAROCH,65,LONGW,89,W,0.0,,0.0,
2016,RANDLPH,49,LONGW,69,W,0.0,,0.0,
2015,LONGW,44,IOWA,77,L,0.0,,0.0,
2015,LONGW,66,GWASH,91,L,0.0,,0.0,
2015,LONGW,48,EMICH,79,L,-16.0,L,0.0,
2015,YOUNG,82,LONGW,72,L,+7.5,L,0.0,
2015,NCGRE,79,LONGW,81,W,+8.5,W,0.0,
2015,LONGW,60,JMU,82,L,0.0,,0.0,
2015,AVERTT,53,LONGW,79,W,0.0,,0.0,
2014,LONGW,89,MSVAL,90,L,0.0,,0.0,
2014,NCA&T,85,LONGW,78,L,0.0,,0.0,
2014,LONGW,47,STJON,65,L,0.0,,0.0,
2014,LONGW,67,PENST,93,L,0.0,,0.0,
2017,LONGW,60,HIGHP,55,W,0.0,,0.0,
2017,CAMBP,77,LONGW,79,W,0.0,,0.0,
2017,LONGW,60,TEXTK,91,L,0.0,,138.5,O
2017,LONGW,45,BALL,61,L,0.0,,0.0,
2017,AVERTT,67,LONGW,86,W,0.0,,0.0,
2017,LONGW,60,GMASN,97,L,0.0,,0.0,
2017,LONGW,58,CREIG,113,L,-35.0,L,158.0,O
2017,JMU,71,LONGW,59,L,0.0,,0.0,
2016,NCASH,70,LONGW,61,L,0.0,,0.0,
2016,CAIRN,52,LONGW,90,W,0.0,,0.0,
2016,LONGW,54,DART,78,L,0.0,,0.0,
2016,LONGW,70,GMASN,75,L,0.0,,0.0,
2016,LONGW,55,OKST,73,L,-16.0,L,140.5,U
2016,LONGW,59,RICHM,77,L,0.0,,0.0,
2016,UMBC,70,LONGW,59,L,0.0,,0.0,
2016,LONGW,66,HIGHP,90,L,0.0,,0.0,
2015,LONGW,72,WINTH,82,L,0.0,,0.0,
2015,LONGW,64,BALL,69,L,0.0,,0.0,
2015,PENSTB,74,LONGW,106,W,0.0,,0.0,
2015,LONGW,60,MIAOH,71,L,0.0,,0.0,
2015,LONGW,53,UMBC,58,L,0.0,,0.0,
2015,TNMAR,77,LONGW,67,L,0.0,,0.0,
2015,DART,73,LONGW,74,W,0.0,,0.0,
2017,CHASO,86,LONGW,78,L,0.0,,0.0,
2017,LONGW,74,CHASO,79,L,-10.5,W,151.5,O
2017,LONGW,45,LIBRT,61,L,0.0,,0.0,
2017,LONGW,72,RADFD,79,L,0.0,,0.0,
2017,WINTH,83,LONGW,63,L,0.0,,0.0,
2017,NCASH,91,LONGW,69,L,0.0,,0.0,
2017,LONGW,79,CAMBP,83,L,0.0,,0.0,
2017,LONGW,64,G.WEB,90,L,0.0,,0.0,
2017,HIGHP,92,LONGW,68,L,0.0,,0.0,
2016,LONGW,92,RADFD,81,W,0.0,,0.0,
2016,PRESB,74,LONGW,73,L,0.0,,0.0,
2016,LONGW,71,G.WEB,81,L,0.0,,0.0,
2016,HIGHP,88,LONGW,80,L,0.0,,0.0,
2016,LIBRT,69,LONGW,68,L,0.0,,0.0,
2016,LONGW,80,WINTH,88,L,0.0,,0.0,
2016,LONGW,78,CHASO,76,W,0.0,,0.0,
2016,CAMBP,79,LONGW,80,W,0.0,,0.0,
2015,CAMBP,65,LONGW,70,W,0.0,,0.0,
2015,COCAR,72,LONGW,59,L,0.0,,0.0,
2015,WINTH,83,LONGW,59,L,0.0,,0.0,
2015,LONGW,78,LIBRT,72,W,0.0,,0.0,
2016,LONGW,78,HIGHP,89,L,-5.5,L,147.0,O
2016,CHASO,69,LONGW,75,W,-3.0,W,149.0,U
2015,LONGW,58,WINTH,71,L,-9.0,L,137.5,U
2015,LONGW,68,CHASO,60,W,-10.0,W,145.5,U
2015,LONGW,65,PRESB,61,W,+3.0,W,135.5,U
2014,LONGW,65,G.WEB,81,L,-13.0,L,143.0,O
2014,VMI,86,LONGW,66,L,0.0,,0.0,
2013,LONGW,86,VMI,90,L,-8.0,W,166.0,O
2013,LONGW,87,NCASH,72,W,-12.5,W,153.0,O
2013,LONGW,80,VMI,94,L,0.0,,0.0,
2010,LONGW,81,HAMPT,95,L,0.0,,0.0,
2009,LONGW,77,NJIT,70,W,0.0,,0.0,
2006,UTVAL,73,LONGW,63,L,0.0,,0.0,
2005,UTVAL,54,LONGW,50,L,0.0,,0.0,
2004,LONGW,76,NCOLO,66,W,0.0,,0.0,O
