Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,PROV,79,MARQ,78,L,-8.0,L,149.0,O
2017,VILLA,72,MARQ,74,W,+5.5,W,151.5,U
2017,MARQ,102,CREIG,94,W,-6.5,W,158.0,O
2017,MARQ,80,BUTLR,88,L,-7.5,L,151.5,O
2017,DPAUL,58,MARQ,83,W,-15.0,W,151.5,U
2017,SETON,86,MARQ,89,W,-5.5,L,151.5,O
2017,MARQ,81,VILLA,93,L,-11.5,L,149.0,O
2017,MARQ,66,SETON,69,L,-3.5,W,154.5,U
2016,BUTLR,69,MARQ,75,W,+2.5,W,144.0,P
2016,STETS,60,MARQ,74,W,-19.5,L,157.5,U
2016,MARQ,78,STJON,73,W,+5.5,L,142.0,O
2016,DPAUL,57,MARQ,56,L,-8.0,L,148.5,U
2016,XAVIR,74,MARQ,66,L,+6.5,L,152.5,U
2016,MARQ,68,VILLA,83,L,-18.0,W,144.0,O
2016,STJON,75,MARQ,81,W,-12.0,L,142.5,O
2016,MARQ,65,PROV,64,W,-9.5,W,150.0,U
2016,MARQ,70,GTOWN,80,L,-7.0,L,141.5,O
2015,BUTLR,72,MARQ,68,L,+2.5,L,129.0,O
2015,SETON,80,MARQ,70,L,-3.5,L,128.0,O
2015,GTOWN,95,MARQ,85,L,+1.0,L,126.0,O
2015,MARQ,57,STJON,60,L,-6.5,W,128.5,U
2015,MARQ,58,XAVIR,62,L,-9.5,W,137.5,U
2017,W.CAR,44,MARQ,90,W,-25.5,W,144.0,U
2017,HOUBPT,79,MARQ,101,W,-23.5,L,160.0,O
2017,IUPUI,79,MARQ,104,W,-14.5,W,154.0,O
2017,PITT,78,MARQ,75,L,-2.0,L,148.5,O
2017,MICH,79,MARQ,61,L,0.0,L,147.0,U
2017,HOWRD,49,MARQ,81,W,-26.0,W,152.5,U
2017,MARQ,95,VANDY,71,W,+2.0,W,150.0,O
2016,JACKS,61,MARQ,80,W,-12.5,W,141.5,U
2016,MARQ,78,ARZST,73,W,-4.0,W,149.0,O
2016,LSU,80,MARQ,81,W,+5.0,W,147.0,O
2016,IOWA,89,MARQ,61,L,+4.0,L,146.5,O
