Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,W.CAR,47,MERCR,62,W,-12.5,W,125.5,U
2017,CITDL,66,MERCR,82,W,-14.0,W,170.5,U
2017,MERCR,70,W.CAR,50,W,+7.0,W,127.0,U
2017,MERCR,66,NCGRE,68,L,-5.5,W,135.0,U
2017,CHATT,70,MERCR,68,L,+4.5,W,132.5,O
2017,MERCR,68,SAMFD,65,W,-3.5,W,143.0,U
2017,E.TEN,67,MERCR,58,L,+6.0,L,137.5,U
2017,VMI,50,MERCR,68,W,-11.0,W,141.5,U
2017,MERCR,69,FURMN,71,L,-5.0,W,130.5,O
2016,NCGRE,67,MERCR,81,W,-8.0,W,132.5,O
2016,VMI,58,MERCR,73,W,-13.0,W,132.0,U
2016,MERCR,80,W.CAR,86,L,+3.5,L,134.0,O
2016,MERCR,63,E.TEN,65,L,-2.5,W,135.5,U
2016,WOFFD,69,MERCR,70,W,-6.5,L,129.5,O
2016,FURMN,65,MERCR,69,W,-5.5,L,127.0,O
2016,MERCR,91,CITDL,80,W,+9.0,W,162.5,O
2016,MERCR,62,CHATT,74,L,-5.0,L,127.5,O
2016,SAMFD,50,MERCR,69,W,-5.5,W,128.5,U
2015,MERCR,46,WOFFD,49,L,-6.5,W,117.5,U
2015,CHATT,72,MERCR,75,W,-4.0,L,129.0,O
2015,MERCR,52,W.CAR,60,L,+2.0,L,134.0,U
2015,SAMFD,56,MERCR,80,W,-12.5,W,132.0,O
2017,DAVID,78,MERCR,57,L,+4.0,L,138.0,U
2017,MERCR,63,AKRON,65,L,-4.5,W,136.0,U
2017,MERCR,70,E.CAR,66,W,+3.5,W,128.0,O
2017,RADFD,47,MERCR,58,W,0.0,,0.0,
2017,GASOU,67,MERCR,80,W,-4.0,W,141.5,O
2017,MERCR,54,FLA,76,L,-16.0,L,143.5,U
2017,BREWT,53,MERCR,87,W,0.0,,0.0,
2016,WMICH,65,MERCR,68,W,-2.0,W,137.5,U
2016,APPST,70,MERCR,71,W,-13.0,L,135.0,O
2016,MERCR,71,TULAN,61,W,+5.0,W,134.0,U
2016,MERCR,71,DAVID,77,L,-12.0,W,155.0,U
2016,ALAST,49,MERCR,70,W,0.0,,0.0,
2016,GMASN,60,MERCR,69,W,-7.5,W,137.0,U
2016,ALLEN,70,MERCR,96,W,0.0,,0.0,
2015,PACIF,55,MERCR,48,L,-1.5,L,0.0,
2015,MERCR,60,SABAR,65,L,-10.0,W,127.0,U
2015,RICE,71,MERCR,77,W,-6.5,L,124.0,O
2015,MERCR,62,COLST,75,L,-15.5,W,0.0,
2015,KENNE,66,MERCR,74,W,0.0,,0.0,
2015,MERCR,47,SETON,63,L,-11.5,L,138.0,U
2015,PIEDMT,48,MERCR,88,W,0.0,,0.0,
2014,MERCR,117,VALPO,108,W,0.0,,0.0,
2017,MERCR,71,WOFFD,88,L,-3.0,L,134.5,O
2017,MERCR,80,KENNE,76,W,0.0,,0.0,
2017,LASAL,98,MERCR,96,L,+2.5,W,144.5,O
2017,MERCR,74,AUBRN,76,L,-9.5,W,145.0,O
2017,MERCR,47,CLEMS,90,L,-13.5,L,130.0,O
2017,OGLET,41,MERCR,98,W,0.0,,0.0,
2017,MERCR,68,GMASN,79,L,-2.5,L,128.5,O
2016,MERCR,76,KENNE,73,W,0.0,,0.0,
2016,MERCR,44,OHIOS,64,L,-11.0,L,128.5,U
2016,MERCR,69,ARK,66,W,-6.5,W,145.5,U
2016,MERCR,71,AUBRN,78,L,-6.5,L,146.5,O
2016,ALCRN,43,MERCR,68,W,0.0,,0.0,
2016,HIWASE,47,MERCR,82,W,0.0,,0.0,
2015,MERCR,50,TEXAM,65,L,-12.0,L,121.0,U
2015,MERCR,77,GA,86,L,-15.0,W,124.0,O
2015,MERCR,54,TENN,64,L,-12.0,W,121.5,U
2015,BCOOK,46,MERCR,67,W,0.0,,0.0,
2015,DART,67,MERCR,51,L,-4.0,L,0.0,
2015,VMI,81,MERCR,90,W,-9.0,P,0.0,
2015,STAND,33,MERCR,62,W,0.0,,0.0,
2014,MERCR,86,JAXVL,49,W,0.0,,0.0,
2014,STAND,56,MERCR,98,W,0.0,,0.0,
2014,MERCR,79,MISS,76,W,0.0,,0.0,
2014,ALCRN,44,MERCR,70,W,0.0,,0.0,
2017,SAMFD,79,MERCR,88,W,-5.5,W,142.5,O
2017,MERCR,64,CHATT,54,W,-5.5,W,133.5,U
2017,NCGRE,72,MERCR,66,L,-1.0,L,134.5,O
2017,MERCR,89,CITDL,78,W,+8.0,W,167.5,U
2017,MERCR,71,E.TEN,88,L,-8.5,L,136.5,O
2017,MERCR,81,VMI,51,W,+4.5,W,138.5,U
2017,WOFFD,65,MERCR,62,L,-3.0,L,137.5,U
2017,FURMN,70,MERCR,68,L,-2.5,L,129.5,O
2016,MERCR,65,NCGRE,69,L,-3.5,L,139.0,U
2016,MERCR,82,VMI,91,L,+7.0,L,136.5,O
2016,E.TEN,77,MERCR,74,L,-3.5,L,140.0,O
2016,W.CAR,72,MERCR,65,L,-7.0,L,136.5,O
2016,MERCR,74,FURMN,85,L,-2.5,L,128.5,O
2016,MERCR,70,WOFFD,79,L,-1.0,L,133.5,O
2016,CHATT,72,MERCR,66,L,+2.0,L,133.5,O
2016,CITDL,72,MERCR,88,W,-15.0,W,165.5,U
2016,MERCR,85,SAMFD,70,W,+2.5,W,134.0,O
2015,E.TEN,64,MERCR,69,W,-5.5,L,132.5,O
2015,WOFFD,76,MERCR,72,L,+1.5,L,117.5,O
2015,MERCR,62,SAMFD,61,W,+4.5,L,131.0,U
2015,MERCR,61,CHATT,74,L,-2.5,L,129.0,O
2017,MERCR,66,E.TEN,73,L,-5.5,L,138.5,O
2016,MERCR,57,COCAR,65,L,-6.0,L,142.0,U
2016,MERCR,65,E.TEN,81,L,-4.0,L,140.5,O
2016,CITDL,69,MERCR,71,W,-9.5,L,169.5,U
2015,ULMON,71,MERCR,69,L,-4.5,L,130.5,O
