Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2018,PENST,68,MICHS,76,W,-13.5,L,141.5,O
Jan 28 2018,MICHS,74,MARYL,68,W,+6.0,P,146.0,U
Jan 26 2018,WISCN,61,MICHS,76,W,-17.0,L,136.0,O
Jan 22 2018,MICHS,87,ILL,74,W,+12.0,W,147.5,O
Jan 19 2018,INDY,57,MICHS,85,W,-14.5,W,145.5,U
Jan 13 2018,MICH,82,MICHS,72,L,-9.5,L,136.0,O
Jan 10 2018,RUTGR,72,MICHS,76,W,-21.5,L,135.0,O
Jan 7 2018,MICHS,64,OHIOS,80,L,+6.5,L,144.5,U
Jan 4 2018,MARYL,61,MICHS,91,W,-15.0,W,141.0,O
Nov 30 2017,ND,63,MICHS,81,W,-6.5,W,138.0,O
Nov 26 2017,UNC,45,MICHS,63,W,-2.0,W,156.0,U
Nov 25 2017,UCONN,57,MICHS,77,W,-7.0,W,142.5,U
Nov 23 2017,MICHS,73,DPAUL,51,W,+13.5,W,148.0,U
Nov 19 2017,STONY,71,MICHS,93,W,-28.5,L,0.0,
Nov 14 2017,MICHS,81,DUKE,88,L,+1.0,L,157.0,O
Nov 10 2017,N.FLA,66,MICHS,98,W,-31.5,W,150.5,O
Dec 31 2017,SAVAN,52,MICHS,108,W,-42.5,W,171.0,U
Dec 29 2017,CLEST,61,MICHS,111,W,-33.0,W,139.5,O
Dec 21 2017,LONGB,60,MICHS,102,W,-30.5,W,152.0,O
Dec 18 2017,HOUBPT,62,MICHS,107,W,-31.5,W,152.5,O
Dec 16 2017,MICHS,86,OAKLN,73,W,+19.0,L,149.0,O
Dec 9 2017,SUTAH,63,MICHS,88,W,-31.0,L,155.0,U
Dec 5 2017,MICHS,62,RUTGR,52,W,+14.0,L,135.0,U
Dec 3 2017,NEBRS,57,MICHS,86,W,-19.0,W,141.0,O
Feb 25 2018,MICHS,68,WISCN,63,W,+7.5,L,135.0,U
Feb 20 2018,ILL,61,MICHS,81,W,-16.5,W,146.5,U
Feb 17 2018,MICHS,65,NWEST,60,W,+9.0,L,131.5,U
Feb 13 2018,MICHS,87,MINN,57,W,+10.0,W,148.5,U
Feb 10 2018,PURDU,65,MICHS,68,W,-3.0,P,148.5,U
Feb 6 2018,MICHS,96,IOWA,93,W,+10.0,L,154.0,O
Feb 3 2018,MICHS,63,INDY,60,W,+8.0,L,141.0,U
Mar 3 2018,MICH,75,MICHS,64,L,-5.0,L,136.5,O
Mar 2 2018,WISCN,60,MICHS,63,W,-12.0,L,130.0,U
