Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,MARYL,85,MINN,78,L,-4.5,L,137.0,O
2017,MINN,72,OHIOS,78,L,-3.5,L,140.0,O
2017,WISCN,78,MINN,76,L,+4.5,W,132.0,O
2017,MINN,50,PENST,52,L,-1.0,L,143.0,U
2017,MINN,47,MICHS,65,L,-3.5,L,139.5,U
2017,OHIOS,68,MINN,78,W,-5.5,W,139.5,O
2017,MINN,70,NWEST,66,W,-4.0,W,139.5,U
2017,MINN,91,PURDU,82,W,-13.5,W,140.5,O
2016,MINN,68,INDY,74,L,-19.0,W,149.5,U
2016,PURDU,68,MINN,64,L,+14.0,W,141.5,U
2016,ILL,76,MINN,71,L,+2.0,L,145.0,O
2016,MINN,69,MICH,74,L,-16.0,W,141.0,O
2016,INDY,70,MINN,63,L,+11.0,W,152.5,U
2016,MINN,59,NEBRS,84,L,-8.0,L,140.0,O
2016,NWEST,77,MINN,52,L,+2.5,L,139.5,U
2016,MINN,77,PENST,86,L,-6.0,L,133.0,O
2016,MICHS,69,MINN,61,L,+9.0,W,144.5,U
2015,NEBRS,42,MINN,60,W,-7.0,W,128.5,U
2015,MINN,58,PENST,63,L,+1.5,L,136.5,U
2015,ILL,71,MINN,79,W,-7.0,W,138.5,O
2015,MINN,49,NEBRS,52,L,-2.0,L,129.5,U
2017,MINN,67,FLAST,75,L,-9.0,W,154.5,U
2017,S.ILL,45,MINN,57,W,-15.5,L,153.0,U
2017,ARK,71,MINN,85,W,-4.0,W,158.5,U
2017,STJON,86,MINN,92,W,-7.0,L,151.5,O
2017,MTSTM,56,MINN,80,W,0.0,,0.0,
2017,TEXAR,67,MINN,84,W,-1.5,W,158.5,U
2017,ULLAF,74,MINN,86,W,-8.5,W,153.0,O
2016,CLEMS,83,MINN,89,W,-2.0,W,134.0,O
2016,NEBOM,90,MINN,93,W,-11.0,L,160.5,O
2016,MINN,68,TEXTK,81,L,+1.0,L,136.5,O
2016,MINN,74,MIZST,69,W,+11.0,L,140.0,O
2016,TEMPL,75,MINN,70,L,-1.0,L,142.0,O
2016,ULMON,56,MINN,67,W,-10.0,W,138.5,U
2016,UMKC,58,MINN,76,W,0.0,,0.0,
2015,MINN,66,GA,62,W,+4.0,P,147.0,U
2015,MINN,61,STJON,70,L,-1.0,L,138.0,U
2015,UMBC,51,MINN,69,W,0.0,,0.0,
2015,FRANK,57,MINN,109,W,0.0,,0.0,
2015,W.KEN,54,MINN,76,W,-9.5,W,0.0,
2015,MINN,68,LOUIS,81,L,-9.5,L,140.0,O
2014,MINN,83,CHAMI,68,W,+22.0,L,168.0,U
2014,ARK,87,MINN,73,L,-5.0,L,155.5,O
2017,MICHS,75,MINN,74,L,-5.5,L,138.5,O
2017,ARKST,75,MINN,82,W,-13.5,L,143.5,O
2017,LIU,66,MINN,76,W,0.0,,0.0,
2017,N.ILL,57,MINN,77,W,-13.5,W,136.0,U
2017,GASOU,49,MINN,86,W,-13.0,W,148.0,U
2017,NJIT,68,MINN,74,W,-18.0,L,141.5,O
2017,VANDY,52,MINN,56,W,-2.5,W,141.0,U
2016,MINN,63,OHIOS,78,L,-11.0,L,138.0,O
2016,WISML,74,MINN,65,L,-4.5,L,143.0,U
2016,CHIST,52,MINN,70,W,0.0,,0.0,
2016,MINN,60,OKST,62,L,0.0,L,143.0,U
2016,SD.ST,84,MINN,70,L,-3.0,L,152.5,O
2016,SDKOTA,85,MINN,81,L,-11.5,L,160.0,O
2015,MINN,68,PURDU,72,L,+1.0,L,147.5,U
2015,NCWIL,82,MINN,108,W,-20.0,W,146.5,O
2015,FURMN,76,MINN,86,W,-27.5,L,0.0,
2015,SEATT,57,MINN,92,W,-20.5,W,137.5,O
2015,SUTHR,57,MINN,85,W,0.0,,0.0,
2015,NDAKOT,56,MINN,92,W,-21.0,W,140.0,O
2015,W.CAR,64,MINN,84,W,-17.5,W,0.0,
2015,MINN,84,WAKE,69,W,+4.5,W,137.5,O
2014,TEXCC,44,MINN,65,W,-25.0,L,132.5,U
2014,NEBOM,79,MINN,92,W,-15.5,L,152.0,O
2017,PENST,71,MINN,81,W,-7.5,W,143.5,O
2017,MINN,89,MARYL,75,W,-4.5,W,143.0,O
2017,MICH,78,MINN,83,W,-1.0,W,136.5,O
2017,INDY,74,MINN,75,W,-4.5,L,146.0,O
2017,MINN,72,RUTGR,63,W,+6.0,W,132.5,O
2017,IOWA,89,MINN,101,W,-7.0,W,152.0,O
2017,MINN,68,ILL,59,W,+1.5,W,139.5,U
2016,MINN,71,ILL,84,L,-5.0,L,142.5,O
2016,RUTGR,61,MINN,83,W,-12.5,W,142.0,O
2016,MARYL,63,MINN,68,W,+10.0,W,139.5,U
2016,MINN,71,IOWA,75,L,-19.5,W,147.5,U
2016,MICH,82,MINN,74,L,+7.0,L,141.0,O
2016,MINN,58,NWEST,82,L,-8.5,L,134.0,O
2015,MINN,96,MICHS,90,W,-8.0,W,133.0,O
2015,MINN,53,WISCN,63,L,-15.0,W,131.5,U
2015,NWEST,72,MINN,66,L,-10.5,L,125.5,O
2015,MINN,71,INDY,90,L,-4.0,L,148.0,O
2015,MINN,64,IOWA,59,W,-7.0,W,134.5,U
2015,PURDU,58,MINN,62,W,-5.0,L,135.0,U
2014,IOWA,89,MINN,95,W,+4.0,W,145.0,O
2014,MINN,46,OHIOS,64,L,-9.0,L,129.5,U
2014,ILL,62,MINN,49,L,-7.5,L,129.5,U
2017,MIDTN,81,MINN,72,L,+1.5,L,137.5,O
2017,MICH,84,MINN,77,L,+4.0,L,135.0,O
2017,MICHS,58,MINN,63,W,-1.5,W,137.5,U
2017,MINN,49,WISCN,66,L,-8.0,L,134.0,U
2017,NEBRS,73,MINN,88,W,-7.5,W,139.5,O
2016,MINN,52,ILL,85,L,-11.0,L,135.0,O
2016,MINN,52,RUTGR,75,L,-2.0,L,141.0,U
2016,WISCN,62,MINN,49,L,+10.0,L,131.5,U
2015,MINN,73,OHIOS,79,L,-5.5,L,141.5,O
2015,RUTGR,68,MINN,80,W,-10.5,W,136.5,O
2015,PENST,79,MINN,76,L,-8.5,L,134.5,O
2015,WISCN,76,MINN,63,L,+7.0,L,132.0,O
2014,S.MISS,73,MINN,81,W,-5.0,W,137.0,O
2014,STMAR,55,MINN,63,W,-6.5,W,138.5,U
2014,HIGHP,81,MINN,88,W,-17.0,L,135.0,O
2014,MINN,57,WISCN,83,L,-5.0,L,134.5,O
2014,PENST,56,MINN,63,W,-4.0,W,135.5,U
2014,PENST,63,MINN,81,W,-7.0,W,135.0,O
2014,MINN,56,MICH,66,L,-9.0,L,136.5,U
2013,MINN,64,FLA,78,L,-7.5,L,124.5,O
2013,MINN,83,UCLA,63,W,+3.5,W,134.5,O
2013,MINN,49,ILL,51,L,+3.0,L,126.5,U
2013,MINN,73,PURDU,89,L,+3.5,L,128.5,O
2013,MINN,51,NEBRS,53,L,+8.5,L,125.5,U
2013,PENST,44,MINN,73,W,-16.5,W,128.0,U
2012,STANF,75,MINN,51,L,-2.0,L,131.0,U
2012,MINN,68,WASH,67,W,+1.0,P,144.5,U
2012,MINN,78,MIDTN,72,W,-3.5,W,134.0,O
2012,MINN,78,MIAMI,60,W,-6.0,W,130.5,O
2012,MINN,70,LASAL,61,W,-2.5,W,141.5,U
2014,MINN,65,SMU,63,W,-3.5,W,132.5,U
2014,MINN,67,FLAST,64,W,-1.0,W,139.5,U
2003,MINN,61,TEXTK,71,L,-3.5,L,142.5,U
2003,MINN,74,GTOWN,88,L,-3.5,L,146.5,O
