Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2018,MIZZU,69,ALA,60,W,-5.5,W,137.0,U
Jan 27 2018,MIZZU,62,MISST,74,L,-2.0,L,133.5,O
Jan 24 2018,AUBRN,91,MIZZU,73,L,-1.5,L,145.5,O
Jan 20 2018,MIZZU,49,TEXAM,60,L,-4.5,L,136.5,U
Jan 17 2018,TENN,55,MIZZU,59,W,-2.0,W,141.0,U
Jan 13 2018,MIZZU,63,ARK,65,L,-4.5,W,152.5,U
Jan 10 2018,GA,56,MIZZU,68,W,-5.5,W,137.0,U
Jan 6 2018,FLA,77,MIZZU,75,L,-1.0,L,147.5,O
Jan 3 2018,MIZZU,79,S.CAR,68,W,-1.0,W,139.5,O
Nov 30 2017,MIZZU,62,UCF,59,W,+4.0,L,135.0,U
Nov 26 2017,MIZZU,79,W.VA,83,L,-7.5,W,150.0,O
Nov 24 2017,MIZZU,90,STJON,82,W,+1.5,W,146.5,O
Nov 23 2017,MIZZU,95,LONGB,58,W,+11.0,W,143.0,O
Nov 20 2017,EMPOR,62,MIZZU,67,W,0.0,,0.0,
Nov 16 2017,MIZZU,59,UTAH,77,L,-4.0,L,142.5,U
Nov 13 2017,WAGNR,55,MIZZU,99,W,-18.0,W,137.0,O
Nov 10 2017,IOWAS,59,MIZZU,74,W,-6.0,W,152.5,U
Dec 23 2017,ILL,70,MIZZU,64,L,-5.0,L,148.5,U
Dec 19 2017,SFA,81,MIZZU,82,W,-14.0,L,143.5,O
Dec 16 2017,N.FLA,51,MIZZU,85,W,-25.0,W,160.5,U
Dec 9 2017,WISGB,77,MIZZU,100,W,-24.0,L,143.0,O
Dec 5 2017,MIAOH,51,MIZZU,70,W,-23.5,L,134.0,U
Feb 27 2018,MIZZU,74,VANDY,66,W,-2.0,W,143.0,U
Feb 24 2018,MIZZU,66,KENTY,87,L,-5.0,L,141.0,O
Feb 20 2018,MISS,90,MIZZU,87,L,-7.5,L,144.0,O
Feb 17 2018,MIZZU,63,LSU,64,L,0.0,L,144.5,U
Feb 13 2018,TEXAM,58,MIZZU,62,W,-2.5,W,138.0,U
Feb 10 2018,MISST,85,MIZZU,89,W,-5.0,L,135.5,O
Feb 6 2018,MIZZU,75,MISS,69,W,-1.0,W,145.0,U
Feb 3 2018,KENTY,60,MIZZU,69,W,-2.5,W,140.5,U
Mar 8 2018,GA,62,MIZZU,60,L,-3.0,L,131.0,U
Mar 3 2018,ARK,67,MIZZU,77,W,-3.5,W,148.5,U
