Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2018,SUTAH,66,MONST,69,W,-6.0,L,154.0,U
Jan 25 2018,NARIZ,77,MONST,75,L,-10.5,L,145.0,O
Jan 20 2018,MONTA,67,MONST,52,L,+7.0,L,148.0,U
Jan 13 2018,MONST,68,SACRA,87,L,+2.0,L,143.0,O
Jan 11 2018,MONST,74,PORST,93,L,-9.0,L,164.5,O
Jan 6 2018,NDAKOT,68,MONST,79,W,-7.5,W,156.0,U
Jan 4 2018,NCOLO,64,MONST,76,W,+3.0,W,153.0,U
Nov 29 2017,BTHSD,61,MONST,98,W,0.0,,0.0,
Nov 26 2017,MONST,67,FRSNO,80,L,-10.0,L,144.5,O
Nov 22 2017,MONST,88,SEMIZ,82,W,+6.5,L,143.5,O
Nov 21 2017,MONST,74,BINGH,64,W,-6.5,W,140.0,U
Nov 18 2017,MONST,58,LATEC,71,L,-9.0,L,154.5,U
Nov 15 2017,WMONT,81,MONST,109,W,0.0,,0.0,
Nov 13 2017,MONST,73,UT.ST,81,L,-5.5,L,149.0,O
Nov 10 2017,NEBOM,80,MONST,89,W,-8.5,W,167.5,O
Dec 30 2017,MONST,76,NARIZ,73,W,+5.0,L,152.0,U
Dec 28 2017,MONST,104,SUTAH,99,W,-1.5,W,162.0,O
Dec 21 2017,MONST,71,NEBOM,84,L,+2.5,L,161.5,U
Dec 18 2017,DENVR,65,MONST,79,W,-6.0,W,143.5,O
Dec 9 2017,SABAR,91,MONST,69,L,-1.0,L,145.5,O
Dec 5 2017,MONST,48,CMICH,75,L,-2.0,L,157.0,U
Dec 2 2017,MONST,68,WISML,64,W,-5.5,W,139.0,U
Feb 24 2018,MONST,63,MONTA,90,L,-14.0,L,147.0,O
Feb 17 2018,MONST,79,EWASH,84,L,-9.5,W,145.0,O
Feb 15 2018,MONST,78,IDAHO,88,L,-10.5,W,142.5,O
Feb 10 2018,PORST,80,MONST,77,L,+2.5,L,160.5,U
Feb 8 2018,SACRA,76,MONST,92,W,-4.5,W,138.5,O
Feb 3 2018,MONST,63,NCOLO,86,L,-9.5,L,149.5,U
Feb 1 2018,MONST,74,NDAKOT,75,L,-4.0,W,153.5,U
Mar 6 2018,MONST,74,NDAKOT,76,L,0.0,L,153.5,U
Mar 3 2018,WEBER,95,MONST,92,L,+3.5,W,151.0,O
Mar 1 2018,ID.ST,101,MONST,78,L,-5.0,L,150.0,O
