Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,IDAHO,85,MONTA,77,L,-7.0,L,138.5,O
2017,EWASH,72,MONTA,60,L,-4.0,L,144.0,U
2017,MONTA,83,SACRA,92,L,+6.0,L,143.0,O
2017,MONTA,79,PORST,88,L,+2.0,L,153.0,O
2017,NDAKOT,70,MONTA,76,W,-6.5,L,148.0,U
2017,NCOLO,68,MONTA,89,W,-10.0,W,144.0,O
2017,MONTA,65,EWASH,59,W,-2.5,W,145.5,U
2017,MONTA,70,IDAHO,57,W,+1.5,W,136.0,U
2016,MONTA,80,MONST,72,W,+4.5,W,140.5,O
2016,EWASH,69,MONTA,74,W,-5.0,P,147.0,U
2016,IDAHO,63,MONTA,58,L,-9.0,L,131.0,U
2016,MONTA,65,NDAKOT,61,W,+4.0,P,137.0,U
2016,MONTA,73,NCOLO,66,W,+7.5,L,149.0,U
2016,SACRA,58,MONTA,77,W,-8.5,W,138.5,U
2016,PORST,66,MONTA,79,W,-8.0,W,140.5,O
2016,MONTA,83,SUTAH,66,W,+4.0,W,138.0,O
2015,MONTA,69,SACRA,70,L,-3.0,W,138.0,O
2015,MONTA,73,PORST,54,W,-1.0,W,141.0,U
2015,SUTAH,56,MONTA,58,W,-12.5,L,141.0,U
2015,NARIZ,57,MONTA,64,W,-7.0,P,132.5,U
2015,MONST,48,MONTA,63,W,-11.0,W,131.5,U
2015,MONTK,44,MONTA,86,W,0.0,,0.0,
2015,MONTA,90,ID.ST,64,W,+3.5,W,120.0,O
2017,MONTA,67,SDKOTA,72,L,-1.5,L,145.0,U
2017,MONTA,81,MISS,86,L,-12.5,W,147.0,O
2017,ORALR,47,MONTA,68,W,-4.5,W,146.0,U
2017,MONTA,63,WASST,87,L,+2.5,L,154.5,U
2017,MONTA,72,NCST,85,L,-8.5,L,151.0,O
2017,WYOM,73,MONTA,72,L,-6.0,L,145.5,U
2017,MONTA,61,USC,75,L,-11.5,L,154.0,U
2016,MONTA,63,PEPPR,69,L,-9.0,W,133.5,U
2016,MONTA,53,ND.ST,73,L,-6.5,L,137.5,U
2016,CARRMT,61,MONTA,70,W,0.0,,0.0,
2016,MONTA,61,SJ.ST,64,L,+11.0,L,132.0,U
2016,BOISE,72,MONTA,74,W,+5.0,W,134.5,O
2015,MONTA,57,SF,76,L,-9.5,L,0.0,
2015,CAROL,52,MONTA,75,W,0.0,,0.0,
2015,MONTA,66,SEATT,62,W,0.0,,0.0,
2015,MONTA,67,BOISE,72,L,-17.0,W,0.0,
2015,MONTA,66,COLST,83,L,-17.0,P,0.0,
2014,MONTA,61,HAWAI,72,L,-7.5,L,0.0,
2014,MONTA,79,WASH,83,L,-7.5,W,153.0,O
2014,SF,75,MONTA,74,L,-3.5,L,151.5,U
2014,MONTA,77,SD.ST,69,W,-6.0,W,0.0,
2014,MONTA,58,MINN,84,L,-13.5,L,148.0,U
2013,MONTA,68,SF,78,L,-9.0,L,0.0,
2017,WEBER,84,MONTA,81,L,-2.5,L,137.5,O
2017,ID.ST,62,MONTA,74,W,-11.0,W,140.0,U
2017,PEPPR,70,MONTA,71,W,-9.5,L,147.0,U
2017,MONTA,71,UCRIV,63,W,+4.5,W,138.0,U
2017,MONTA,67,OREG,81,L,-18.5,W,141.0,O
2017,MONTA,83,WYOM,85,L,-4.5,W,146.0,O
2017,SJ.ST,62,MONTA,81,W,-5.5,W,137.0,O
2017,WISML,69,MONTA,75,W,-8.0,L,130.0,O
2016,MONTA,90,NARIZ,84,W,+6.5,L,138.0,O
2016,WMONT,43,MONTA,75,W,0.0,,0.0,
2016,MONTA,46,KANSA,88,L,-24.5,L,146.0,U
2016,GFALL,59,MONTA,79,W,0.0,,0.0,
2016,MONTA,62,WASH,92,L,-9.0,L,145.5,O
2016,MONTA,58,GONZG,61,L,-18.0,W,136.0,U
2016,SF,50,MONTA,82,W,-7.0,W,134.0,U
2015,SDKOTA,67,MONTA,62,L,-5.0,L,0.0,
2015,MONTA,58,WISML,73,L,-3.0,L,0.0,
2015,DAVID,110,MONTA,99,L,-1.0,L,0.0,
2015,ND.ST,57,MONTA,69,W,-6.0,W,0.0,
2015,MONTA,76,CAL,78,L,-12.5,W,130.0,O
2014,MONTA,72,IDAHO,71,W,0.0,,0.0,
2014,WMONT,74,MONTA,91,W,0.0,,0.0,
2014,STMART,57,MONTA,73,W,0.0,,0.0,
2017,MONTA,69,MONST,78,L,+1.5,L,152.0,U
2017,PORST,82,MONTA,85,W,-7.0,L,157.0,O
2017,SACRA,67,MONTA,65,L,-10.5,L,147.0,U
2017,MONTA,76,NARIZ,59,W,+7.0,W,144.0,U
2017,MONTA,70,SUTAH,55,W,+10.5,W,158.0,U
2017,MONST,84,MONTA,90,W,-6.0,P,151.5,O
2016,MONTA,54,WEBER,60,L,-3.5,L,136.5,U
2016,MONTA,90,ID.ST,77,W,+5.0,W,143.0,O
2016,MONST,78,MONTA,87,W,-9.5,L,144.5,O
2016,NARIZ,67,MONTA,85,W,-16.5,W,143.5,O
2016,SUTAH,53,MONTA,86,W,-18.5,W,139.0,P
2016,MONTA,82,PORST,80,W,+1.5,W,141.5,O
2016,MONTA,79,SACRA,83,L,+3.5,L,137.0,O
2015,MONTA,77,EWASH,76,W,-6.5,W,144.0,O
2015,MONTA,87,IDAHO,92,L,+1.0,L,141.5,O
2015,WEBER,63,MONTA,74,W,-8.5,W,127.5,O
2015,ID.ST,77,MONTA,88,W,-11.0,P,127.5,O
2015,MONTA,83,NCOLO,81,W,-2.5,W,139.0,O
2015,MONTA,65,NDAKOT,61,W,+4.0,P,135.0,U
2015,IDAHO,56,MONTA,70,W,-7.0,W,145.5,U
2015,EWASH,75,MONTA,69,L,-3.0,L,151.5,U
2014,ID.ST,61,MONTA,62,W,-7.0,L,135.0,U
2014,WEBER,57,MONTA,68,W,-1.0,W,134.5,U
2017,MONTA,77,IDAHO,81,L,+4.0,L,137.0,O
2017,MONTA,95,ID.ST,76,W,+7.0,W,148.0,O
2017,MONTA,78,WEBER,74,W,-4.0,W,146.0,O
2016,MONTA,75,NEV,79,L,-3.0,L,139.0,O
2016,MONTA,59,WEBER,62,L,-1.5,L,132.5,U
2016,IDAHO,72,MONTA,81,W,-3.5,W,126.5,O
2016,SACRA,53,MONTA,70,W,-8.5,W,138.0,U
2016,NCOLO,78,MONTA,72,L,-14.0,L,148.0,O
2016,NDAKOT,46,MONTA,71,W,-7.5,W,142.5,U
2015,MONTA,64,TEXAM,81,L,-10.0,L,134.5,O
2015,EWASH,69,MONTA,65,L,+2.0,L,147.5,U
2015,NARIZ,59,MONTA,61,W,-6.0,L,129.0,U
2015,WEBER,73,MONTA,76,W,-7.5,L,125.0,O
2015,MONTA,70,MONST,54,W,+6.0,W,135.0,U
2014,PORST,70,MONTA,63,L,-3.5,L,134.5,U
2014,MONTA,47,NARIZ,67,L,-1.5,L,127.5,U
2014,MONTA,70,SACRA,55,W,+1.0,W,130.5,U
2014,MONST,50,MONTA,53,W,-9.0,L,135.0,U
2014,SUTAH,54,MONTA,82,W,-15.5,W,129.5,O
2013,MONTA,34,SYRA,81,L,-13.0,L,126.0,U
2013,WEBER,64,MONTA,67,W,-1.5,W,130.5,O
2013,NCOLO,56,MONTA,70,W,-8.0,W,135.0,U
2013,NARIZ,50,MONTA,63,W,-12.5,W,138.5,U
2013,SACRA,52,MONTA,63,W,-10.5,W,127.5,U
2013,MONTA,86,SUTAH,74,W,+3.5,W,136.5,O
