Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,SACRD,53,MTSTM,67,W,0.0,,0.0,
2017,ROBMO,47,MTSTM,48,W,-6.5,L,130.5,U
2017,MTSTM,55,STFNY,47,W,0.0,,0.0,
2017,MTSTM,86,SACRD,75,W,0.0,,0.0,
2017,STFPA,72,MTSTM,78,W,0.0,,0.0,
2017,FDU,70,MTSTM,77,W,0.0,,0.0,
2017,MTSTM,77,CCONN,68,W,0.0,,0.0,
2017,MTSTM,71,BRYANT,72,L,0.0,,0.0,
2016,WAGNR,73,MTSTM,63,L,0.0,,0.0,
2016,ROBMO,49,MTSTM,70,W,-7.5,W,133.5,U
2016,MTSTM,87,FDU,72,W,0.0,,0.0,
2016,MTSTM,71,SACRD,76,L,+5.5,L,145.0,O
2016,MTSTM,82,STFPA,72,W,0.0,,0.0,
2016,MTSTM,76,ROBMO,52,W,0.0,,0.0,
2016,BRYANT,82,MTSTM,79,L,0.0,,0.0,
2016,CCONN,62,MTSTM,73,W,0.0,,0.0,
2016,STFNY,40,MTSTM,44,W,0.0,,0.0,
2016,LIU,63,MTSTM,79,W,0.0,,0.0,
2015,MTSTM,77,SACRD,71,W,0.0,,0.0,
2015,MTSTM,67,STFNY,73,L,0.0,,0.0,
2015,STFPA,40,MTSTM,52,W,0.0,,0.0,
2015,ROBMO,63,MTSTM,59,L,0.0,,0.0,
2017,MTSTM,76,ARK,89,L,0.0,,0.0,
2017,MTSTM,47,MICH,64,L,0.0,,0.0,
2017,MTSTM,71,TEXAR,80,L,0.0,,0.0,
2017,MTSTM,63,S.ILL,73,L,0.0,,0.0,
2017,MTSTM,78,GMASN,76,W,0.0,,0.0,
2017,MTSTM,56,MINN,80,L,0.0,,0.0,
2017,MTSTM,55,IOWAS,73,L,0.0,,0.0,
2017,MTSTM,59,W.VA,87,L,0.0,,0.0,
2016,MTSTM,60,FURMN,69,L,0.0,,0.0,
2016,MTSTM,74,ELON,79,L,0.0,,0.0,
2016,MTSTM,56,GONZG,101,L,0.0,,0.0,
2016,MTSTM,67,WASH,100,L,0.0,,0.0,
2016,MTSTM,54,OHIOS,76,L,-13.0,L,137.5,U
2016,MTSTM,56,MARYL,80,L,-21.5,L,140.0,U
2015,MTSTM,49,WAKE,83,L,0.0,,0.0,
2015,MTSTM,73,BUCKN,69,W,0.0,,0.0,
2015,MD-ES,53,MTSTM,41,L,0.0,,0.0,
2015,MTSTM,55,ARIZ,78,L,-28.5,W,144.0,U
2014,MTSTM,65,MICHS,98,L,-26.0,L,148.5,O
2014,BUCKN,64,MTSTM,69,W,0.0,,0.0,
2014,AMERN,64,MTSTM,68,W,0.0,,0.0,
2014,MTSTM,71,MD-ES,78,L,0.0,,0.0,
2014,MTSTM,84,UMBC,90,L,0.0,,0.0,
2017,WAGNR,56,MTSTM,57,W,0.0,,0.0,
2017,MTSTM,67,LIU,65,W,-1.0,W,139.5,U
2017,COPIN,49,MTSTM,87,W,0.0,,0.0,
2017,MTSTM,65,BUCKN,81,L,0.0,,0.0,
2017,LEHIH,90,MTSTM,71,L,0.0,,0.0,
2017,UMBC,78,MTSTM,70,L,0.0,,0.0,
2017,MTSTM,57,LOYMD,64,L,0.0,,0.0,
2016,MTSTM,53,BINGH,62,L,0.0,,0.0,
2016,MTSTM,53,JMU,73,L,0.0,,0.0,
2016,MTSTM,73,LEHIH,76,L,0.0,,0.0,
2016,MTSTM,63,UMBC,75,L,0.0,,0.0,
2016,BUCKN,73,MTSTM,81,W,0.0,,0.0,
2016,LOYOL,68,MTSTM,85,W,0.0,,0.0,
2016,AMERN,56,MTSTM,81,W,0.0,,0.0,
2015,MTSTM,35,OLDDO,69,L,0.0,,0.0,
2015,BINGH,68,MTSTM,69,W,0.0,,0.0,
2015,MTSTM,45,AMERN,46,L,0.0,,0.0,
2015,NORFK,64,MTSTM,67,W,0.0,,0.0,
2015,MTSTM,67,ND,93,L,0.0,,0.0,
2015,MTSTM,74,LOYOL,65,W,0.0,,0.0,
2015,MTSTM,55,SETON,78,L,0.0,,0.0,
2014,MTSTM,69,TEXTK,100,L,0.0,,0.0,
2017,STFNY,62,MTSTM,77,W,0.0,,0.0,
2017,LIU,62,MTSTM,58,L,-5.5,L,136.5,U
2017,MTSTM,79,FDU,74,W,0.0,,0.0,
2017,MTSTM,65,WAGNR,69,L,0.0,,0.0,
2017,MTSTM,81,STFPA,62,W,0.0,,0.0,
2017,MTSTM,74,ROBMO,70,W,0.0,,0.0,
2017,CCONN,54,MTSTM,52,L,0.0,,0.0,
2017,BRYANT,70,MTSTM,77,W,-6.5,W,139.5,O
2016,MTSTM,49,STFNY,55,L,0.0,,0.0,
2016,FDU,67,MTSTM,54,L,0.0,,0.0,
2016,MTSTM,71,BRYANT,53,W,0.0,,0.0,
2016,MTSTM,72,CCONN,76,L,0.0,,0.0,
2016,STFPA,61,MTSTM,66,W,0.0,,0.0,
2016,SACRD,61,MTSTM,66,W,0.0,,0.0,
2016,MTSTM,51,WAGNR,72,L,0.0,,0.0,
2016,MTSTM,74,LIU,77,L,0.0,,0.0,
2015,WAGNR,64,MTSTM,74,W,0.0,,0.0,
2015,MTSTM,60,STFPA,63,L,0.0,,0.0,
2015,FDU,64,MTSTM,75,W,0.0,,0.0,
2015,LIU,65,MTSTM,82,W,0.0,,0.0,
2015,BRYANT,68,MTSTM,75,W,0.0,,0.0,
2017,MTSTM,56,VILLA,76,L,-25.0,W,131.5,O
2017,NEWOR,66,MTSTM,67,W,+1.0,W,132.0,O
2017,STFPA,61,MTSTM,71,W,-5.0,W,138.5,U
2017,ROBMO,66,MTSTM,75,W,-5.0,W,131.5,O
2017,SACRD,73,MTSTM,76,W,-8.5,L,141.5,O
2016,MTSTM,75,FDU,80,L,-1.5,L,145.0,O
2016,MTSTM,60,STFNY,51,W,-4.0,W,126.0,U
2015,STFPA,73,MTSTM,58,L,-6.0,L,120.5,O
2014,MTSTM,64,ALBNY,71,L,-2.0,L,141.0,U
2014,MTSTM,88,ROBMO,71,W,-7.0,W,143.0,O
2014,MTSTM,77,WAGNR,72,W,-8.0,W,144.0,O
2014,STFNY,71,MTSTM,72,W,-3.5,L,143.5,U
2014,STFPA,55,MTSTM,78,W,0.0,,0.0,
2013,MTSTM,70,LIU,91,L,-3.5,L,157.0,O
2013,MTSTM,69,ROBMO,60,W,-8.5,W,139.5,U
2013,MTSTM,75,BRYANT,69,W,-3.5,W,146.5,U
2013,MTSTM,103,FDU,82,W,0.0,,0.0,
2011,MTSTM,59,QUINN,78,L,-10.0,L,127.5,O
2010,MTSTM,62,ROBMO,80,L,-2.0,L,126.5,O
2010,STFPA,50,MTSTM,65,W,-15.0,P,127.5,U
2009,MTSTM,58,JMU,69,L,-3.5,L,132.5,U
2009,MTSTM,46,ROBMO,48,L,-4.0,W,131.5,U
2009,SACRD,63,MTSTM,68,W,0.0,,0.0,
2009,WAGNR,62,MTSTM,72,W,0.0,,0.0,
2008,MTSTM,74,UNC,113,L,-25.5,L,151.5,O
2008,COPIN,60,MTSTM,69,W,-7.0,W,124.5,O
2008,MTSTM,68,SACRD,55,W,-3.0,W,141.0,U
2008,MTSTM,83,ROBMO,65,W,0.0,,0.0,
2008,QUINN,70,MTSTM,80,W,0.0,,0.0,
2008,MONMO,67,MTSTM,81,W,0.0,,0.0,
