Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,NEWOR,61,SFA,71,L,0.0,,0.0,
2017,MCNEE,56,NEWOR,75,W,0.0,,0.0,
2017,NEWOR,81,C.ARK,63,W,0.0,,0.0,
2017,HOUBPT,64,NEWOR,72,W,0.0,,0.0,
2017,SAMHO,70,NEWOR,68,L,0.0,,0.0,
2017,NEWOR,87,INCAR,72,W,0.0,,0.0,
2017,NEWOR,66,LAMAR,62,W,0.0,,0.0,
2016,MCNEE,64,NEWOR,76,W,0.0,,0.0,
2016,C.ARK,83,NEWOR,94,W,0.0,,0.0,
2016,NEWOR,76,TEXCC,97,L,0.0,,0.0,
2016,SFA,82,NEWOR,58,L,0.0,,0.0,
2016,HOUBPT,73,NEWOR,69,L,0.0,,0.0,
2016,INCAR,71,NEWOR,68,L,0.0,,0.0,
2016,NEWOR,70,SAMHO,73,L,0.0,,0.0,
2016,NEWOR,68,LAMAR,64,W,0.0,,0.0,
2015,NEWOR,61,MCNEE,68,L,0.0,,0.0,
2015,C.ARK,67,NEWOR,87,W,0.0,,0.0,
2015,TEXCC,71,NEWOR,67,L,0.0,,0.0,
2015,NEWOR,54,SFA,79,L,0.0,,0.0,
2015,NEWOR,73,HOUBPT,74,L,0.0,,0.0,
2015,NEWOR,66,INCAR,97,L,0.0,,0.0,
2017,TULAN,59,NEWOR,74,W,0.0,,0.0,
2017,FLACOL,63,NEWOR,90,W,0.0,,0.0,
2017,NEWOR,54,USC,88,L,0.0,,0.0,
2017,NEWOR,68,TULSA,77,L,0.0,,0.0,
2017,NEWOR,72,OKST,117,L,0.0,,0.0,
2017,LAGRNG,67,NEWOR,103,W,0.0,,0.0,
2016,NEWOR,63,NWEST,90,L,0.0,,0.0,
2016,NEWOR,64,BRAD,51,W,0.0,,0.0,
2016,PENSAC,57,NEWOR,94,W,0.0,,0.0,
2016,NEWOR,75,DUQU,95,L,0.0,,0.0,
2016,NEWOR,61,BOWLG,79,L,0.0,,0.0,
