Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,ORALR,71,ND.ST,81,W,-7.0,W,147.0,O
2017,ND.ST,89,W.ILL,57,W,+3.0,W,140.0,O
2017,IPFW,83,ND.ST,89,W,-1.5,W,151.0,O
2017,ND.ST,55,DENVR,79,L,+2.0,L,138.5,U
2017,ND.ST,70,SDKOTA,69,W,+2.0,L,136.5,O
2017,IUPUI,89,ND.ST,93,W,-5.5,L,143.0,O
2016,ND.ST,72,IUPUI,73,L,0.0,L,136.0,O
2016,ND.ST,65,W.ILL,52,W,+1.5,W,134.0,U
2016,ND.ST,74,IU-FW,79,L,-1.5,L,143.5,O
2016,SD.ST,57,ND.ST,68,W,+2.0,W,140.0,U
2016,SDKOTA,65,ND.ST,66,W,-7.0,L,145.5,U
2016,ND.ST,65,ORALR,66,L,-2.5,W,147.5,U
2016,NEBOM,91,ND.ST,82,L,-6.0,L,150.5,O
2016,DENVR,49,ND.ST,75,W,-8.0,W,123.0,O
2015,DENVR,54,ND.ST,61,W,-6.0,W,118.5,U
2015,ND.ST,71,IU-FW,77,L,+1.5,L,130.0,O
2015,ND.ST,69,IUPUI,61,W,+2.5,W,121.5,O
2015,W.ILL,48,ND.ST,61,W,-12.5,W,127.0,U
2015,ND.ST,67,SDKOTA,71,L,-1.0,L,131.5,O
2015,ND.ST,75,NEBOM,72,W,-3.0,W,142.5,O
2015,SD.ST,69,ND.ST,72,W,-4.0,L,128.5,O
2015,ORALR,66,ND.ST,72,W,-4.5,W,121.5,O
2017,ND.ST,55,XAVIR,85,L,-17.0,L,134.0,O
2017,ND.ST,50,MIZST,64,L,-5.0,L,135.0,U
2017,WALDF,52,ND.ST,83,W,0.0,,0.0,
2017,ND.ST,70,HIGHP,44,W,-1.5,W,138.5,U
2017,ND.ST,54,NCGRE,65,L,+3.5,L,139.0,U
2017,NAVY,59,ND.ST,66,W,0.0,,0.0,
2017,MINNMR,62,ND.ST,92,W,0.0,,0.0,
2017,ARKST,66,ND.ST,76,W,-12.0,L,141.0,O
2016,NCA&T,56,ND.ST,77,W,0.0,,0.0,
2016,MONTA,53,ND.ST,73,W,-6.5,W,137.5,U
2016,VALST,49,ND.ST,69,W,0.0,,0.0,
2016,ND.ST,74,ILL,80,L,-5.5,L,137.0,O
2016,ND.ST,79,UCDAV,71,W,+3.0,W,132.5,O
2015,ND.ST,72,MONST,51,W,+5.0,W,0.0,
2015,MNCROO,63,ND.ST,64,W,0.0,,0.0,
2015,HAMPT,66,ND.ST,74,W,0.0,,0.0,
2015,KENNE,55,ND.ST,68,W,0.0,,0.0,
2015,ND.ST,56,IOWA,87,L,-19.5,L,0.0,
2015,ND.ST,50,TEXAS,85,L,-18.5,L,0.0,
2014,ND.ST,87,RIDER,70,W,+8.5,W,147.5,O
2014,ND.ST,91,SACLA,85,W,+3.5,W,152.5,O
2014,ND.ST,77,NDAKOT,95,L,+5.0,L,151.5,O
2014,ND.ST,83,WMICH,74,W,+4.5,W,131.5,O
2017,NEBOM,70,ND.ST,82,W,-7.5,W,150.0,O
2017,ND.ST,80,SD.ST,69,W,0.0,W,135.0,O
2017,ND.ST,55,ARK,71,L,-15.0,L,147.0,U
2017,ND.ST,87,NDAKOT,70,W,-5.0,W,137.5,O
2017,UCDAV,70,ND.ST,74,W,-10.5,L,134.0,O
2017,NDAKOT,74,ND.ST,56,L,-5.5,L,135.0,U
2017,ND.ST,85,NCA&T,67,W,0.0,,0.0,
2016,NLAND,47,ND.ST,105,W,0.0,,0.0,
2016,ND.ST,62,UT.ST,76,L,-6.0,L,134.0,O
2016,TEXPA,50,ND.ST,68,W,-17.0,W,139.0,U
2016,ND.ST,67,ID.ST,62,W,+15.5,L,141.0,U
2016,MONST,64,ND.ST,73,W,-13.0,L,148.5,U
2016,ND.ST,69,NDAKOT,67,W,+7.0,L,137.0,U
2016,ND.ST,62,S.MISS,74,L,+12.0,L,126.0,O
2016,ND.ST,74,ARKST,73,W,+5.0,L,150.0,U
2016,ND.ST,64,IOWAS,84,L,-16.0,L,149.0,U
2015,NLAND,59,ND.ST,83,W,0.0,,0.0,
2015,ND.ST,61,ALCRN,50,W,+17.0,L,0.0,
2015,KENT,53,ND.ST,52,L,+3.0,W,0.0,
2015,AKRON,46,ND.ST,55,W,+1.5,W,0.0,
2015,NDAKOT,42,ND.ST,71,W,-7.5,W,0.0,
2015,ND.ST,57,MONTA,69,L,-6.0,L,0.0,
2015,ND.ST,65,S.MISS,78,L,-3.0,L,0.0,
2017,ND.ST,92,NEBOM,96,L,0.0,L,157.5,O
2017,ND.ST,82,ORALR,80,W,+2.0,P,146.0,O
2017,W.ILL,91,ND.ST,100,W,-11.0,L,136.0,O
2017,ND.ST,61,IPFW,77,L,-4.5,L,156.0,U
2017,DENVR,63,ND.ST,81,W,-5.0,W,143.0,O
2017,SD.ST,65,ND.ST,82,W,-5.5,W,145.5,O
2017,SDKOTA,76,ND.ST,66,L,-6.5,L,140.5,O
2017,ND.ST,81,IUPUI,86,L,+2.0,L,151.0,O
2016,ND.ST,59,DENVR,70,L,0.0,L,121.0,O
2016,ND.ST,59,SD.ST,71,L,-11.5,L,134.5,U
2016,IUPUI,59,ND.ST,63,W,-7.5,L,131.5,U
2016,W.ILL,54,ND.ST,63,W,-7.5,W,129.0,U
2016,ND.ST,69,NEBOM,76,L,-4.0,L,152.5,U
2016,ND.ST,58,SDKOTA,72,L,-1.5,L,140.5,U
2016,IU-FW,46,ND.ST,62,W,-4.0,W,142.0,U
2016,ORALR,63,ND.ST,67,W,-6.0,L,145.5,U
2015,ND.ST,58,ORALR,74,L,-1.5,L,131.5,O
2015,IU-FW,62,ND.ST,66,W,-5.5,L,129.0,U
2015,IUPUI,48,ND.ST,57,W,-9.5,L,119.0,U
2015,ND.ST,58,SD.ST,68,L,-7.0,L,125.5,O
2015,ND.ST,73,DENVR,69,W,-3.5,W,119.0,O
2015,SDKOTA,47,ND.ST,71,W,-9.0,W,130.5,U
2017,IUPUI,76,ND.ST,57,L,-5.0,L,145.5,U
2016,ND.ST,59,SD.ST,67,L,-5.5,L,129.0,U
2016,ND.ST,69,IU-FW,68,W,-3.5,W,135.0,O
2016,ND.ST,60,IUPUI,45,W,+5.0,W,129.5,U
2015,ND.ST,76,GONZG,86,L,-17.0,W,129.5,O
2015,ND.ST,57,SD.ST,56,W,-4.5,W,125.5,U
2015,ORALR,56,ND.ST,60,W,-3.0,W,127.0,U
2015,DENVR,50,ND.ST,61,W,-2.5,W,116.0,U
2014,ND.ST,44,SD.ST,63,L,-4.0,L,125.5,U
2014,ND.ST,80,OKLA,75,W,-3.5,W,151.0,O
2014,IU-FW,57,ND.ST,60,W,-8.0,L,139.0,U
2014,DENVR,48,ND.ST,83,W,-7.0,W,127.5,O
2014,DENVR,68,ND.ST,78,W,-10.5,L,129.5,O
2013,ND.ST,71,WMICH,72,L,+1.0,L,127.0,O
2013,ND.ST,67,SD.ST,73,L,+1.0,L,125.0,O
2013,ND.ST,55,W.ILL,43,W,+6.0,W,102.0,U
2013,UMKC,58,ND.ST,69,W,-16.0,L,114.0,O
2013,ND.ST,84,NEBOM,57,W,+15.5,W,140.0,O
2012,ND.ST,75,WYOM,78,L,-9.5,W,124.5,O
2012,ND.ST,53,W.ILL,58,L,+3.5,L,117.0,U
2011,ND.ST,65,ORALR,72,L,-3.0,L,147.5,U
2010,ND.ST,64,ORALR,65,L,-8.5,W,135.5,U
2009,ND.ST,74,KANSA,84,L,-8.5,L,146.5,O
2009,OAKLN,64,ND.ST,66,W,-4.5,L,150.5,U
2009,SUTAH,67,ND.ST,79,W,0.0,,0.0,
2009,CENTY,77,ND.ST,83,W,0.0,,0.0,
2008,ORALR,55,ND.ST,68,W,0.0,,0.0,
2007,IU-FW,57,ND.ST,73,W,0.0,,0.0,
