Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,N.KENT,58,VALPO,65,L,-10.0,W,143.0,U
2017,N.KENT,79,ILCHI,62,W,-1.5,W,147.5,U
2017,DETRT,87,N.KENT,101,W,-10.0,W,159.5,O
2017,OAKLN,79,N.KENT,70,L,+3.0,L,151.0,U
2017,N.KENT,58,WISML,68,L,+4.0,L,135.0,U
2017,N.KENT,71,WISGB,80,L,-4.0,L,159.0,U
2017,CLEST,75,N.KENT,83,W,-7.5,W,134.5,O
2017,YOUNG,70,N.KENT,83,W,-10.0,W,156.0,U
2016,N.KENT,91,DETRT,83,W,-7.5,W,159.5,O
2016,VALPO,71,N.KENT,46,L,+11.5,L,135.0,U
2016,ILCHI,69,N.KENT,82,W,-12.5,W,135.0,O
2016,N.KENT,90,OAKLN,73,W,-12.5,W,160.5,O
2016,CLEST,70,N.KENT,65,L,-3.5,L,130.0,O
2016,YOUNG,64,N.KENT,84,W,-5.0,W,153.0,U
2016,WRIGH,60,N.KENT,46,L,-1.0,L,136.5,U
2016,N.KENT,67,WISML,76,L,-11.0,W,144.5,U
2016,N.KENT,70,WISGB,86,L,-12.5,L,160.0,U
2015,N.KENT,64,FLAGC,74,L,0.0,,0.0,
2015,N.KENT,75,STETS,85,L,0.0,,0.0,
2015,JAXVL,59,N.KENT,81,W,0.0,,0.0,
2015,N.FLA,74,N.KENT,66,L,0.0,,0.0,
2015,N.KENT,66,USCUP,65,W,0.0,,0.0,
2017,N.KENT,84,MORHD,79,W,-7.0,W,135.5,O
2017,NCCEN,82,N.KENT,74,L,0.0,,0.0,
2017,N.KENT,79,MIAOH,70,W,-1.5,W,144.0,O
2017,N.KENT,74,DELA,53,W,-2.0,W,140.0,U
2017,APEAY,77,N.KENT,69,L,-2.0,L,154.5,U
2017,N.KENT,64,ILL,79,L,-17.5,W,150.0,U
2017,EARLHM,56,N.KENT,96,W,0.0,,0.0,
2016,N.KENT,63,NCA&T,74,L,0.0,,0.0,
2016,N.KENT,66,XAVIR,78,L,-25.0,W,150.5,U
2016,MORHD,64,N.KENT,56,L,+5.5,L,153.0,U
2016,TIFFN,71,N.KENT,83,W,0.0,,0.0,
2016,N.KENT,61,W.VA,107,L,-23.5,L,147.5,O
2015,N.KENT,79,IDAHO,74,W,0.0,,0.0,
2015,N.KENT,60,EWASH,81,L,0.0,,0.0,
2015,OHMW,48,N.KENT,98,W,0.0,,0.0,
2015,NCA&T,55,N.KENT,68,W,0.0,,0.0,
2015,N.KENT,61,NEBRS,80,L,0.0,,0.0,
2015,N.KENT,31,WISCN,62,L,-28.5,L,137.5,U
2014,N.KENT,61,TEXST,70,L,-4.5,L,127.5,O
2014,N.KENT,65,SEMIZ,79,L,-8.5,L,150.5,U
2014,N.KENT,91,TULAN,86,W,0.0,,0.0,
2014,MORHD,74,N.KENT,61,L,0.0,,0.0,
2014,SD,75,N.KENT,44,L,0.0,,0.0,
2017,N.KENT,65,OAKLN,76,L,-9.0,L,150.5,U
2017,N.KENT,81,DETRT,70,W,+6.5,W,154.0,U
2017,N.KENT,61,W.VA,92,L,-26.0,L,150.5,O
2017,BRESC,73,N.KENT,97,W,0.0,,157.5,O
2017,EWASH,48,N.KENT,70,W,-5.0,W,153.0,U
2017,N.KENT,80,SEMIZ,66,W,+3.5,W,151.0,U
2017,E.ILL,70,N.KENT,80,W,-6.5,W,144.5,O
2017,N.KENT,72,NORFK,61,W,0.0,,0.0,
2016,N.KENT,73,TOLDO,90,L,-12.0,L,145.5,O
2016,IUKOKO,44,N.KENT,88,W,0.0,,0.0,
2016,SEMIZ,69,N.KENT,79,W,-10.5,L,139.0,O
2016,N.KENT,62,MICH,77,L,-21.5,W,139.0,P
2016,NORFK,60,N.KENT,81,W,0.0,,0.0,
2016,N.KENT,73,E.ILL,79,L,-2.0,L,139.0,O
2015,N.KENT,74,YOUNG,78,L,0.0,,0.0,
2015,N.KENT,55,NWEST,76,L,-10.0,L,125.5,O
2015,IDAHO,68,N.KENT,81,W,0.0,,0.0,
2015,N.KENT,83,MORHD,60,W,0.0,,0.0,
2015,N.KENT,81,CHATT,93,L,0.0,,0.0,
2015,CINCLR,53,N.KENT,107,W,0.0,,0.0,
2015,W.VA,67,N.KENT,42,L,0.0,,0.0,
2015,TNMAR,71,N.KENT,56,L,0.0,,0.0,
2014,N.KENT,56,FLAGC,60,L,0.0,,0.0,
2017,VALPO,78,N.KENT,82,W,+1.5,W,143.0,O
2017,ILCHI,82,N.KENT,90,W,-8.0,P,151.5,O
2017,WRIGH,76,N.KENT,83,W,-3.0,W,149.0,O
