Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,OHIO,85,WMICH,90,L,+2.0,L,152.0,O
2017,OHIO,96,BOWLG,72,W,+7.0,W,139.0,O
2017,TOLDO,79,OHIO,76,L,-6.0,L,152.0,O
2017,OHIO,78,N.ILL,69,W,-2.5,W,134.5,O
2017,OHIO,68,AKRON,83,L,-6.0,L,143.5,O
2017,EMICH,53,OHIO,49,L,-7.5,L,148.5,U
2017,OHIO,74,BUFF,72,W,+2.0,P,152.0,U
2017,KENT,67,OHIO,85,W,-6.5,W,148.0,O
2017,WMICH,58,OHIO,89,W,-10.5,W,149.0,U
2016,KENT,61,OHIO,72,W,-2.5,W,151.0,U
2016,OHIO,81,TOLDO,79,W,-6.5,W,157.0,O
2016,OHIO,49,CMICH,72,L,-3.0,L,161.5,U
2016,WMICH,64,OHIO,82,W,-6.0,W,153.5,U
2016,OHIO,82,KENT,89,L,-4.5,L,151.5,O
2016,BOWLG,91,OHIO,75,L,-10.0,L,143.0,O
2016,BALL,73,OHIO,79,W,-8.0,L,141.5,O
2016,OHIO,69,N.ILL,80,L,+2.0,L,141.5,O
2015,OHIO,69,CMICH,74,L,-8.5,W,147.5,U
2015,OHIO,40,EMICH,76,L,-4.5,L,127.0,U
2015,BUFF,61,OHIO,63,W,+2.5,W,147.0,U
2015,OHIO,82,BALL,73,W,-2.0,W,136.0,O
2017,OHIO,88,MARSH,98,L,-1.5,L,165.0,O
2017,TNTEC,57,OHIO,68,W,-16.0,L,149.5,U
2017,OHIO,67,GATEC,61,W,+3.5,W,151.5,U
2017,SAMHO,75,OHIO,96,W,0.0,,0.0,
2017,SUTHR,67,OHIO,77,W,0.0,,0.0,
2016,OHIO,81,FLAST,90,L,-11.5,W,160.5,O
2016,OHIO,93,NORFK,71,W,+4.5,W,149.0,O
2016,OHIO,88,TULSA,90,L,-11.5,W,145.0,O
2016,TN.ST,67,OHIO,75,W,-6.0,W,142.0,P
2016,FLAGC,75,OHIO,85,W,0.0,,0.0,
2015,BELMT,83,OHIO,81,L,+1.5,L,0.0,
2015,ARKPB,60,OHIO,69,W,0.0,,0.0,
2015,OHIO,62,FLAGC,79,L,0.0,,0.0,
2015,APPST,47,OHIO,73,W,-12.0,W,0.0,
2014,EVANS,59,OHIO,81,W,-7.0,W,0.0,
2014,MERCR,67,OHIO,76,W,0.0,,0.0,
2014,HEIDL,57,OHIO,85,W,0.0,,0.0,
2014,OHIO,65,MORGN,62,W,0.0,,0.0,
2014,VALPO,72,OHIO,76,W,0.0,,0.0,
2014,OHIO,69,OHIOS,79,L,-18.5,W,147.5,O
2014,NIOWA,64,OHIO,75,W,+1.0,W,0.0,
2013,STBON,64,OHIO,69,W,-13.0,L,0.0,
2013,RICHM,48,OHIO,73,W,-7.5,W,0.0,
2013,OHIO,75,HAMPT,67,W,0.0,,0.0,
2017,URBANA,50,OHIO,77,W,0.0,,0.0,
2017,OHIO,66,W.KEN,67,L,+7.0,L,144.5,U
2017,CLEST,53,OHIO,71,W,-11.0,W,146.5,U
2017,WISML,69,OHIO,71,W,-16.5,L,140.5,U
2017,OHIO,75,IONA,79,L,+1.5,L,154.0,P
2017,BRYANT,53,OHIO,79,W,0.0,,0.0,
2016,UCRIV,59,OHIO,81,W,-8.5,W,145.0,U
2016,ARKPB,58,OHIO,65,W,0.0,,0.0,
2016,JACKS,67,OHIO,72,W,0.0,,0.0,
2016,OHDMCN,69,OHIO,93,W,0.0,,0.0,
2016,OHIO,76,CLEST,67,W,+2.5,W,139.5,O
2016,OHIO,68,STBON,81,L,-5.0,L,154.5,U
2016,MARSH,70,OHIO,85,W,-11.0,W,165.0,U
2015,NCWIL,53,OHIO,72,W,-7.5,W,142.5,U
2015,OHIO,58,NEBRS,71,L,-5.5,L,128.5,O
2015,OHIO,99,DPAUL,78,W,-1.5,W,148.5,O
2015,GWASH,77,OHIO,49,L,+7.5,L,133.5,U
2015,OHIO,69,EVANS,81,L,-8.0,L,0.0,
2015,ALCRN,55,OHIO,66,W,0.0,,0.0,
2015,STBON,80,OHIO,70,L,-2.0,L,0.0,
2014,LONGW,43,OHIO,78,W,0.0,,0.0,
2014,OHIO,70,RICHM,69,W,-7.0,W,131.5,O
2014,UMASS,83,OHIO,71,L,+2.0,L,149.0,O
