Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,TCU,79,OKST,66,L,+1.0,L,154.5,U
2018,OKST,65,ARK,66,L,-7.0,W,156.5,U
2018,OKST,70,TEXTK,75,L,-9.5,W,141.5,O
2018,OKLA,81,OKST,83,W,+2.0,W,167.0,U
2018,OKST,60,BAYLR,76,L,-4.5,L,145.0,U
2018,TEXAS,64,OKST,65,W,-2.0,L,140.5,U
2018,OKST,82,KANST,86,L,-3.0,L,144.0,O
2018,IOWAS,87,OKST,96,W,-7.5,W,152.0,O
2018,OKST,89,OKLA,109,L,-9.5,L,164.5,O
2018,APEAY,63,OKST,79,W,-23.0,L,150.5,U
2018,HOUBPT,74,OKST,101,W,0.0,,0.0,
2018,OKST,73,PITT,67,W,+12.0,L,142.0,U
2018,TEXAM,72,OKST,55,L,+5.0,L,139.5,U
2018,ORALR,48,OKST,91,W,-19.0,W,151.5,U
2018,CHARL,65,OKST,83,W,-14.5,W,160.0,U
2018,PEPPR,47,OKST,78,W,-15.5,W,153.5,U
2018,W.VA,85,OKST,79,L,+3.0,L,153.5,O
2018,UTRGV,83,OKST,102,W,0.0,,0.0,
2018,TULSA,59,OKST,71,W,-12.5,L,149.0,U
2018,OKST,71,FLAST,70,W,-6.0,W,151.0,U
2018,WICHI,78,OKST,66,L,+5.5,L,146.5,U
2018,MSVAL,62,OKST,83,W,0.0,,0.0,
2018,OKST,80,IOWAS,71,W,+2.0,W,152.5,U
2018,OKST,64,TEXAS,65,L,-5.0,W,139.0,U
2018,TEXTK,71,OKST,79,W,+4.0,W,142.0,O
2018,OKST,70,TCU,90,L,-7.0,L,153.5,O
2018,KANST,82,OKST,72,L,-3.5,L,143.5,O
2018,OKST,88,W.VA,85,W,-12.5,W,150.0,O
2018,BAYLR,67,OKST,56,L,-2.0,L,144.0,U
2018,OKST,84,KANSA,79,W,-11.5,W,150.5,O
2018,OKST,68,KANSA,82,L,-6.0,L,150.0,P
2018,OKLA,60,OKST,71,W,+1.5,W,159.5,U
2018,KANSA,64,OKST,82,W,+3.0,W,152.5,U
