Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,PENN,77,LASAL,74,W,-8.0,W,144.0,O
2017,STJOE,78,PENN,71,L,+2.5,L,133.0,O
2017,BROWN,82,PENN,70,L,-9.5,L,144.5,O
2017,YALE,68,PENN,60,L,+1.0,L,137.0,U
2017,PENN,52,PRNCE,61,L,-8.5,L,135.0,U
2016,PENN,83,BROWN,89,L,-1.5,L,148.0,O
2016,PENN,58,YALE,81,L,-13.5,L,132.0,O
2016,STJOE,75,PENN,60,L,+11.0,L,142.5,U
2016,PRNCE,73,PENN,71,L,+7.0,W,140.5,O
2016,BINGH,45,PENN,80,W,0.0,,0.0,
2015,HARVD,63,PENN,38,L,+8.0,L,122.0,U
2015,DART,51,PENN,58,W,+1.5,W,125.5,U
2015,STJOE,52,PENN,56,W,+4.5,W,126.5,U
2015,MONMO,71,PENN,56,L,+1.0,L,128.5,U
2015,VILLA,62,PENN,47,L,+19.5,W,139.0,U
2015,PENN,67,NIAGR,56,W,-2.0,W,136.5,U
2015,PENN,74,PRNCE,78,L,-8.5,W,128.0,O
2014,PENN,58,DART,67,L,-2.0,L,135.5,U
2014,NJIT,74,PENN,89,W,0.0,,0.0,
2014,STJOE,85,PENN,68,L,+7.0,L,146.5,O
2014,PRNCE,74,PENN,77,W,+8.5,W,141.5,O
2014,LASAL,76,PENN,57,L,+6.5,L,142.5,U
2014,PENN,77,GMASN,80,L,-8.0,W,136.0,O
2013,PENN,69,TEMPL,76,L,-17.0,W,134.5,O
2013,STJOE,79,PENN,59,L,+11.5,L,131.0,O
2017,VILLA,82,PENN,57,L,+13.5,L,135.5,O
2017,PENN,68,NAVY,70,L,0.0,,0.0,
2017,PENN,87,CCONN,65,W,0.0,,0.0,
2017,PENN,62,MIAMI,74,L,-20.0,W,138.0,U
2017,PENN,67,ROBMO,50,W,0.0,,0.0,
2016,PENN,86,LAFAY,92,L,0.0,,0.0,
2016,LASAL,64,PENN,80,W,+4.5,W,143.5,O
2016,PENN,67,WASH,104,L,-15.0,L,155.5,O
2016,PENN,60,DELST,54,W,0.0,,0.0,
2016,CCONN,61,PENN,77,W,0.0,,0.0,
2016,ROBMO,75,PENN,76,W,0.0,,0.0,
2015,PENN,61,WAGNR,64,L,0.0,,0.0,
2015,PENN,67,TEMPL,76,L,-12.5,W,0.0,
2015,LAFAY,83,PENN,77,L,0.0,,0.0,
2015,RIDER,73,PENN,57,L,+3.0,L,0.0,
2015,DELST,77,PENN,75,L,0.0,,0.0,
2014,PENN,76,LAFAY,79,L,0.0,,0.0,
2014,NIAGR,66,PENN,85,W,-6.0,W,0.0,
2014,PENN,55,IOWA,86,L,-25.0,L,157.0,U
2014,PENST,83,PENN,71,L,+3.0,L,151.5,O
2014,PENN,79,MONMO,73,W,+5.5,W,162.5,U
2017,FAIRF,68,PENN,74,W,-7.0,L,146.5,U
2017,DREXL,67,PENN,75,W,-6.5,W,145.5,U
2017,PENN,58,UCF,49,W,-9.0,W,130.0,U
2017,GMASN,79,PENN,60,L,-3.5,L,139.5,U
2017,LAFAY,52,PENN,81,W,0.0,,0.0,
2017,PENN,62,TEMPL,70,L,-9.5,W,142.0,U
