Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2017,GWASH,70,RHODEI,82,W,-10.5,W,133.0,O
Jan 28 2017,STBON,59,RHODEI,71,W,-7.0,W,148.5,U
Jan 25 2017,RHODEI,62,RICHM,73,L,+5.5,L,146.0,U
Jan 21 2017,RHODEI,90,DUQU,69,W,+8.5,W,145.5,O
Jan 15 2017,UMASS,77,RHODEI,79,W,-11.5,L,144.0,O
Jan 12 2017,LASAL,87,RHODEI,75,L,-12.5,L,145.5,O
Jan 6 2017,RHODEI,64,DAYTN,67,L,+1.0,L,137.5,U
Jan 3 2017,STJOE,58,RHODEI,88,W,-13.5,W,134.5,O
Jan 30 2016,STJOE,64,RHODEI,55,L,-3.5,L,139.0,U
Jan 27 2016,FORDM,63,RHODEI,79,W,-10.0,W,130.0,O
Jan 22 2016,RHODEI,58,GWASH,62,L,-4.5,W,135.0,U
Jan 16 2016,LASAL,62,RHODEI,73,W,-15.0,L,131.0,O
Jan 13 2016,RHODEI,64,STBON,69,L,-1.5,L,142.5,U
Jan 10 2016,RHODEI,67,STJOE,72,L,-3.0,L,140.5,U
Jan 5 2016,RICHM,65,RHODEI,77,W,-5.0,W,144.0,U
Jan 2 2016,STL,57,RHODEI,85,W,-11.5,W,130.5,O
Jan 31 2015,GWASH,55,RHODEI,59,W,-2.5,W,119.5,U
Jan 28 2015,RHODEI,64,FORDM,63,W,+9.5,L,125.5,O
Jan 25 2015,STBON,48,RHODEI,53,W,-6.0,L,126.5,U
Jan 22 2015,LASAL,47,RHODEI,59,W,-5.0,W,123.5,U
Jan 17 2015,RHODEI,56,UMASS,60,L,-1.0,L,132.0,U
Nov 29 2016,RHODEI,62,VALPO,65,L,+3.0,L,137.0,U
Nov 25 2016,BELMT,73,RHODEI,82,W,-15.0,L,144.5,O
Nov 20 2016,DUKE,75,RHODEI,65,L,+7.0,L,152.5,U
Nov 19 2016,CINCY,71,RHODEI,76,W,+2.0,W,134.5,O
Nov 16 2016,BROWN,72,RHODEI,79,W,-24.5,L,157.5,U
Nov 14 2016,MARST,65,RHODEI,107,W,-22.5,W,146.5,O
Nov 11 2016,DART,61,RHODEI,84,W,-18.5,W,137.5,O
Nov 29 2015,RIDER,57,RHODEI,82,W,-11.5,W,123.0,O
