Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2018,FLAAT,63,RICE,62,L,+1.5,W,137.5,U
Jan 25 2018,FLAIN,64,RICE,73,W,+1.0,W,138.0,U
Jan 20 2018,RICE,54,LATEC,69,L,-11.5,L,143.0,U
Jan 18 2018,RICE,75,S.MISS,86,L,-8.0,L,142.0,O
Jan 13 2018,N.TEX,85,RICE,78,L,+2.5,L,138.0,O
Jan 6 2018,CHARL,64,RICE,73,W,+1.5,W,147.0,U
Jan 4 2018,OLDDO,82,RICE,75,L,+15.5,W,133.5,O
Nov 29 2017,RICE,49,TEXAR,69,L,-17.5,L,157.5,U
Nov 25 2017,STTHOM,59,RICE,70,W,0.0,,0.0,
Nov 22 2017,RICE,62,MISS,79,L,-19.0,W,157.0,U
Nov 20 2017,UNLV,95,RICE,68,L,+16.0,L,154.0,O
Nov 17 2017,RICE,87,NWST,65,W,0.0,,0.0,
Nov 14 2017,GAST,75,RICE,54,L,+9.5,L,149.0,U
Nov 10 2017,EKENT,73,RICE,72,L,+5.0,W,153.0,U
Dec 30 2017,RICE,62,UTEP,80,L,-10.0,L,135.5,O
Dec 28 2017,RICE,66,TEXSA,79,L,-11.5,L,156.5,U
Dec 22 2017,TEXST,74,RICE,66,L,+4.5,L,132.5,O
Dec 19 2017,RICE,69,NEWMX,78,L,-15.0,W,146.5,O
Dec 16 2017,RICE,53,TEXTK,73,L,-27.5,W,142.0,U
Dec 14 2017,ST.ED,86,RICE,91,W,0.0,,0.0,
Dec 9 2017,RICE,62,SFA,81,L,0.0,,0.0,
Dec 2 2017,UTRGV,69,RICE,67,L,0.0,,0.0,
Feb 24 2018,RICE,64,FLAIN,67,L,-7.0,W,141.0,U
Feb 22 2018,RICE,79,FLAAT,76,W,-6.0,W,138.0,O
Feb 17 2018,W.KEN,85,RICE,66,L,+12.5,L,146.5,O
Feb 15 2018,MARSH,93,RICE,80,L,+8.5,L,156.5,O
Feb 10 2018,RICE,56,UAB,61,L,-16.0,W,142.5,U
Feb 8 2018,RICE,75,MIDTN,94,L,-19.5,W,137.0,O
Feb 3 2018,RICE,70,N.TEX,74,L,-9.5,W,138.0,O
Mar 3 2018,TEXSA,79,RICE,60,L,+1.5,L,149.0,U
Mar 1 2018,UTEP,70,RICE,76,W,+1.5,W,138.0,O
