Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,IOWA,83,RUTGR,63,L,-1.0,L,139.5,O
2017,WISCN,61,RUTGR,54,L,+16.0,W,126.0,U
2017,RUTGR,55,MARYL,67,L,-11.5,L,129.5,U
2017,NEBRS,64,RUTGR,65,W,+2.5,W,131.5,U
2017,RUTGR,57,INDY,76,L,-16.0,L,138.0,U
2017,NWEST,69,RUTGR,60,L,+6.5,L,132.0,U
2017,RUTGR,62,IOWA,68,L,-9.5,W,146.0,U
2017,RUTGR,65,MICHS,93,L,-13.0,L,127.5,O
2017,PENST,60,RUTGR,47,L,-2.5,L,138.0,U
2016,RUTGR,62,MICHS,96,L,-28.0,L,143.5,O
2016,RUTGR,57,MICH,68,L,-24.5,W,147.0,U
2016,IOWA,90,RUTGR,76,L,+22.0,W,148.0,O
2016,PURDU,107,RUTGR,57,L,+21.0,L,143.0,O
2016,RUTGR,68,OHIOS,94,L,-19.5,L,138.0,O
2016,NEBRS,90,RUTGR,56,L,+6.5,L,139.0,O
2016,RUTGR,63,MARYL,88,L,-23.5,L,140.5,O
2016,RUTGR,57,WISCN,79,L,-16.5,L,132.0,O
2015,RUTGR,64,INDY,72,L,-11.5,W,144.5,U
2015,MICHS,71,RUTGR,51,L,+8.5,L,130.0,U
2015,RUTGR,51,PENST,79,L,-7.5,L,126.0,O
2015,MICH,54,RUTGR,50,L,-2.5,L,120.5,U
2017,RUTGR,61,MIAMI,73,L,-15.5,W,134.0,P
2017,HARTF,75,RUTGR,77,W,0.0,,0.0,
2017,NIAGR,65,RUTGR,78,W,-12.5,W,140.5,O
2017,RUTGR,66,DPAUL,59,W,-2.0,W,143.5,U
2017,DREXL,66,RUTGR,87,W,-10.5,W,143.5,O
2017,MOLOY,57,RUTGR,86,W,0.0,,0.0,
2016,WAKE,69,RUTGR,68,L,+6.0,W,155.0,U
2016,CLEMS,76,RUTGR,58,L,+12.5,L,136.5,U
2016,CREIG,85,RUTGR,75,L,+11.5,W,152.0,O
2016,C.ARK,84,RUTGR,87,W,0.0,,0.0,
2016,RUTGR,59,STJON,61,L,-6.5,W,141.5,U
2016,HOWRD,70,RUTGR,82,W,0.0,,0.0,
2016,RUNWRK,59,RUTGR,72,W,0.0,,0.0,
2015,VIRGA,45,RUTGR,26,L,+18.0,L,121.0,U
2015,RUTGR,68,VANDY,65,W,-5.0,W,127.0,O
2015,STPET,68,RUTGR,50,L,-9.0,L,118.0,P
2015,STFNY,73,RUTGR,76,W,0.0,,0.0,
2015,FDU,44,RUTGR,61,W,0.0,,0.0,
2015,GWASH,70,RUTGR,53,L,+4.5,L,144.5,U
2014,FDU,73,RUTGR,72,L,-19.0,L,137.0,O
2014,STLMN,89,RUTGR,116,W,-25.5,W,152.5,O
2014,W&M,72,RUTGR,62,L,-8.5,L,147.5,U
2014,DREXL,70,RUTGR,59,L,-1.5,L,136.0,U
2017,RUTGR,52,WISCN,72,L,-18.0,L,127.5,U
2017,RUTGR,61,SETON,72,L,-8.5,L,134.0,U
2017,FORDM,53,RUTGR,68,W,-5.0,W,130.0,U
2017,FDU,69,RUTGR,82,W,0.0,,0.0,
2017,RUTGR,71,STONY,66,W,0.0,,0.0,
2017,CCONN,37,RUTGR,79,W,0.0,,0.0,
2017,MORGN,58,RUTGR,72,W,0.0,,0.0,
2016,INDY,79,RUTGR,72,L,+17.0,W,150.5,O
2016,LOWELL,66,RUTGR,89,W,-6.0,W,147.0,O
2016,FDU,64,RUTGR,72,W,0.0,,0.0,
2016,MONMO,73,RUTGR,67,L,+10.5,W,142.5,U
2016,RUTGR,49,GWASH,83,L,-17.5,L,142.0,U
2016,CCONN,59,RUTGR,75,W,0.0,,0.0,
2016,SETON,84,RUTGR,55,L,+5.5,L,142.0,U
2015,NWEST,51,RUTGR,47,L,-3.0,L,122.0,U
2015,RUTGR,59,MONMO,58,W,-1.5,W,0.0,
2015,SACRD,54,RUTGR,79,W,-8.0,W,140.0,U
2015,STFPA,73,RUTGR,68,L,0.0,,0.0,
2015,RUTGR,63,MANHT,55,W,-2.5,W,0.0,
2015,NH,56,RUTGR,60,W,-9.5,L,126.5,U
2015,RUTGR,54,SETON,81,L,-9.5,L,0.0,
2015,RUTGR,69,CLEMS,64,W,-8.5,W,123.0,O
2017,MARYL,79,RUTGR,59,L,+5.5,L,134.0,O
2017,MICH,68,RUTGR,64,L,+8.5,W,131.0,O
2017,RUTGR,65,NWEST,69,L,-12.0,W,130.5,O
2017,RUTGR,55,PURDU,74,L,-17.5,L,136.5,U
2017,MINN,72,RUTGR,63,L,+6.0,L,132.5,O
2017,RUTGR,64,OHIOS,70,L,-11.0,W,135.0,U
2017,RUTGR,70,PENST,68,W,-8.0,W,134.0,O
2016,RUTGR,59,NWEST,98,L,-18.5,L,135.5,O
2016,RUTGR,61,MINN,83,L,-12.5,L,142.0,O
2016,PENST,70,RUTGR,58,L,+8.5,L,139.0,U
2016,RUTGR,66,ILL,82,L,-15.0,L,143.0,O
2016,OHIOS,79,RUTGR,69,L,+12.5,W,144.5,O
2016,RUTGR,63,NEBRS,87,L,-19.0,L,146.5,O
2016,ILL,110,RUTGR,101,L,+6.5,L,141.5,O
2015,RUTGR,85,PURDU,92,L,-14.0,W,124.5,O
2015,INDY,84,RUTGR,54,L,+6.5,L,138.0,P
2015,RUTGR,47,IOWA,81,L,-14.5,L,128.0,P
2015,PURDU,61,RUTGR,51,L,+6.0,L,125.0,U
2015,OHIOS,79,RUTGR,60,L,+10.0,L,129.5,O
2015,RUTGR,54,ILL,66,L,-11.0,L,125.0,U
2014,RUTGR,65,UCF,67,L,-4.5,W,146.5,U
2014,MEMPH,64,RUTGR,59,L,+8.5,W,152.0,U
2017,RUTGR,61,NWEST,83,L,-8.0,L,123.0,O
2017,RUTGR,66,OHIOS,57,W,-7.5,W,134.5,U
2017,ILL,59,RUTGR,62,W,+5.5,W,130.0,U
2016,RUTGR,72,NEBRS,89,L,-14.5,L,140.5,O
2016,MINN,52,RUTGR,75,W,-2.0,W,141.0,U
2016,MICHS,97,RUTGR,66,L,+24.5,L,149.0,O
2015,RUTGR,68,MINN,80,L,-10.5,L,136.5,O
2015,RUTGR,69,MICH,79,L,-9.5,L,122.5,O
2015,MARYL,60,RUTGR,50,L,+7.0,L,131.0,U
2014,RUTGR,31,LOUIS,92,L,-18.5,L,144.0,U
2014,S.FLA,68,RUTGR,72,W,-1.5,W,136.5,O
2014,CINCY,70,RUTGR,66,L,+7.5,W,132.5,O
2014,RUTGR,63,UCONN,69,L,-15.5,W,138.5,U
2014,S.FLA,73,RUTGR,74,W,-4.0,L,138.5,O
2013,RUTGR,61,ND,69,L,-7.5,L,122.0,O
2013,DPAUL,57,RUTGR,76,W,-3.0,W,141.5,U
2013,RUTGR,56,SETON,51,W,-4.0,W,131.0,U
2013,MARQ,60,RUTGR,54,L,+6.5,W,133.5,U
2013,RUTGR,51,GTOWN,64,L,-13.5,W,121.0,U
2012,VILLA,70,RUTGR,49,L,+2.0,L,137.0,U
2012,STJON,58,RUTGR,61,W,-8.0,L,137.5,U
2012,VILLA,77,RUTGR,71,L,-3.5,L,138.0,O
2011,RUTGR,63,STJON,65,L,-10.0,W,127.0,O
2011,RUTGR,76,SETON,70,W,-4.0,W,128.5,O
2011,RUTGR,74,PROV,75,L,-3.5,W,147.5,O
2011,RUTGR,68,DPAUL,64,W,+4.0,P,137.0,U
2010,RUTGR,68,CINCY,69,L,-8.0,W,132.5,O
2010,RUTGR,54,PITT,83,L,-14.5,L,131.5,O
2004,RUTGR,55,MICH,62,L,-5.0,L,135.0,U
