Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,STL,55,GWASH,63,L,-14.5,W,126.0,U
2017,UMASS,70,STL,74,W,+9.5,W,133.0,O
2017,STL,46,DAYTN,67,L,-23.5,W,130.0,U
2017,STBON,71,STL,52,L,+11.5,L,138.5,U
2017,STL,63,GMASN,56,W,-14.0,W,136.0,U
2017,STL,66,DUQU,73,L,-10.5,W,135.5,O
2017,DAVID,77,STL,66,L,+15.0,W,137.5,O
2017,STL,54,LASAL,75,L,-14.5,L,140.5,U
2016,DUQU,78,STL,67,L,+5.0,L,153.0,U
2016,STL,37,DAYTN,73,L,-16.5,L,143.0,U
2016,STL,86,UMASS,75,W,-8.0,W,153.0,O
2016,DAVID,87,STL,96,W,+9.0,W,154.0,O
2016,GMASN,92,STL,79,L,-2.0,L,132.0,O
2016,STL,71,DUQU,81,L,-9.0,L,140.0,O
2016,VACOM,72,STL,56,L,+9.0,L,135.0,U
2016,GWASH,62,STL,65,W,+9.5,W,135.0,U
2016,STL,57,RHODEI,85,L,-11.5,L,130.5,O
2015,UMASS,60,STL,56,L,+3.0,L,129.0,U
2015,STL,60,GMASN,68,L,-4.0,L,125.0,O
2015,VACOM,63,STL,61,L,+12.5,W,134.5,U
2015,STL,45,DAYTN,61,L,-14.5,L,126.0,U
2017,SAMFD,68,STL,64,L,-2.5,L,140.5,U
2017,STL,57,ALA,62,L,-12.5,W,134.5,U
2017,STL,62,BYU,92,L,-16.0,L,158.5,U
2017,E.ILL,69,STL,74,W,-4.0,W,147.5,U
2017,SUTAH,76,STL,88,W,-9.5,W,153.5,O
2017,BALL,85,STL,64,L,+4.0,L,138.0,O
2016,STL,57,LOUIS,77,L,-15.0,L,137.0,U
2016,N.FLA,57,STL,70,W,0.0,,0.0,
2016,STFNY,60,STL,76,W,0.0,,0.0,
2016,STL,70,SIUED,60,W,+6.5,W,142.0,U
2016,HARTF,68,STL,85,W,0.0,,0.0,
2015,BRAD,57,STL,60,W,-2.0,W,0.0,
2015,STL,50,MISST,75,L,-3.0,L,127.5,U
2015,NCA&T,54,STL,57,W,0.0,,0.0,
2015,TEXCC,62,STL,56,L,0.0,,0.0,
2015,STL,69,INDST,56,W,-3.5,W,0.0,
2015,S.ILL,59,STL,62,W,-6.5,L,0.0,
2014,OLDDO,52,STL,62,W,-15.0,L,134.0,U
2014,STL,57,WISCN,63,L,-3.0,L,138.5,U
2014,BOWLG,47,STL,74,W,-19.5,W,134.0,U
2014,ORALR,55,STL,72,W,0.0,,0.0,
2014,STL,76,S.ILL,67,W,+12.5,L,139.5,O
2014,STL,82,SIUED,58,W,+19.5,W,143.5,U
2014,SEMIZ,64,STL,87,W,-24.5,L,139.0,O
2017,RHODEI,90,STL,56,L,+15.0,L,128.5,O
2017,WINTH,66,STL,55,L,0.0,,0.0,
2017,SIUED,58,STL,72,W,-4.5,W,130.5,U
2017,STL,55,S.ILL,70,L,-11.5,L,127.5,U
2017,CHIST,43,STL,45,W,0.0,,0.0,
2017,STL,45,WICHI,75,L,-26.0,L,135.0,U
2017,KANST,84,STL,53,L,+12.5,L,135.0,O
2016,STL,47,KANST,75,L,-13.0,L,126.5,U
2016,S.ILL,65,STL,52,L,0.0,L,141.5,U
2016,INDST,76,STL,68,L,-3.5,L,134.5,O
2016,TNMAR,82,STL,76,L,-9.5,L,134.5,O
2016,ALA&M,58,STL,75,W,0.0,,0.0,
2016,WICHI,68,STL,53,L,+6.5,L,132.5,U
2016,MORHD,60,STL,46,L,-4.0,L,128.0,U
2015,VANDY,70,STL,55,L,+4.0,L,122.0,O
2015,VERMT,55,STL,58,W,0.0,,0.0,
2015,TEXPA,69,STL,75,W,0.0,,0.0,
2015,SIUED,61,STL,67,W,-9.5,L,0.0,
2015,SD.ST,62,STL,55,L,-4.5,L,0.0,
2015,STL,52,WICHI,81,L,-19.0,L,0.0,
2015,ROCKH,48,STL,80,W,0.0,,0.0,
2014,STL,57,VANDY,49,W,+4.0,W,133.0,U
2017,STJOE,60,STL,61,W,+4.5,W,130.5,U
2017,STL,50,VACOM,64,L,-20.0,W,133.0,U
2017,STL,40,FORDM,54,L,-8.0,L,123.5,U
2017,DAYTN,85,STL,63,L,+15.0,L,128.0,O
2017,DUQU,81,STL,87,W,+1.5,W,134.5,O
2017,STL,55,STBON,70,L,-15.5,W,134.0,U
2017,NCA&T,59,STL,78,W,0.0,,0.0,
2017,GMASN,74,STL,76,W,+7.0,W,131.5,O
2016,STL,63,STJOE,77,L,-17.0,W,138.0,O
2016,DAYTN,52,STL,49,L,+13.0,W,134.5,U
2016,FORDM,68,STL,76,W,+1.0,W,133.0,O
2016,STL,79,GMASN,77,W,-5.5,W,136.5,O
2016,STL,52,VACOM,85,L,-20.5,L,140.0,U
2016,RICHM,67,STL,53,L,+7.0,L,144.0,U
2016,STL,62,STBON,65,L,-13.0,W,149.5,U
2015,GMASN,78,STL,50,L,-2.5,L,124.0,O
2015,STL,66,DUQU,79,L,-4.5,L,137.0,O
2015,LASAL,64,STL,68,W,+5.0,W,124.0,O
2015,STL,54,VACOM,74,L,-16.5,L,133.0,U
2015,STL,68,RHODEI,81,L,-12.5,L,120.5,O
2015,DAYTN,51,STL,44,L,+8.0,W,123.5,U
2015,STL,65,FORDM,83,L,-1.0,L,131.0,O
2015,STJOE,61,STL,68,W,-1.0,W,117.5,O
2017,STL,46,GWASH,53,L,-9.5,W,128.5,U
2017,DUQU,71,STL,72,W,+4.0,W,131.5,O
2017,STL,62,RICHM,72,L,-13.0,W,134.0,P
2017,LASAL,55,STL,70,W,+8.0,W,133.5,U
2016,STL,65,GWASH,73,L,-14.0,W,136.0,O
2016,STL,83,GMASN,78,W,-4.0,W,134.5,O
2016,STBON,76,STL,67,L,+6.5,L,142.5,O
2016,STL,68,LASAL,76,L,-1.5,L,130.5,O
2015,STL,55,DUQU,61,L,-3.5,L,140.0,U
2015,STL,51,RICHM,67,L,-14.5,L,121.5,U
2015,STBON,64,STL,48,L,+3.5,L,125.5,U
2014,STL,51,LOUIS,66,L,-10.0,L,133.0,U
2014,NCST,80,STL,83,W,-3.0,P,131.5,O
2014,STBON,71,STL,68,L,-6.5,L,137.0,O
2014,STL,64,UMASS,62,W,-3.5,W,139.0,U
2014,DAYTN,72,STL,67,L,-7.0,L,131.5,O
2014,STL,56,VACOM,67,L,-4.5,L,134.0,U
2013,OREG,74,STL,57,L,-5.0,L,125.5,O
2013,NMXST,44,STL,64,W,-9.5,W,125.0,U
2013,VACOM,56,STL,62,W,-1.5,W,135.5,U
2013,BUTLR,56,STL,67,W,-4.5,W,126.0,U
2013,CHARL,55,STL,72,W,-12.0,W,127.5,U
2013,LASAL,54,STL,78,W,-8.0,W,132.5,U
2013,STL,66,XAVIR,77,L,+4.0,L,124.0,O
2013,STL,66,GWASH,58,W,+5.5,W,124.0,P
2012,STL,61,MICHS,65,L,-7.0,W,123.5,O
2012,STL,61,MEMPH,54,W,-2.5,W,127.0,U
