Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 29 2018,VMI,79,SAMFD,93,W,-9.0,W,147.0,O
Jan 27 2018,NCGRE,98,SAMFD,82,L,+7.0,L,139.5,O
Jan 24 2018,SAMFD,71,CHATT,78,L,-2.0,L,145.5,O
Jan 20 2018,SAMFD,67,FURMN,78,L,-14.0,W,151.0,U
Jan 18 2018,WOFFD,93,SAMFD,89,L,+4.5,W,150.5,O
Jan 13 2018,SAMFD,50,MERCR,81,L,-9.5,L,149.0,U
Jan 11 2018,SAMFD,107,CITDL,91,W,+3.5,W,176.5,O
Jan 6 2018,W.CAR,71,SAMFD,85,W,-5.0,W,148.5,O
Jan 4 2018,E.TEN,90,SAMFD,72,L,+8.5,L,144.5,O
Nov 26 2017,MSVAL,70,SAMFD,83,W,0.0,,0.0,
Nov 24 2017,SELA,77,SAMFD,71,L,0.0,,0.0,
Nov 21 2017,SAMFD,67,VALPO,88,L,-9.5,L,152.5,O
Nov 19 2017,SAMFD,67,LOYCH,88,L,-6.5,L,151.5,O
Nov 16 2017,SAMFD,86,LSU,105,L,-8.0,L,156.0,O
Nov 13 2017,ALA&M,68,SAMFD,87,W,0.0,,0.0,
Nov 10 2017,SAMFD,56,ARK,95,L,-10.5,L,160.0,U
Dec 30 2017,CHATT,56,SAMFD,73,W,-1.5,W,139.0,U
Dec 21 2017,SAMFD,66,KENNE,71,L,0.0,,0.0,
Dec 18 2017,ASBRY,70,SAMFD,99,W,0.0,,0.0,
Dec 15 2017,THOMAS,51,SAMFD,98,W,0.0,,0.0,
Dec 9 2017,SAMFD,59,CLEMS,81,L,-20.5,L,145.5,U
Dec 5 2017,SAMFD,64,MEMPH,65,L,-9.5,W,143.5,U
Dec 3 2017,SAMFD,58,JAXST,89,L,-8.5,L,145.5,O
Feb 25 2018,SAMFD,75,NCGRE,88,L,-15.5,W,149.0,O
Feb 23 2018,SAMFD,89,VMI,82,W,+1.5,W,152.0,O
Feb 17 2018,FURMN,94,SAMFD,79,L,+8.5,L,160.5,O
Feb 12 2018,MERCR,74,SAMFD,69,L,+4.0,L,154.0,U
Feb 10 2018,CITDL,103,SAMFD,116,W,-4.5,W,181.0,O
Feb 7 2018,SAMFD,79,WOFFD,92,L,-11.0,L,157.5,O
Feb 3 2018,SAMFD,71,W.CAR,88,L,-2.5,L,150.5,O
Feb 1 2018,SAMFD,76,E.TEN,96,L,-17.0,L,151.5,O
Mar 2 2018,CHATT,89,SAMFD,79,L,-2.5,L,152.0,O
