Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,SD.ST,88,NEBOM,84,W,-5.0,W,167.5,O
2017,SD.ST,82,DENVR,91,L,-6.5,L,149.5,O
2017,IPFW,67,SD.ST,77,W,+4.5,W,165.0,U
2017,SD.ST,83,IUPUI,85,L,-7.0,W,159.5,O
2017,SD.ST,88,ORALR,94,L,-4.5,L,151.5,O
2017,NEBOM,101,SD.ST,93,L,-2.5,L,160.5,O
2017,SD.ST,74,W.ILL,82,L,0.0,L,143.0,O
2016,SD.ST,67,DENVR,56,W,+6.0,W,130.5,U
2016,NEBOM,76,SD.ST,87,W,-8.5,W,165.5,U
2016,SD.ST,79,SDKOTA,75,W,+6.0,L,152.0,O
2016,SD.ST,86,ORALR,74,W,+4.0,W,155.5,O
2016,SD.ST,57,ND.ST,68,L,+2.0,L,140.0,U
2016,IU-FW,76,SD.ST,92,W,-8.5,W,149.0,O
2016,SD.ST,67,IUPUI,74,L,+6.5,L,144.5,U
2016,W.ILL,59,SD.ST,63,W,-13.0,L,146.0,U
2016,DENVR,59,SD.ST,68,W,-13.5,L,133.5,U
2015,DENVR,39,SD.ST,69,W,-7.5,W,129.5,U
2015,NEBOM,64,SD.ST,86,W,-10.5,W,162.5,U
2015,SD.ST,76,ORALR,72,W,-2.0,W,140.0,O
2015,IU-FW,53,SD.ST,82,W,-7.5,W,138.5,U
2015,SDKOTA,57,SD.ST,71,W,-8.0,W,142.5,U
2015,IUPUI,53,SD.ST,68,W,-9.5,W,129.0,U
2017,MNCROO,58,SD.ST,90,W,0.0,,0.0,
2017,WISML,58,SD.ST,81,W,-5.5,W,133.5,O
2017,E.TEN,71,SD.ST,59,L,+8.0,L,154.5,U
2017,UCI,63,SD.ST,52,L,+2.0,L,136.0,U
2017,SD.ST,89,IDAHO,96,L,-4.0,L,136.0,O
2017,SD.ST,67,WYOM,77,L,-3.0,L,148.5,U
2017,WAYNECO,72,SD.ST,80,W,0.0,,0.0,
2017,SD.ST,58,UCI,73,L,-2.0,L,145.5,U
2017,SD.ST,53,CAL,82,L,-12.0,L,144.0,U
2016,SD.ST,57,UMKC,64,L,0.0,,0.0,
2016,CLEST,66,SD.ST,77,W,-10.5,W,139.5,O
2016,SD.ST,92,HOUBPT,68,W,+20.0,W,159.5,O
2016,SD.ST,76,TCU,67,W,0.0,W,150.0,U
2016,SD.ST,83,ILLST,67,W,-4.5,W,149.5,O
2016,WEBER,68,SD.ST,85,W,-6.5,W,145.5,O
2016,CHADRO,52,SD.ST,87,W,0.0,,0.0,
2015,FLAGC,71,SD.ST,58,L,0.0,,0.0,
2015,CHADRO,42,SD.ST,87,W,0.0,,0.0,
2015,NDAKOT,72,SD.ST,74,W,-12.0,L,0.0,
2015,SD.ST,77,IDAHO,82,L,+1.0,L,0.0,
2015,SD.ST,67,BUFF,69,L,-3.5,W,0.0,
2017,SDKOTA,72,SD.ST,73,W,-1.5,L,148.0,U
