Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,S.FLA,53,CINCY,94,L,-26.0,L,132.5,O
2017,UCONN,81,S.FLA,60,L,+7.5,L,128.0,O
2017,TULSA,79,S.FLA,67,L,+7.0,L,136.5,O
2017,S.FLA,64,UCF,86,L,-14.0,L,127.5,O
2017,S.FLA,56,MEMPH,62,L,-17.5,W,141.5,U
2017,TULAN,82,S.FLA,67,L,-4.0,L,141.0,O
2017,S.FLA,65,SMU,84,L,-22.0,W,127.5,O
2016,TEMPL,70,S.FLA,63,L,+8.0,W,128.0,O
2016,S.FLA,73,TULAN,60,W,-7.0,W,129.5,O
2016,S.FLA,71,HOUST,62,W,-16.0,W,134.5,U
2016,UCF,64,S.FLA,54,L,+3.5,L,136.0,U
2016,S.FLA,56,MEMPH,71,L,-17.5,W,140.0,U
2016,TULAN,81,S.FLA,70,L,+1.5,L,127.0,O
2016,CINCY,54,S.FLA,51,L,+15.5,W,130.0,U
2016,S.FLA,64,UCF,75,L,-8.0,L,134.0,O
2016,S.FLA,58,SMU,72,L,-25.5,W,136.5,U
2015,S.FLA,71,TULSA,78,L,-14.5,W,120.5,O
2015,SMU,63,S.FLA,52,L,+11.5,W,125.0,U
2015,S.FLA,53,UCONN,66,L,-14.0,W,119.5,U
2015,S.FLA,48,TEMPL,73,L,-10.0,L,125.5,U
2015,TULSA,75,S.FLA,58,L,+6.0,L,123.5,O
2015,S.FLA,51,TULAN,56,L,-7.5,W,132.0,U
2017,KENNE,69,S.FLA,71,W,-5.5,L,142.5,U
2017,S.FLA,62,FLAAT,78,L,-4.5,L,139.0,O
2017,RIDER,65,S.FLA,70,W,+3.5,W,140.0,U
2017,ELON,74,S.FLA,61,L,+4.5,L,153.0,U
2017,FLA&M,73,S.FLA,84,W,0.0,,0.0,
2016,SAVAN,57,S.FLA,67,W,0.0,,0.0,
2016,KENTY,84,S.FLA,63,L,+21.5,W,138.5,O
2016,ALBNY,61,S.FLA,63,W,0.0,,0.0,
2016,BOSTU,78,S.FLA,66,L,0.0,,0.0,
2016,GWASH,73,S.FLA,67,L,+10.0,W,142.5,U
2016,NJIT,60,S.FLA,57,L,0.0,,0.0,
2016,TROY,82,S.FLA,77,L,-8.0,L,138.0,O
2015,JAXVL,65,S.FLA,79,W,0.0,,0.0,
2015,HOFST,70,S.FLA,71,W,-2.5,L,0.0,
2015,S.FLA,65,NCST,68,L,-15.0,W,141.5,U
2015,S.FLA,73,UAB,71,W,-2.0,W,0.0,
2015,JACKS,64,S.FLA,73,W,0.0,,0.0,
2015,FLAGL,61,S.FLA,75,W,0.0,,0.0,
2014,DETRT,65,S.FLA,60,L,-9.5,L,147.0,U
2014,OKST,93,S.FLA,67,L,+9.5,L,150.0,O
2014,STETS,63,S.FLA,72,W,0.0,,0.0,
2014,S.FLA,75,BOWLG,61,W,+3.5,W,138.5,U
2017,HOUST,70,S.FLA,56,L,+12.0,L,132.0,U
2017,S.FLA,49,E.CAR,60,L,-8.0,L,130.5,U
2017,DELA,53,S.FLA,81,W,-4.5,W,128.0,O
2017,N.ILL,59,S.FLA,48,L,+1.0,L,135.5,U
2017,S.CAR,77,S.FLA,66,L,+10.0,L,132.0,O
2017,BCOOK,73,S.FLA,79,W,0.0,,0.0,
2017,S.FLA,67,GWASH,68,L,-9.5,W,142.0,U
2017,S.FLA,80,TROY,74,W,-6.0,W,137.0,O
