Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,SEMIZ,60,JAXST,78,L,-9.5,L,146.0,U
2018,SEMIZ,65,TNTEC,76,L,-4.0,L,156.5,U
2018,SEMIZ,86,E.ILL,74,W,-3.5,W,142.5,O
2018,SEMIZ,86,SIUED,74,W,+1.5,W,156.0,O
2018,EKENT,91,SEMIZ,86,L,-4.0,L,150.0,O
2018,MORHD,75,SEMIZ,78,W,-4.5,L,148.5,O
2018,SEMIZ,71,APEAY,76,L,-6.0,W,145.5,O
2018,SEMIZ,73,MURRAY,89,L,-14.5,L,152.0,O
2018,HANNBL,59,SEMIZ,83,W,0.0,,0.0,
2018,NCCEN,77,SEMIZ,70,L,0.0,,0.0,
2018,MONST,88,SEMIZ,82,L,+6.5,W,143.5,O
2018,CSNOR,59,SEMIZ,74,W,+1.0,W,147.0,U
2018,SEMIZ,50,EVANS,66,L,-10.5,L,146.5,U
2018,SEMIZ,95,LATEC,96,L,-17.5,W,149.0,O
2018,MISBAP,69,SEMIZ,81,W,0.0,,0.0,
2018,TN.ST,65,SEMIZ,77,W,+1.5,W,135.5,O
2018,BELMT,94,SEMIZ,72,L,+8.0,L,151.5,O
2018,SEMIZ,48,STL,78,L,-7.5,L,137.5,U
2018,BRAD,75,SEMIZ,67,L,+4.0,L,143.5,U
2018,SEMIZ,71,KANST,89,L,-19.5,W,145.0,O
2018,SEMIZ,75,S.ILL,69,W,-9.5,W,146.0,U
2018,UMKC,87,SEMIZ,91,W,0.0,,0.0,
2018,SEMIZ,86,NCCEN,77,W,0.0,,0.0,
2018,TNMAR,72,SEMIZ,66,L,-5.5,L,148.0,U
2018,SEMIZ,88,EKENT,91,L,-1.5,L,153.5,O
2018,SIUED,74,SEMIZ,79,W,-7.5,L,158.0,U
2018,E.ILL,73,SEMIZ,80,W,-3.5,W,146.0,O
2018,SEMIZ,81,TNMAR,77,W,-1.5,W,147.5,O
2018,SEMIZ,78,MORHD,62,W,-2.5,W,153.0,U
2018,APEAY,96,SEMIZ,81,L,+1.5,L,151.0,O
2018,MURRAY,87,SEMIZ,75,L,+11.0,L,155.0,O
