Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2018,TEXCC,67,SELA,54,L,0.0,,0.0,
Jan 27 2018,SELA,67,NICHL,63,W,0.0,,0.0,
Jan 24 2018,SELA,65,SAMHO,75,L,0.0,,0.0,
Jan 20 2018,NWST,58,SELA,85,W,0.0,,0.0,
Jan 17 2018,HOUBPT,69,SELA,85,W,0.0,,0.0,
Jan 13 2018,MCNEE,71,SELA,62,L,0.0,,0.0,
Jan 10 2018,SELA,63,LAMAR,58,W,0.0,,0.0,
Jan 6 2018,SELA,72,ABILE,70,W,0.0,,0.0,
Nov 28 2017,LOYNO,53,SELA,80,W,0.0,,0.0,
Nov 25 2017,MSVAL,59,SELA,73,W,0.0,,0.0,
Nov 24 2017,SELA,77,SAMFD,71,W,0.0,,0.0,
Nov 21 2017,SELA,70,KENT,66,W,0.0,,0.0,
Nov 19 2017,SELA,50,VALPO,83,L,0.0,,0.0,
Nov 16 2017,SELA,75,ULMON,86,L,0.0,,0.0,
Nov 13 2017,SELA,66,TULAN,89,L,0.0,,0.0,
Nov 10 2017,CENTY,67,SELA,99,W,0.0,,0.0,
Dec 31 2017,SELA,73,C.ARK,69,W,0.0,,0.0,
Dec 28 2017,SFA,62,SELA,73,W,0.0,,0.0,
Dec 21 2017,SELA,50,ND,86,L,0.0,,0.0,
Dec 19 2017,SELA,74,ULLAF,82,L,0.0,,0.0,
Dec 16 2017,SELA,67,GRAMB,68,L,0.0,,0.0,
Dec 14 2017,SO.NO,77,SELA,106,W,0.0,,0.0,
Dec 12 2017,SELA,53,UCF,61,L,0.0,,0.0,
Feb 28 2018,SELA,68,NEWOR,64,W,0.0,,0.0,
Feb 24 2018,SELA,86,NWST,62,W,0.0,,0.0,
Feb 17 2018,ABILE,54,SELA,68,W,0.0,,0.0,
Feb 14 2018,NEWOR,64,SELA,71,W,0.0,,0.0,
Feb 10 2018,SELA,74,MCNEE,67,W,0.0,,0.0,
Feb 7 2018,SELA,86,INCAR,68,W,0.0,,0.0,
Feb 3 2018,C.ARK,84,SELA,89,W,0.0,,0.0,
Mar 10 2018,SFA,59,SELA,55,L,+7.0,W,139.5,U
Mar 9 2018,SAMHO,79,SELA,89,W,-1.0,W,130.5,O
Mar 3 2018,NICHL,57,SELA,69,W,0.0,,0.0,
