Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,S.MISS,66,LATEC,89,L,-6.5,L,143.5,O
2018,N.TEX,78,S.MISS,85,W,-2.0,W,139.0,O
2018,RICE,75,S.MISS,86,W,-8.0,W,142.0,O
2018,S.MISS,49,MIDTN,69,L,-14.5,L,138.5,U
2018,S.MISS,75,UAB,86,L,-12.5,W,141.5,O
2018,TEXSA,83,S.MISS,93,W,-1.5,W,151.0,O
2018,UTEP,75,S.MISS,85,W,-4.0,W,130.5,O
2018,S.MISS,58,S.ALA,69,L,-3.5,L,129.0,U
2018,S.MISS,63,NCOLO,77,L,-3.0,L,133.5,O
2018,YOUNG,64,S.MISS,71,W,-2.0,W,149.5,U
2018,S.MISS,71,SDKOTA,84,L,-12.5,L,140.5,O
2018,BLUMNT,46,S.MISS,90,W,0.0,,0.0,
2018,S.MISS,47,MICH,61,L,-24.0,W,133.5,U
2018,SO.NO,69,S.MISS,79,W,0.0,,0.0,
2018,S.MISS,66,W.KEN,82,L,-15.5,L,137.5,O
2018,S.MISS,66,MARSH,85,L,-10.0,L,155.0,U
2018,MISST,70,S.MISS,64,L,+13.5,W,133.0,O
2018,S.MISS,45,FLAST,98,L,-21.5,L,141.5,O
2018,WMCAR,58,S.MISS,75,W,0.0,,0.0,
2018,S.MISS,69,ALA&M,54,W,0.0,,0.0,
2018,TROY,71,S.MISS,89,W,+3.5,W,138.5,O
2018,RUST,61,S.MISS,109,W,0.0,,0.0,
2018,S.MISS,44,UTEP,73,L,-2.0,L,137.5,U
2018,S.MISS,56,TEXSA,64,L,-4.5,L,150.5,U
2018,UAB,87,S.MISS,69,L,+4.0,L,140.5,O
2018,MIDTN,72,S.MISS,62,L,+7.0,L,140.5,U
2018,CHARL,54,S.MISS,72,W,-9.0,W,147.0,U
2018,OLDDO,68,S.MISS,63,L,+7.5,W,136.5,U
2018,S.MISS,77,FLAAT,66,W,-3.0,W,138.0,O
2018,S.MISS,70,FLAIN,76,L,-2.5,L,140.0,O
2018,S.MISS,75,MARSH,85,L,-8.0,L,153.0,O
2018,S.MISS,71,MIDTN,68,W,-13.0,W,135.5,O
2018,S.MISS,69,FLAIN,68,W,-1.0,W,136.5,O
2018,LATEC,64,S.MISS,72,W,+2.5,W,143.0,U
