Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,STBON,59,RHODEI,71,L,-7.0,L,148.5,U
2017,STJOE,63,STBON,67,W,-10.0,L,144.0,U
2017,STBON,71,STL,52,W,+11.5,W,138.5,U
2017,FORDM,53,STBON,73,W,-8.0,W,139.5,U
2017,STBON,61,RICHM,78,L,-4.5,L,154.5,U
2017,GMASN,72,STBON,82,W,-8.0,W,156.0,U
2017,DAYTN,90,STBON,74,L,-1.5,L,144.5,O
2016,RICHM,68,STBON,84,W,-1.0,W,157.5,U
2016,STBON,76,VACOM,84,L,-10.5,W,153.5,O
2016,DAYTN,85,STBON,79,L,+3.0,L,139.0,O
2016,STBON,88,DUQU,95,L,+1.0,L,150.5,O
2016,RHODEI,64,STBON,69,W,-1.5,W,142.5,U
2016,STBON,88,UMASS,77,W,+3.0,W,151.5,O
2016,STBON,77,GMASN,58,W,+3.5,W,134.0,O
2016,DAVID,85,STBON,97,W,+1.0,W,158.5,O
2015,LASAL,66,STBON,56,L,-3.0,L,128.5,U
2015,STBON,48,RHODEI,53,L,-6.0,W,126.5,U
2015,STBON,100,DUQU,97,W,+3.0,P,141.0,O
2015,STJOE,61,STBON,70,W,-6.0,W,128.0,O
2015,GMASN,55,STBON,75,W,-4.5,W,136.0,U
2015,STBON,41,RICHM,60,L,-4.5,L,127.0,U
2015,DAYTN,78,STBON,61,L,+1.0,L,134.5,O
2017,SIENA,74,STBON,81,W,-8.5,L,153.0,O
2017,CMICH,71,STBON,102,W,-4.0,W,161.0,O
2017,STBON,65,ARKLR,68,L,+4.5,L,140.0,U
2017,STBON,66,FLA,73,L,-13.0,W,153.5,U
2017,STFPA,82,STBON,92,W,0.0,,0.0,
2016,HOFST,89,STBON,83,L,-1.5,L,155.5,O
2016,STBON,77,CANIS,73,W,-2.0,W,153.5,U
2016,LOYOL,82,STBON,94,W,0.0,,0.0,
2016,STBON,66,SYRA,79,L,-9.0,L,133.5,O
2016,BINGH,53,STBON,63,W,0.0,,0.0,
2015,NIAGR,59,STBON,74,W,-9.5,W,0.0,
2015,JACKS,71,STBON,79,W,0.0,,0.0,
2015,CANIS,53,STBON,59,W,-8.0,L,0.0,
2015,SIENA,73,STBON,70,L,-5.0,L,0.0,
2015,DART,57,STBON,77,W,-6.5,W,0.0,
2014,LATEC,76,STBON,72,L,+7.0,W,153.5,U
2014,WAGNR,67,STBON,70,W,-3.5,L,143.5,U
2014,STBON,83,S.ILL,71,W,+5.0,W,136.0,O
2014,STBON,70,SIENA,72,L,+7.0,L,147.0,U
2014,CANIS,64,STBON,86,W,-5.0,W,143.0,O
2014,ABILE,47,STBON,75,W,0.0,,0.0,
2014,SDKOTA,46,STBON,68,W,-9.5,W,0.0,
2013,STBON,64,OHIO,69,L,-13.0,W,0.0,
2013,NIAGR,75,STBON,80,W,-3.5,W,0.0,
2013,STBON,69,CANIS,72,L,+2.5,L,0.0,
2017,STBON,89,UMASS,77,W,-2.0,W,154.5,O
2017,CANIS,106,STBON,101,L,-11.5,L,159.5,O
2017,ARMY,83,STBON,92,W,0.0,,0.0,
2017,NIAGR,69,STBON,79,W,-14.0,L,154.5,U
2017,NCWIL,81,STBON,80,L,-3.5,L,156.5,O
2017,STBON,81,HOFST,75,W,+6.0,P,155.0,O
2017,BUFF,84,STBON,90,W,-10.0,L,150.5,O
2016,NIAGR,68,STBON,82,W,-13.5,W,137.0,O
2016,STBON,70,SIENA,73,L,-1.5,L,147.5,U
2016,SC.ST,45,STBON,64,W,0.0,,0.0,
2016,VERMT,68,STBON,80,W,0.0,,0.0,
2016,OHIO,68,STBON,81,W,-5.0,W,154.5,U
2016,STBON,60,BUFF,58,W,+1.5,W,151.5,U
