Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 28 2017,ROBMO,83,STFPA,89,W,0.0,,0.0,
Jan 26 2017,STFPA,72,WAGNR,67,W,0.0,,0.0,
Jan 21 2017,CCONN,84,STFPA,83,L,0.0,,0.0,
Jan 19 2017,BRYANT,61,STFPA,75,W,0.0,,0.0,
Jan 14 2017,STFPA,72,MTSTM,78,L,0.0,,0.0,
Jan 12 2017,STFPA,77,ROBMO,57,W,0.0,,138.5,U
Jan 7 2017,LIU,83,STFPA,70,L,0.0,,0.0,
Jan 5 2017,STFNY,56,STFPA,81,W,0.0,,0.0,
Jan 30 2016,ROBMO,78,STFPA,90,W,0.0,,0.0,
Jan 28 2016,STFPA,82,FDU,86,L,0.0,,0.0,
Jan 23 2016,STFPA,79,CCONN,64,W,0.0,,0.0,
Jan 21 2016,STFPA,71,BRYANT,65,W,0.0,,0.0,
Jan 16 2016,MTSTM,82,STFPA,72,L,0.0,,0.0,
Jan 14 2016,FDU,71,STFPA,59,L,0.0,,0.0,
Jan 9 2016,STFPA,72,LIU,65,W,0.0,,0.0,
Jan 7 2016,STFPA,56,STFNY,73,L,0.0,,0.0,
Jan 4 2016,SACRD,80,STFPA,84,W,0.0,,0.0,
Jan 2 2016,WAGNR,65,STFPA,73,W,0.0,,0.0,
Jan 31 2015,FDU,63,STFPA,68,W,0.0,,0.0,
Jan 29 2015,BRYANT,68,STFPA,75,W,0.0,,0.0,
Jan 24 2015,STFPA,40,MTSTM,52,L,0.0,,0.0,
Jan 22 2015,STFPA,58,WAGNR,63,L,0.0,,0.0,
Nov 30 2016,STFPA,70,NJIT,83,L,0.0,,0.0,
Nov 26 2016,STFPA,69,AMERN,62,W,0.0,,0.0,
Nov 23 2016,LONGW,72,STFPA,87,W,0.0,,0.0,
Nov 19 2016,CHATM,59,STFPA,119,W,0.0,,0.0,
Nov 16 2016,STFPA,75,DUQU,89,L,-13.5,L,155.5,O
Nov 12 2016,STFPA,82,STBON,92,L,0.0,,0.0,
Nov 27 2015,STFPA,57,MD-ES,70,L,0.0,,0.0,
Nov 24 2015,STFPA,60,KENT,79,L,0.0,,0.0,
Nov 21 2015,AMERN,48,STFPA,68,W,0.0,,0.0,
Nov 17 2015,WMNRPA,72,STFPA,103,W,0.0,,0.0,
Nov 13 2015,STFPA,56,ND,87,L,0.0,,0.0,
Nov 29 2014,STFPA,85,NAVY,68,W,0.0,,0.0,
Nov 25 2014,STFPA,46,TEXAS,78,L,0.0,,0.0,
Nov 22 2014,MD-ES,53,STFPA,57,W,0.0,,0.0,
Nov 20 2014,KEYSTN,69,STFPA,102,W,0.0,,0.0,
Nov 17 2014,STFPA,46,AMERN,49,L,0.0,,0.0,
Nov 14 2014,STFPA,37,CINCY,52,L,0.0,,0.0,
Nov 30 2013,AMERN,75,STFPA,43,L,0.0,,0.0,
Nov 23 2013,STFPA,64,COLGT,81,L,0.0,,0.0,
Nov 19 2013,STFPA,46,GMASN,58,L,0.0,,0.0,
Nov 16 2013,STFPA,50,BUCKN,72,L,0.0,,0.0,
Nov 13 2013,STFPA,56,DAYTN,70,L,0.0,,0.0,
Nov 11 2013,NAVY,57,STFPA,60,W,0.0,,0.0,
Nov 8 2013,STFPA,67,FORDM,87,L,0.0,,0.0,
Dec 31 2016,STFPA,87,SACRD,67,W,0.0,,0.0,
Dec 29 2016,STFPA,65,FDU,77,L,0.0,,0.0,
Dec 21 2016,STFPA,58,TEXAM,81,L,0.0,,0.0,
Dec 19 2016,STFPA,65,MARQ,78,L,-28.5,W,164.5,U
Dec 17 2016,STONY,75,STFPA,63,L,0.0,,0.0,
Dec 12 2016,STFPA,67,LEHIH,100,L,0.0,,0.0,
Dec 3 2016,BINGH,73,STFPA,70,L,0.0,,0.0,
Dec 30 2015,NJIT,77,STFPA,65,L,0.0,,0.0,
Dec 19 2015,STFPA,58,ALBNY,65,L,0.0,,0.0,
Dec 15 2015,STFPA,67,BINGH,61,W,0.0,,0.0,
Dec 12 2015,DUQU,67,STFPA,65,L,0.0,,0.0,
Dec 4 2015,STFPA,55,MARYL,96,L,-25.0,L,139.0,O
Dec 2 2015,LEHIH,73,STFPA,84,W,0.0,,0.0,
Dec 30 2014,STFPA,65,NJIT,77,L,0.0,,0.0,
Dec 20 2014,STFPA,73,RUTGR,68,W,0.0,,0.0,
Dec 17 2014,STFPA,67,DUQU,52,W,0.0,,0.0,
Dec 6 2014,ALBNY,59,STFPA,69,W,0.0,,0.0,
Dec 3 2014,STFPA,59,LEHIH,61,L,0.0,,0.0,
Dec 31 2013,STFPA,61,DENVR,83,L,0.0,,0.0,
Dec 22 2013,STFPA,49,DREXL,59,L,0.0,,0.0,
Dec 17 2013,DUQU,78,STFPA,71,L,0.0,,0.0,
Dec 7 2013,STFPA,72,CORNL,62,W,0.0,,0.0,
Dec 4 2013,LEHIH,57,STFPA,50,L,0.0,,0.0,
Feb 25 2017,FDU,64,STFPA,70,W,0.0,,0.0,
Feb 23 2017,SACRD,64,STFPA,73,W,0.0,,0.0,
Feb 18 2017,STFPA,75,BRYANT,79,L,0.0,,0.0,
Feb 16 2017,STFPA,80,CCONN,71,W,0.0,,0.0,
Feb 11 2017,MTSTM,81,STFPA,62,L,0.0,,0.0,
Feb 9 2017,WAGNR,76,STFPA,74,L,0.0,,0.0,
Feb 4 2017,STFPA,80,LIU,78,W,0.0,,0.0,
Feb 2 2017,STFPA,78,STFNY,61,W,0.0,,0.0,
Feb 27 2016,SACRD,88,STFPA,78,L,0.0,,0.0,
Feb 25 2016,STFPA,54,WAGNR,69,L,0.0,,0.0,
Feb 20 2016,LIU,94,STFPA,89,L,0.0,,0.0,
Feb 18 2016,STFNY,70,STFPA,58,L,0.0,,0.0,
Feb 13 2016,STFPA,61,MTSTM,66,L,0.0,,0.0,
Feb 11 2016,STFPA,68,ROBMO,57,W,-2.5,W,135.0,U
Feb 6 2016,CCONN,82,STFPA,91,W,0.0,,0.0,
Feb 4 2016,BRYANT,57,STFPA,63,W,0.0,,0.0,
Feb 28 2015,STFPA,70,ROBMO,71,L,0.0,,0.0,
Feb 26 2015,MTSTM,60,STFPA,63,W,0.0,,0.0,
Feb 21 2015,STFPA,54,STFNY,66,L,0.0,,0.0,
Feb 19 2015,STFPA,50,CCONN,53,L,0.0,,0.0,
Feb 14 2015,LIU,79,STFPA,74,L,0.0,,0.0,
Mar 18 2017,STFPA,79,UMBC,87,L,-6.5,L,164.0,O
Mar 14 2017,STFPA,78,JAXVL,76,W,-4.0,W,157.0,U
Mar 7 2017,STFPA,61,MTSTM,71,L,-5.0,L,138.5,U
Mar 4 2017,STFPA,71,WAGNR,70,W,-3.5,W,137.5,O
Mar 1 2017,BRYANT,78,STFPA,100,W,-3.5,W,152.0,O
Mar 2 2016,STFPA,72,FDU,74,L,-5.5,W,153.0,U
Mar 17 2015,BOWLG,67,STFPA,64,L,+5.5,W,135.0,U
Mar 7 2015,STFPA,48,STFNY,62,L,-9.0,L,122.5,U
Mar 4 2015,STFPA,73,MTSTM,58,W,-6.0,W,120.5,O
Mar 8 2014,STFPA,57,ROBMO,60,L,-10.5,W,127.5,U
Mar 5 2014,STFPA,55,BRYANT,54,W,-12.5,W,136.5,U
Mar 1 2014,STFPA,55,MTSTM,78,L,0.0,,0.0,
Mar 2 2013,STFPA,60,BRYANT,85,L,0.0,,0.0,
Mar 3 2011,STFPA,75,LIU,90,L,-13.5,L,151.5,O
Mar 4 2010,STFPA,50,MTSTM,65,L,-15.0,P,127.5,U
Mar 1 2008,STFPA,70,FDU,72,L,0.0,,0.0,
Mar 3 2005,STFPA,67,LIU,76,L,0.0,,0.0,
Mar 6 2004,STFPA,43,ROBMO,58,L,0.0,,0.0,
Mar 8 2003,STFPA,57,QUINN,75,L,0.0,,0.0,
Mar 1 2003,STFPA,73,FDU,75,L,0.0,,0.0,
Mar 3 2000,STFPA,52,ROBMO,72,L,0.0,,0.0,
Mar 1 1996,STFPA,70,RIDER,84,L,0.0,,0.0,
