Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 28 2017,NEWOR,61,SFA,71,W,0.0,,0.0,
Jan 25 2017,C.ARK,76,SFA,78,W,0.0,,0.0,
Jan 21 2017,SFA,68,INCAR,70,L,0.0,,0.0,
Jan 19 2017,SFA,61,TEXCC,58,W,0.0,,0.0,
Jan 14 2017,NICHL,60,SFA,80,W,0.0,,0.0,
Jan 11 2017,TEXCC,46,SFA,79,W,0.0,,0.0,
Jan 7 2017,SFA,60,ABILE,69,L,0.0,,0.0,
Jan 2 2017,SFA,54,MCNEE,69,L,0.0,,0.0,
Jan 30 2016,SFA,66,TEXCC,61,W,0.0,,0.0,
Jan 25 2016,LAMAR,52,SFA,86,W,0.0,,0.0,
Jan 23 2016,SAMHO,64,SFA,76,W,0.0,,0.0,
Jan 18 2016,SFA,82,NEWOR,58,W,0.0,,0.0,
Jan 16 2016,ABILE,62,SFA,97,W,0.0,,0.0,
Jan 12 2016,C.ARK,64,SFA,85,W,0.0,,0.0,
Jan 4 2016,SFA,89,SELA,69,W,0.0,,0.0,
Jan 2 2016,MCNEE,57,SFA,86,W,0.0,,0.0,
Jan 31 2015,TEXCC,51,SFA,61,W,0.0,,0.0,
Jan 26 2015,SFA,82,LAMAR,65,W,0.0,,0.0,
Jan 24 2015,SFA,79,SAMHO,68,W,0.0,,0.0,
Jan 19 2015,NEWOR,54,SFA,79,W,0.0,,0.0,
Jan 17 2015,SFA,82,ABILE,64,W,0.0,,0.0,
Jan 13 2015,SFA,109,C.ARK,58,W,0.0,,0.0,
Nov 28 2016,SFA,72,ULMON,77,L,0.0,,0.0,
Nov 18 2016,NEOKLA,70,SFA,75,W,0.0,,0.0,
Nov 15 2016,LONGW,60,SFA,66,W,-18.5,L,146.5,U
Nov 11 2016,SFA,64,KENTY,87,L,-21.5,L,144.0,O
Nov 29 2015,SFA,94,APPST,84,W,0.0,,0.0,
Nov 27 2015,SFA,59,TULAN,60,L,0.0,,0.0,
Nov 26 2015,WMICH,71,SFA,79,W,0.0,,0.0,
Nov 22 2015,LSUSHR,64,SFA,88,W,0.0,,0.0,
Nov 17 2015,SFA,60,NIOWA,70,L,-3.5,L,139.5,U
Nov 13 2015,SFA,55,BAYLR,97,L,0.0,,0.0,
Nov 28 2014,APEAY,62,SFA,83,W,-9.5,W,0.0,
Nov 27 2014,SFA,73,PVA&M,61,W,+15.5,L,0.0,
Nov 24 2014,SFA,51,BAYLR,67,L,0.0,,0.0,
Nov 21 2014,SFA,63,XAVIR,81,L,0.0,,0.0,
Nov 18 2014,NIOWA,79,SFA,77,L,-3.0,L,130.0,O
Nov 14 2014,MISSCO,49,SFA,75,W,0.0,,0.0,
Nov 29 2013,SFA,60,NCWIL,55,W,0.0,,0.0,
Nov 26 2013,SAMFD,78,SFA,98,W,0.0,,0.0,
Nov 23 2013,SFA,58,E.TEN,66,L,0.0,,0.0,
Nov 21 2013,SFA,80,MARSH,73,W,0.0,,0.0,
Nov 15 2013,SFA,62,TEXAS,72,L,0.0,,0.0,
Nov 12 2013,SFA,64,TEXST,57,W,0.0,,0.0,
Nov 8 2013,TEXTY,64,SFA,90,W,0.0,,0.0,
Dec 31 2016,HOUBPT,51,SFA,61,W,0.0,,0.0,
Dec 25 2016,SFA,66,UTAH,74,L,-14.5,W,140.0,P
Dec 23 2016,SFA,67,S.MISS,64,W,+8.0,L,132.5,U
Dec 22 2016,TULSA,74,SFA,51,L,+4.5,L,142.0,U
