Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 30 2018,TCU,79,OKST,66,W,+1.0,W,154.5,U
Jan 27 2018,TCU,78,VANDY,81,L,+3.5,L,150.5,O
Jan 22 2018,W.VA,73,TCU,82,W,+2.0,W,154.0,O
Jan 20 2018,TCU,68,KANST,73,L,-2.5,L,149.0,U
Jan 17 2018,IOWAS,73,TCU,96,W,-10.0,W,160.0,O
Jan 13 2018,TCU,97,OKLA,102,L,-6.5,W,173.5,O
Jan 10 2018,TCU,98,TEXAS,99,L,+2.0,L,142.5,O
Jan 6 2018,KANSA,88,TCU,84,L,+2.0,L,160.5,O
Jan 2 2018,TCU,81,BAYLR,78,W,+1.5,W,147.0,O
Nov 29 2017,BELMT,76,TCU,87,W,-12.5,L,149.5,O
Nov 25 2017,TCU,89,STBON,79,W,+9.0,W,142.5,O
Nov 24 2017,NEWMX,67,TCU,69,W,-14.5,L,167.5,U
Nov 20 2017,NEBOM,66,TCU,99,W,-24.0,W,170.0,U
Nov 15 2017,SDKOTA,71,TCU,76,W,-17.5,L,156.0,U
Nov 13 2017,TNTEC,63,TCU,100,W,-21.5,W,147.0,O
Nov 10 2017,ULMON,73,TCU,83,W,-24.5,L,148.0,O
Dec 30 2017,OKLA,90,TCU,89,L,-2.5,L,171.0,O
Dec 22 2017,W&M,75,TCU,86,W,-20.5,L,169.0,U
Dec 18 2017,TEXSO,72,TCU,91,W,0.0,,0.0,
Dec 9 2017,NEV,80,TCU,84,W,-1.5,W,156.0,O
Dec 5 2017,SMU,83,TCU,94,W,-3.5,W,136.5,O
Dec 2 2017,YALE,66,TCU,92,W,-16.0,W,154.5,O
Feb 27 2018,KANST,59,TCU,66,W,-6.5,W,146.5,U
Feb 24 2018,BAYLR,72,TCU,82,W,-5.5,W,147.0,O
Feb 21 2018,TCU,89,IOWAS,83,W,+5.5,W,154.0,O
Feb 17 2018,OKST,70,TCU,90,W,-7.0,W,153.5,O
Feb 12 2018,TCU,66,W.VA,82,L,-8.0,L,153.5,U
Feb 10 2018,TEXAS,71,TCU,87,W,-5.5,W,141.5,O
Feb 6 2018,TCU,64,KANSA,71,L,-7.5,W,156.5,U
Feb 3 2018,TEXTK,83,TCU,71,L,-3.5,L,146.0,O
Mar 8 2018,TCU,64,KANST,66,L,+3.0,L,143.0,U
Mar 3 2018,TCU,75,TEXTK,79,L,-4.0,P,142.5,O
