Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2018,TEXAR,59,GASOU,74,L,-2.5,L,150.5,U
Jan 25 2018,TEXAR,75,GAST,81,L,-4.0,L,143.0,O
Jan 20 2018,ULMON,55,TEXAR,71,W,-13.5,W,143.5,U
Jan 18 2018,ULLAF,77,TEXAR,65,L,-2.5,L,159.0,U
Jan 13 2018,TEXAR,97,ARKST,71,W,+5.5,W,155.5,O
Jan 11 2018,TEXAR,65,ARKLR,77,L,+9.0,L,137.0,O
Jan 6 2018,S.ALA,67,TEXAR,91,W,-12.5,W,148.0,O
Jan 4 2018,TROY,76,TEXAR,86,W,-7.5,W,153.0,O
Nov 29 2017,RICE,49,TEXAR,69,W,-17.5,W,157.5,U
Nov 27 2017,TEXDA,53,TEXAR,73,W,0.0,,0.0,
Nov 25 2017,TEXAR,95,NIAGR,90,W,+7.0,L,164.5,O
Nov 24 2017,W.CAR,65,TEXAR,89,W,-15.0,W,153.5,O
Nov 21 2017,TEXAR,76,ALA,77,L,-11.0,W,153.5,U
Nov 18 2017,TEXAR,89,BYU,75,W,-8.0,W,151.0,O
Nov 11 2017,LOYMA,80,TEXAR,85,W,-14.0,L,149.0,O
Dec 31 2017,TEXAR,76,APPST,80,L,+5.0,L,155.5,O
Dec 29 2017,TEXAR,65,COCAR,90,L,+4.0,L,151.0,O
Dec 21 2017,CALPO,56,TEXAR,77,W,-14.0,W,144.0,U
Dec 18 2017,TEXAR,81,CREIG,90,L,-13.0,W,162.0,O
Dec 16 2017,TEXAR,86,UTRGV,65,W,0.0,,0.0,
Dec 9 2017,FLAGC,85,TEXAR,78,L,0.0,,0.0,
Dec 7 2017,TEXAR,58,NIOWA,62,L,-4.5,W,135.0,U
Dec 2 2017,N.TEX,60,TEXAR,65,W,-17.0,L,143.0,U
Feb 24 2018,GAST,81,TEXAR,89,W,-2.5,W,149.5,O
Feb 22 2018,GASOU,63,TEXAR,83,W,-5.0,W,153.5,U
Feb 17 2018,TEXAR,79,ULLAF,100,L,-10.0,L,159.0,O
Feb 15 2018,TEXAR,71,ULMON,84,L,+4.5,L,146.0,O
Feb 10 2018,TEXST,68,TEXAR,70,W,-7.5,L,134.5,O
Feb 3 2018,COCAR,80,TEXAR,87,W,-7.0,P,144.5,O
Feb 1 2018,APPST,77,TEXAR,89,W,-9.5,W,153.0,O
Mar 10 2018,TEXAR,71,ULLAF,68,W,-7.0,W,158.5,U
Mar 9 2018,APPST,68,TEXAR,84,W,-6.0,W,155.0,U
Mar 2 2018,TEXAR,85,TEXST,82,W,+3.5,L,139.0,O
