Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 28 2018,TULSA,71,WICHI,90,L,-17.5,L,147.5,O
Jan 20 2018,MEMPH,51,TULSA,64,W,-2.5,W,139.5,U
Jan 17 2018,TULSA,58,TEMPL,59,L,-8.0,W,142.5,U
Jan 13 2018,WICHI,72,TULSA,69,L,+12.5,W,149.5,U
Jan 11 2018,TULSA,71,HOUST,104,L,-11.5,L,146.5,O
Jan 6 2018,TULSA,67,MEMPH,76,L,-3.0,L,137.0,O
Jan 3 2018,UCONN,88,TULSA,90,W,-2.5,L,133.0,O
Nov 28 2017,TEXSA,96,TULSA,100,W,-9.5,L,152.5,O
Nov 25 2017,C.ARK,72,TULSA,92,W,0.0,,0.0,
Nov 19 2017,ILLST,84,TULSA,68,L,-2.0,L,144.5,O
Nov 17 2017,IOWAS,80,TULSA,78,L,+2.5,W,152.5,O
Nov 16 2017,TULSA,81,WMICH,74,W,+2.5,W,148.0,O
Nov 13 2017,ORALR,71,TULSA,90,W,-12.0,W,146.0,O
Nov 10 2017,LAMAR,74,TULSA,67,L,0.0,,0.0,
Dec 31 2017,TULSA,65,TULAN,56,W,-2.0,W,149.0,U
Dec 28 2017,E.CAR,53,TULSA,79,W,-14.0,W,140.5,U
Dec 19 2017,TULSA,59,OKST,71,L,-12.5,W,149.0,U
Dec 16 2017,MANHT,66,TULSA,80,W,-8.0,W,143.0,O
Dec 14 2017,PVA&M,73,TULSA,77,W,0.0,,0.0,
Dec 9 2017,TULSA,61,KANST,54,W,-9.5,W,145.5,U
Dec 2 2017,TULSA,58,ILLST,65,L,-2.5,L,149.0,U
Feb 25 2018,TULSA,74,CINCY,82,L,-16.5,W,133.5,O
Feb 21 2018,UCF,61,TULSA,70,W,-1.5,W,129.5,O
Feb 18 2018,S.FLA,61,TULSA,73,W,-13.0,L,135.0,U
Feb 15 2018,TULSA,73,UCONN,71,W,-3.0,W,137.5,O
Feb 8 2018,TULAN,89,TULSA,91,W,-7.0,L,147.0,O
Feb 4 2018,TULSA,63,S.FLA,54,W,+7.5,W,136.0,U
Feb 1 2018,SMU,67,TULSA,76,W,+4.0,W,134.5,O
Mar 9 2018,MEMPH,67,TULSA,64,L,-5.0,L,141.5,U
Mar 4 2018,TEMPL,58,TULSA,76,W,-2.5,W,142.5,U
Mar 1 2018,TULSA,72,E.CAR,58,W,+8.5,W,144.0,U
