Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,NH,103,UMBC,105,W,0.0,,0.0,
2017,UMBC,73,STONY,83,L,0.0,,0.0,
2017,UMBC,102,LOWELL,86,W,0.0,,0.0,
2017,ALBNY,77,UMBC,50,L,0.0,,0.0,
2017,UMBC,72,VERMT,81,L,0.0,,0.0,
2017,UMBC,84,HARTF,68,W,0.0,,0.0,
2017,MAINE,64,UMBC,75,W,0.0,,0.0,
2017,BINGH,71,UMBC,85,W,0.0,,0.0,
2016,NH,84,UMBC,81,L,0.0,,0.0,
2016,UMBC,57,BINGH,66,L,0.0,,0.0,
2016,UMBC,72,VERMT,79,L,0.0,,0.0,
2016,HARTF,98,UMBC,87,L,0.0,,0.0,
2016,LOWELL,95,UMBC,89,L,0.0,,0.0,
2016,UMBC,74,STONY,86,L,0.0,,0.0,
2016,MAINE,76,UMBC,89,W,0.0,,0.0,
2016,UMBC,59,ALBNY,73,L,0.0,,0.0,
2016,UMBC,83,NJIT,86,L,0.0,,0.0,
2015,BINGH,68,UMBC,56,L,0.0,,0.0,
2015,UMBC,55,ALBNY,69,L,0.0,,0.0,
2015,UMBC,76,MAINE,59,W,0.0,,0.0,
2015,HARTF,65,UMBC,63,L,0.0,,0.0,
2017,UMBC,81,DUQU,72,W,0.0,,0.0,
2017,UMBC,66,NAVY,78,L,0.0,,0.0,
2017,KENNE,85,UMBC,93,W,0.0,,0.0,
2017,DELST,68,UMBC,90,W,0.0,,0.0,
2017,UMBC,77,MD-ES,73,W,0.0,,0.0,
2017,HOOD,61,UMBC,92,W,0.0,,0.0,
2016,COLGT,71,UMBC,63,L,0.0,,0.0,
2016,NAVY,75,UMBC,54,L,0.0,,0.0,
2016,CALPO,78,UMBC,65,L,+13.5,W,138.5,O
2016,UMBC,81,NCOLO,72,W,-9.0,W,149.0,O
2016,LOYOL,76,UMBC,57,L,0.0,,0.0,
2016,UMBC,53,STJON,75,L,0.0,,0.0,
2016,UMBC,73,WAKE,78,L,0.0,,0.0,
2015,TOWSN,77,UMBC,66,L,0.0,,0.0,
2015,HOWRD,68,UMBC,54,L,0.0,,0.0,
2015,UMBC,51,MINN,69,L,0.0,,0.0,
2015,UMBC,38,LOYOL,45,L,0.0,,0.0,
2015,UMBC,57,AKRON,74,L,0.0,,0.0,
2014,UMBC,60,TOWSN,75,L,0.0,,0.0,
2014,UMBC,58,NAVY,73,L,0.0,,0.0,
2014,LOYOL,89,UMBC,83,L,0.0,,0.0,
2014,MTSTM,84,UMBC,90,W,0.0,,0.0,
2014,UMBC,61,AMERN,63,L,0.0,,0.0,
2014,EASPA,79,UMBC,84,W,0.0,,0.0,
2017,UMBC,70,VATEC,87,L,0.0,,0.0,
2017,UMBC,62,JMU,61,W,0.0,,0.0,
2017,CITDL,111,UMBC,120,W,0.0,,0.0,
2017,TOWSN,73,UMBC,72,L,0.0,,0.0,
2017,UMBC,75,RICHM,78,L,0.0,,0.0,
2017,UMBC,78,MTSTM,70,W,0.0,,0.0,
2017,MESSIA,59,UMBC,98,W,0.0,,0.0,
2016,MD-ES,75,UMBC,89,W,0.0,,0.0,
2016,UMBC,65,TOWSN,91,L,0.0,,0.0,
2016,UMBC,93,HOWRD,103,L,0.0,,0.0,
2016,MTSTM,63,UMBC,75,W,0.0,,0.0,
2016,UMBC,70,DUQU,89,L,0.0,,0.0,
2016,UMBC,70,LONGW,59,W,0.0,,0.0,
2016,UMBC,64,BOWLG,72,L,0.0,,0.0,
2015,LEHIH,58,UMBC,55,L,0.0,,0.0,
2015,UMBC,66,KENNE,53,W,0.0,,0.0,
2015,LONGW,53,UMBC,58,W,0.0,,0.0,
2015,UMBC,53,CCONN,65,L,0.0,,0.0,
2015,UMBC,47,IOWA,77,L,0.0,,0.0,
2015,UMBC,60,GWASH,83,L,0.0,,0.0,
2015,UMBC,52,MD-ES,65,L,0.0,,0.0,
2014,NAVY,48,UMBC,63,W,0.0,,0.0,
2017,UMBC,90,NH,94,L,-3.5,L,152.5,O
2017,STONY,52,UMBC,65,W,0.0,,0.0,
2017,LOWELL,102,UMBC,108,W,0.0,,0.0,
2017,UMBC,69,ALBNY,78,L,0.0,,0.0,
2017,VERMT,77,UMBC,74,L,0.0,,0.0,
2017,HARTF,84,UMBC,77,L,0.0,,0.0,
2017,UMBC,83,MAINE,71,W,0.0,,0.0,
2017,UMBC,92,BINGH,74,W,0.0,,0.0,
2016,UMBC,69,NH,78,L,0.0,,0.0,
2016,BINGH,79,UMBC,80,W,0.0,,0.0,
2016,VERMT,99,UMBC,54,L,0.0,,0.0,
2016,UMBC,65,HARTF,88,L,0.0,,0.0,
2016,UMBC,92,LOWELL,96,L,0.0,,0.0,
2016,STONY,75,UMBC,52,L,0.0,,0.0,
2016,UMBC,83,MAINE,79,W,0.0,,0.0,
2016,ALBNY,79,UMBC,73,L,0.0,,0.0,
2015,UMBC,69,BINGH,76,L,0.0,,0.0,
2015,ALBNY,67,UMBC,49,L,0.0,,0.0,
2015,MAINE,66,UMBC,73,W,0.0,,0.0,
2015,UMBC,52,HARTF,55,L,0.0,,0.0,
2015,UMBC,51,VERMT,74,L,0.0,,0.0,
2015,STONY,73,UMBC,61,L,0.0,,0.0,
2015,UMBC,46,NH,80,L,0.0,,0.0,
2017,TEXCC,79,UMBC,61,L,-2.0,L,157.5,U
2017,LIBRT,68,UMBC,80,W,-2.5,W,145.5,O
2017,STFPA,79,UMBC,87,W,-6.5,W,164.0,O
2017,FAIRF,83,UMBC,88,W,-3.0,W,152.5,O
2017,UMBC,65,NH,74,L,-3.0,L,148.5,U
2016,UMBC,76,STONY,86,L,-23.5,W,142.0,O
2015,UMBC,39,VERMT,66,L,-19.5,L,121.5,U
2014,UMBC,56,ALBNY,86,L,-10.5,L,131.0,O
2014,UMBC,56,HARTF,67,L,0.0,,0.0,
2013,UMBC,72,VERMT,85,L,-13.0,P,125.5,O
2013,UMBC,69,HARTF,62,W,-8.5,W,121.5,O
2013,BINGH,49,UMBC,59,W,0.0,,0.0,
2012,BINGH,73,UMBC,67,L,-2.0,L,131.0,O
2011,BINGH,91,UMBC,65,L,+4.5,L,132.0,O
2010,UMBC,59,VERMT,76,L,-13.5,L,140.0,U
2009,UMBC,51,BINGH,61,L,-6.5,L,134.5,U
2009,UMBC,64,ALBNY,58,W,0.0,,0.0,
2009,UMBC,79,BOSTU,75,W,0.0,,0.0,
2009,ALBNY,64,UMBC,68,W,0.0,,0.0,
2008,UMBC,47,GTOWN,66,L,-17.5,L,131.5,U
2008,HARTF,65,UMBC,82,W,-9.0,W,137.5,O
2008,VERMT,64,UMBC,73,W,0.0,,0.0,
2008,STONY,60,UMBC,76,W,0.0,,0.0,
2008,UMBC,57,HARTF,58,L,0.0,,0.0,
2007,UMBC,63,VERMT,72,L,0.0,,0.0,
