Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,FISHER,73,LOWELL,97,W,0.0,,0.0,
2017,LOWELL,71,NH,80,L,0.0,,0.0,
2017,UMBC,102,LOWELL,86,L,0.0,,0.0,
2017,LOWELL,67,VERMT,81,L,0.0,,0.0,
2017,STONY,86,LOWELL,75,L,0.0,,0.0,
2017,HARTF,55,LOWELL,71,W,0.0,,0.0,
2017,LOWELL,71,MAINE,73,L,0.0,,0.0,
2017,LOWELL,79,BINGH,75,W,0.0,,0.0,
2017,ALBNY,79,LOWELL,85,W,0.0,,0.0,
2016,LOWELL,63,ALBNY,75,L,0.0,,0.0,
2016,BINGH,64,LOWELL,57,L,0.0,,0.0,
2016,NH,78,LOWELL,76,L,0.0,,0.0,
2016,LOWELL,93,VERMT,82,W,0.0,,0.0,
2016,LOWELL,95,UMBC,89,W,0.0,,0.0,
2016,MAINE,95,LOWELL,81,L,0.0,,0.0,
2016,LOWELL,59,STONY,86,L,0.0,,0.0,
2016,HARTF,76,LOWELL,80,W,0.0,,0.0,
2015,BINGH,76,LOWELL,69,L,0.0,,0.0,
2015,VERMT,61,LOWELL,50,L,0.0,,0.0,
2015,STONY,65,LOWELL,45,L,0.0,,0.0,
2015,LOWELL,64,NH,67,L,0.0,,0.0,
2017,LOWELL,69,MARST,81,L,0.0,,0.0,
2017,LIU,82,LOWELL,78,L,0.0,,0.0,
2017,MSVAL,71,LOWELL,76,W,0.0,,0.0,
2017,LOWELL,77,LIBRT,84,L,-3.5,L,157.5,O
2017,LOWELL,81,IPFW,94,L,0.0,,0.0,
2017,LOWELL,78,INDY,100,L,-28.5,W,172.0,O
2017,WAGNR,76,LOWELL,87,W,0.0,,0.0,
2017,LOWELL,76,UMASS,90,L,0.0,,0.0,
2016,CORNL,77,LOWELL,80,W,0.0,,0.0,
2016,WLOCK,76,LOWELL,104,W,0.0,,0.0,
2016,LOWELL,57,ND,83,L,0.0,,0.0,
2016,SACRD,84,LOWELL,87,W,0.0,,0.0,
2016,LOWELL,57,NWEST,79,L,0.0,,0.0,
2015,LOWELL,69,BOSTU,59,W,0.0,,0.0,
2015,MTIDA,57,LOWELL,102,W,0.0,,0.0,
2015,LOWELL,64,FORDM,57,W,0.0,,0.0,
2015,LOWELL,63,NJIT,61,W,0.0,,0.0,
2015,LOWELL,57,SACRD,54,W,0.0,,0.0,
2015,LOWELL,56,RHODEI,72,L,0.0,,0.0,
2015,LOWELL,55,OHIOS,92,L,0.0,,0.0,
2014,LOWELL,49,CINCY,79,L,0.0,,0.0,
2014,LOWELL,68,RHODEI,79,L,0.0,,0.0,
2014,BROWN,87,LOWELL,76,L,0.0,,0.0,
2017,LOWELL,98,CORNL,96,W,0.0,,0.0,
2017,LOWELL,60,LOYMD,69,L,0.0,,0.0,
2017,BOSTU,75,LOWELL,77,W,0.0,,0.0,
2017,CCONN,69,LOWELL,86,W,0.0,,0.0,
2017,LOWELL,82,SACRD,91,L,0.0,,0.0,
2017,NJIT,75,LOWELL,74,L,0.0,,0.0,
2016,LOWELL,62,WAGNR,76,L,0.0,,0.0,
2016,LOWELL,66,RUTGR,89,L,-6.0,L,147.0,O
2016,LOWELL,79,UCONN,88,L,0.0,,0.0,
2016,LOWELL,79,CCONN,83,L,0.0,,0.0,
2016,BOSTU,80,LOWELL,60,L,0.0,,0.0,
2016,LOWELL,68,BC,66,W,0.0,,0.0,
2016,LOWELL,77,NJIT,90,L,0.0,,0.0,
2016,LOWELL,72,LIU,84,L,0.0,,0.0,
2015,LOWELL,47,BC,70,L,0.0,,0.0,
2015,LOWELL,63,DUQU,79,L,0.0,,0.0,
2015,DART,69,LOWELL,48,L,0.0,,0.0,
2015,LOWELL,60,CORNL,71,L,0.0,,0.0,
2015,NJIT,67,LOWELL,71,W,0.0,,0.0,
2014,DUQU,95,LOWELL,77,L,0.0,,0.0,
2014,VERMT,62,LOWELL,48,L,0.0,,0.0,
2014,LOWELL,39,COLUM,78,L,0.0,,0.0,
2014,LOWELL,44,NJIT,55,L,0.0,,0.0,
2014,LOWELL,58,STBON,67,L,0.0,,0.0,
2017,NH,78,LOWELL,67,L,+5.5,L,152.5,U
2017,LOWELL,102,UMBC,108,L,0.0,,0.0,
2017,VERMT,87,LOWELL,66,L,0.0,,0.0,
2017,LOWELL,84,HARTF,87,L,0.0,,0.0,
2017,MAINE,68,LOWELL,100,W,0.0,,0.0,
2017,LOWELL,72,STONY,83,L,0.0,,0.0,
2017,BINGH,59,LOWELL,60,W,0.0,,0.0,
2017,LOWELL,77,ALBNY,90,L,0.0,,0.0,
2016,ALBNY,86,LOWELL,61,L,0.0,,0.0,
2016,LOWELL,77,BINGH,81,L,0.0,,0.0,
2016,LOWELL,69,NH,80,L,0.0,,0.0,
2016,UMBC,92,LOWELL,96,W,0.0,,0.0,
2016,LOWELL,108,MAINE,95,W,0.0,,0.0,
2016,VERMT,93,LOWELL,100,W,0.0,,0.0,
2016,STONY,91,LOWELL,73,L,0.0,,0.0,
2016,LOWELL,85,HARTF,83,W,0.0,,0.0,
2015,LOWELL,60,STONY,75,L,0.0,,0.0,
2015,NH,76,LOWELL,60,L,0.0,,0.0,
2015,MAINE,71,LOWELL,82,W,0.0,,0.0,
2015,HARTF,63,LOWELL,69,W,0.0,,0.0,
2015,LOWELL,53,VERMT,96,L,0.0,,0.0,
2015,LOWELL,59,ALBNY,69,L,0.0,,0.0,
2015,UMBC,51,LOWELL,67,W,0.0,,0.0,
